Subject	VOI	x	y	z	Size	
100307	Action	-31.790476	-30.600000	48.638095	210.000000	
100408	Action	-46.576471	-31.752941	47.294118	170.000000	
101006	Action	-43.823293	-24.016064	51.871486	249.000000	
101107	Action	-44.110236	-22.314961	57.716535	127.000000	
101309	Action	-30.000000	-28.000000	54.000000	257.000000	
101410	Action	-38.047059	-26.023529	45.976471	255.000000	
101915	Action	-42.000000	-28.000000	44.000000	257.000000	
102008	Action	-28.000000	-20.000000	46.000000	257.000000	
102311	Action	-38.000000	-22.000000	50.000000	257.000000	
102816	Action	-44.361345	-28.218487	48.058824	238.000000	
103111	Action	-38.732824	-29.938931	50.229008	131.000000	
103414	Action	-34.063636	-27.963636	54.409091	220.000000	
103515	Action	-39.965812	-33.213675	60.051282	117.000000	
103818	Action	-45.936000	-17.928000	48.048000	250.000000	
104820	Action	-39.846774	-23.991935	55.903226	248.000000	
105014	Action	-38.113821	-24.073171	50.219512	246.000000	
105115	Action	-39.465438	-26.101382	57.188940	217.000000	
105216	Action	-34.568889	-22.115556	48.328889	225.000000	
106016	Action	-34.204082	-29.782313	54.911565	147.000000	
106319	Action	-32.007843	-28.054902	58.015686	255.000000	
106521	Action	-35.984375	-26.007812	55.976562	256.000000	
107321	Action	-46.193103	-20.413793	54.220690	145.000000	
107422	Action	-40.000000	-34.000000	40.000000	257.000000	
108121	Action	-42.082192	-19.744292	41.424658	219.000000	
108323	Action	-43.323810	-24.190476	55.495238	210.000000	
108525	Action	-36.577465	-23.253521	44.154930	142.000000	
108828	Action	-43.791667	-25.250000	56.520833	96.000000	
109123	Action	-40.047431	-22.047431	49.913043	253.000000	
109325	Action	-30.000000	-30.000000	54.000000	257.000000	
110411	Action	-34.000000	-28.000000	54.000000	257.000000	
111312	Action	-34.403846	-19.211538	49.596154	104.000000	
111413	Action	-41.654008	-22.118143	55.637131	237.000000	
111716	Action	-36.407186	-19.640719	44.119760	167.000000	
113215	Action	-36.007874	-25.968504	47.960630	254.000000	
113619	Action	-32.155738	-30.155738	54.262295	244.000000	
113922	Action	-37.992188	-25.984375	50.023438	256.000000	
114419	Action	-36.000000	-28.000000	50.000000	257.000000	
114924	Action	-33.946667	-30.160000	55.822222	225.000000	
115320	Action	-42.000000	-32.000000	40.000000	257.000000	
116524	Action	-46.000000	-32.000000	42.000000	257.000000	
117122	Action	-43.353846	-32.071795	54.974359	195.000000	
117324	Action	-42.000000	-26.000000	56.000000	257.000000	
118528	Action	-35.607477	-22.261682	53.364486	214.000000	
118730	Action	-48.245161	-33.896774	52.451613	155.000000	
118932	Action	-44.700000	-28.200000	43.257143	140.000000	
119833	Action	-40.000000	-26.000000	54.000000	257.000000	
120111	Action	-30.048780	-25.772358	62.032520	246.000000	
120212	Action	-37.983806	-21.975709	55.838057	247.000000	
120515	Action	-41.903226	-26.104839	52.032258	248.000000	
121618	Action	-40.000000	-24.000000	54.000000	257.000000	
122317	Action	-36.326360	-25.765690	57.874477	239.000000	
122620	Action	-33.976562	-29.984375	57.992188	256.000000	
123117	Action	-38.533333	-24.133333	39.466667	45.000000	
123420	Action	-36.128000	-28.064000	54.120000	250.000000	
123925	Action	-34.324074	-29.972222	50.268519	216.000000	
