Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
100307	-0.025124	0.000000	0.108109	0.000000	0.000000	0.000000	-0.006652	0.000000	0.000000	0.004756	-0.040074	0.000000	0.369725	0.000000	-0.124552	0.000000	0.000000	0.000000	-0.007610	0.001086	0.152208	0.082890	0.123507	0.157951	-0.000797	
100408	-0.008358	0.000000	0.224844	0.000000	0.000000	0.000000	0.000781	0.000000	0.000000	0.009940	0.157623	0.000000	-0.070809	0.000000	-0.164609	0.000000	0.000000	0.000000	-0.121614	-0.143754	0.328027	0.002310	0.538103	-0.408651	-0.116775	
101006	-0.070544	0.000000	-0.015427	0.000000	0.000000	0.000000	-0.117651	0.000000	0.000000	0.004775	0.363984	0.000000	-0.009338	0.000000	0.370813	0.000000	0.000000	0.000000	-0.073182	0.009700	0.042095	0.292033	-0.309586	-0.261193	-0.051466	
101107	-0.006373	0.000000	0.148928	0.000000	0.000000	0.000000	-0.132653	0.000000	0.000000	0.049654	0.059549	0.000000	-0.135747	0.000000	0.067219	0.000000	0.000000	0.000000	-0.048132	0.028190	0.131077	0.368617	0.399074	0.220285	-0.006250	
101309	0.155488	0.000000	-0.210584	0.000000	0.000000	0.000000	-0.131178	0.000000	0.000000	0.155510	0.191313	0.000000	0.170821	0.000000	0.058212	0.000000	0.000000	0.000000	-0.255553	-0.188791	0.062068	0.415554	0.300468	-0.512308	-0.025505	
101410	-0.040354	0.000000	0.230838	0.000000	0.000000	0.000000	-0.008117	0.000000	0.000000	-0.024546	-0.138415	0.000000	-0.415612	0.000000	0.043094	0.000000	0.000000	0.000000	-0.011731	-0.109200	0.367223	0.035474	0.814134	0.127213	0.109673	
101915	-0.144445	0.000000	-0.749919	0.000000	0.000000	0.000000	-0.439754	0.000000	0.000000	0.034747	-0.156637	0.000000	-0.495644	0.000000	0.597927	0.000000	0.000000	0.000000	-0.299980	-0.014232	0.428074	0.672955	-0.591065	0.565706	0.079230	
102008	-0.046934	0.000000	0.115987	0.000000	0.000000	0.000000	0.000945	0.000000	0.000000	0.001224	0.165346	0.000000	-0.340345	0.000000	-0.012221	0.000000	0.000000	0.000000	-0.130232	0.131272	0.155463	0.017275	-0.637891	-0.337501	0.042346	
102311	0.017459	0.000000	-0.004106	0.000000	0.000000	0.000000	0.001600	0.000000	0.000000	-0.062038	0.075106	0.000000	0.035918	0.000000	0.101101	0.000000	0.000000	0.000000	-0.173354	-0.402329	0.092879	-0.087501	-0.147759	-0.437301	-0.151808	
102816	-0.033742	0.000000	0.176912	0.000000	0.000000	0.000000	-0.092482	0.000000	0.000000	0.167458	0.153109	0.000000	-0.104336	0.000000	0.230158	0.000000	0.000000	0.000000	-0.011128	0.047965	0.119724	0.360272	0.191490	0.109248	-0.089210	
103111	-0.002653	0.000000	-0.039436	0.000000	0.000000	0.000000	-0.011257	0.000000	0.000000	-0.006929	0.074270	0.000000	0.022406	0.000000	0.272680	0.000000	0.000000	0.000000	-0.044081	-0.009734	-0.022828	-0.143196	0.419681	-0.178886	-0.017909	
103414	-0.000969	0.000000	0.059149	0.000000	0.000000	0.000000	-0.100288	0.000000	0.000000	0.117860	0.034639	0.000000	-0.079839	0.000000	0.221484	0.000000	0.000000	0.000000	-0.016595	-0.029066	0.102655	0.202483	0.371053	-0.079147	-0.080468	
103515	-0.249914	0.000000	0.487361	0.000000	0.000000	0.000000	-0.163631	0.000000	0.000000	-0.103050	-0.196830	0.000000	0.131406	0.000000	0.048324	0.000000	0.000000	0.000000	-0.251424	-0.268584	0.110901	-0.361733	-0.146401	-0.546506	-0.025434	
103818	-0.087764	0.000000	0.296573	0.000000	0.000000	0.000000	-0.045612	0.000000	0.000000	0.124532	-0.138617	0.000000	-0.167831	0.000000	0.497244	0.000000	0.000000	0.000000	-0.121897	0.223002	-0.308440	0.216327	-0.535036	0.392896	-0.197892	
104820	-0.064455	0.000000	0.140953	0.000000	0.000000	0.000000	-0.014133	0.000000	0.000000	-0.003804	-0.013295	0.000000	0.037618	0.000000	-0.023150	0.000000	0.000000	0.000000	-0.013012	0.016760	0.291681	0.069434	0.193242	-0.053149	0.012068	
105014	-0.041528	0.000000	0.529511	0.000000	0.000000	0.000000	-0.102917	0.000000	0.000000	0.184611	-0.094293	0.000000	-0.477456	0.000000	-0.572997	0.000000	0.000000	0.000000	-0.118444	-0.142140	0.451254	-0.307685	0.776463	0.252446	-0.103271	
