Subject	VOI	x	y	z	Size	
100307	LTM	-50.000000	-19.058824	1.223529	85.000000	
100408	LTM	-62.944444	-20.277778	2.222222	36.000000	
101006	LTM	-50.000000	-20.000000	4.000000	257.000000	
101107	LTM	-59.512605	-16.050420	6.000000	238.000000	
101309	LTM	-59.330435	-16.095652	10.017391	230.000000	
101410	LTM	-56.047619	-12.571429	6.035714	168.000000	
101915	LTM	-61.390558	-22.025751	9.957082	233.000000	
102008	LTM	-59.624309	-20.055249	9.900552	181.000000	
102311	LTM	-53.811475	-20.147541	3.983607	244.000000	
102816	LTM	-52.007843	-12.015686	9.945098	255.000000	
103111	LTM	-48.656863	-17.686275	10.872549	204.000000	
103414	LTM	-55.935484	-16.154839	4.129032	155.000000	
103515	LTM	-63.065574	-20.737705	11.622951	122.000000	
103818	LTM	-60.544218	-13.034014	5.115646	147.000000	
104820	LTM	-46.962406	-14.992481	9.203008	133.000000	
105014	LTM	-57.799197	-12.064257	7.959839	249.000000	
105115	LTM	-57.921260	-14.031496	8.007874	254.000000	
105216	LTM	-59.799197	-27.943775	-0.056225	249.000000	
106016	LTM	-61.641026	-20.948718	5.974359	78.000000	
106319	LTM	-52.000000	-14.000000	4.000000	257.000000	
106521	LTM	-54.016260	-25.821138	10.219512	246.000000	
107321	LTM	-48.081081	-19.270270	11.594595	74.000000	
107422	LTM	-61.536424	-22.092715	7.986755	151.000000	
108121	LTM	-56.340000	-20.490000	13.350000	200.000000	
108323	LTM	-49.984252	-26.055118	6.031496	254.000000	
108525	LTM	-53.428571	-11.067669	-1.879699	133.000000	
108828	LTM	-51.250000	-20.295455	3.000000	88.000000	
109123	LTM	-60.191011	-14.303371	5.764045	178.000000	
109325	LTM	-55.921260	-20.023622	7.976378	254.000000	
110411	LTM	-60.254144	-20.209945	14.044199	181.000000	
111312	LTM	-61.414141	-11.171717	10.181818	99.000000	
111413	LTM	-61.903030	-24.230303	13.769697	165.000000	
111716	LTM	-61.276190	-12.819048	2.895238	105.000000	
113215	LTM	-57.723577	-15.959350	9.934959	246.000000	
113619	LTM	-60.986301	-13.479452	2.246575	73.000000	
113922	LTM	-51.735043	-12.008547	8.153846	234.000000	
114419	LTM	-58.097561	-24.195122	7.837398	246.000000	
114924	LTM	-59.142857	-12.422857	-3.074286	175.000000	
115320	LTM	-59.115207	-12.285714	5.815668	217.000000	
116524	LTM	-51.992063	-20.015873	8.103175	252.000000	
117122	LTM	-59.521368	-16.393162	1.931624	117.000000	
117324	LTM	-60.760976	-21.931707	9.863415	205.000000	
118528	LTM	-60.352423	-22.123348	-0.431718	227.000000	
118730	LTM	-56.117647	-20.050420	9.798319	238.000000	
118932	LTM	-63.106383	-16.276596	-1.404255	94.000000	
119833	LTM	-59.573604	-24.121827	8.314721	197.000000	
120111	LTM	-54.000000	-20.000000	10.000000	257.000000	
120212	LTM	-60.615385	-23.384615	10.384615	26.000000	
120515	LTM	-52.571429	-18.122449	7.510204	49.000000	
121618	LTM	-61.159420	-11.536232	2.695652	69.000000	
122317	LTM	-51.865546	-11.697479	-2.025210	238.000000	
122620	LTM	-59.405172	-18.043103	7.982759	232.000000	
123117	LTM	-57.644628	-12.074380	3.950413	242.000000	
123420	LTM	-57.897233	-20.007905	-2.015810	253.000000	
123925	LTM	-55.876652	-25.506608	8.220264	227.000000	
124220	LTM	-59.921053	-22.298246	-4.543860	228.000000	
124422	LTM	-59.524752	-19.623762	8.613861	202.000000	
124826	LTM	-54.456311	-17.980583	6.203883	206.000000	
125525	LTM	-63.147541	-18.360656	7.508197	122.000000	
126325	LTM	-55.991111	-16.586667	3.662222	225.000000	
