Subject	VOI	x	y	z	Size	
100307	Perception	-43.303571	-73.678571	-9.705357	224.000000	
100408	Perception	-46.576271	-72.937853	-5.435028	177.000000	
101006	Perception	-43.209302	-75.386047	-3.841860	215.000000	
101107	Perception	-37.031579	-86.768421	3.884211	190.000000	
101309	Perception	-39.683333	-81.800000	-5.950000	240.000000	
101410	Perception	-39.713115	-79.827869	-5.918033	244.000000	
101915	Perception	-41.446429	-75.616071	-11.526786	224.000000	
102008	Perception	-47.419913	-73.705628	0.043290	231.000000	
102311	Perception	-46.306748	-76.736196	-3.509202	163.000000	
102816	Perception	-39.653543	-82.440945	-11.039370	127.000000	
103111	Perception	-39.176471	-77.382353	-11.254902	204.000000	
103414	Perception	-40.183099	-84.169014	-3.521127	142.000000	
103515	Perception	-41.581197	-79.581197	0.000000	234.000000	
103818	Perception	-40.837696	-79.277487	-11.256545	191.000000	
104820	Perception	-44.886598	-75.134021	-3.546392	194.000000	
105014	Perception	-43.798387	-75.862903	0.024194	248.000000	
105115	Perception	-47.238532	-71.431193	-1.954128	218.000000	
105216	Perception	-44.149254	-80.089552	2.402985	134.000000	
106016	Perception	-38.590909	-84.818182	-5.590909	176.000000	
106319	Perception	-47.820690	-74.675862	-1.627586	145.000000	
106521	Perception	-40.540816	-72.122449	-3.755102	196.000000	
107321	Perception	-43.954545	-74.818182	-10.469697	132.000000	
107422	Perception	-35.806723	-83.848739	-5.773109	238.000000	
108121	Perception	-40.597561	-72.804878	-14.975610	164.000000	
108323	Perception	-45.960784	-76.758170	0.209150	153.000000	
108525	Perception	-37.956204	-82.861314	-10.598540	137.000000	
108828	Perception	-38.517241	-82.758621	2.057471	174.000000	
109123	Perception	-35.488987	-87.462555	-5.867841	227.000000	
109325	Perception	-38.481481	-82.765432	-11.049383	162.000000	
110411	Perception	-39.504348	-81.539130	-5.913043	230.000000	
111312	Perception	-33.984375	-79.992188	-11.976562	256.000000	
111413	Perception	-42.878788	-79.171717	2.151515	198.000000	
111716	Perception	-34.000000	-84.000000	2.000000	257.000000	
112819	Perception	-40.781250	-77.416667	-9.270833	192.000000	
113215	Perception	-42.739583	-79.156250	-3.760417	192.000000	
113619	Perception	-37.005236	-77.403141	-14.984293	191.000000	
113821	Perception	-39.643154	-79.792531	-5.933610	241.000000	
113922	Perception	-40.000000	-78.000000	-2.000000	257.000000	
114419	Perception	-44.362573	-75.099415	-5.333333	171.000000	
114924	Perception	-40.323699	-81.017341	2.208092	173.000000	
115320	Perception	-39.144231	-71.576923	-15.336538	208.000000	
116524	Perception	-47.426230	-76.311475	-1.655738	122.000000	
117122	Perception	-43.539683	-78.317460	-1.634921	126.000000	
117324	Perception	-40.144928	-78.260870	-13.014493	138.000000	
118528	Perception	-39.087379	-83.252427	-5.669903	206.000000	
118730	Perception	-39.929134	-73.960630	-7.976378	254.000000	
118932	Perception	-45.421488	-78.297521	-1.553719	121.000000	
119833	Perception	-38.000000	-76.000000	-10.000000	257.000000	
120111	Perception	-35.606838	-85.572650	-3.940171	234.000000	
120212	Perception	-44.154839	-74.645161	-7.509677	155.000000	
120515	Perception	-39.972789	-84.544218	-5.659864	147.000000	
121315	Perception	-35.167464	-83.186603	-0.028708	209.000000	
121618	Perception	-41.413333	-81.475556	-1.857778	225.000000	
122317	Perception	-43.028846	-77.432692	-7.663462	208.000000	
122620	Perception	-44.000000	-74.000000	2.000000	257.000000	
123117	Perception	-39.650000	-81.733333	3.983333	240.000000	
123420	Perception	-41.521127	-77.661972	-1.408451	142.000000	
123925	Perception	-41.122642	-75.584906	-7.500000	212.000000	
124220	Perception	-43.515152	-77.714286	-5.670996	231.000000	
124422	Perception	-37.321429	-79.696429	-5.651786	224.000000	
124826	Perception	-47.227907	-71.386047	-7.720930	215.000000	
125525	Perception	-46.000000	-68.000000	-4.000000	257.000000	
126325	Perception	-47.503650	-72.846715	4.189781	137.000000	
126628	Perception	-39.814516	-75.879032	-7.911290	248.000000	
127630	Perception	-38.984925	-77.407035	-15.286432	199.000000	
127933	Perception	-38.894472	-85.175879	2.030151	199.000000	
128127	Perception	-43.976562	-71.984375	2.007812	256.000000	
128329	Perception	-38.703297	-84.824176	-1.901099	182.000000	
128632	Perception	-45.921260	-71.976378	0.023622	254.000000	
129028	Perception	-41.804082	-71.885714	-7.779592	245.000000	
130013	Perception	-39.913043	-77.968379	-3.936759	253.000000	
130316	Perception	-42.000000	-74.000000	0.000000	257.000000	
130922	Perception	-48.596685	-70.994475	-3.613260	181.000000	
131217	Perception	-39.643154	-79.792531	-7.933610	241.000000	
131722	Perception	-43.290323	-73.529954	-9.511521	217.000000	
131924	Perception	-44.569892	-77.225806	-1.634409	186.000000	
132118	Perception	-40.361446	-84.686747	1.831325	166.000000	
133019	Perception	-45.445887	-71.696970	-3.818182	231.000000	
133625	Perception	-39.911111	-84.148148	0.311111	135.000000	
133827	Perception	-38.509317	-86.385093	1.714286	161.000000	
133928	Perception	-36.707865	-77.348315	-12.865169	178.000000	
134324	Perception	-36.765027	-86.863388	-5.573770	183.000000	
135225	Perception	-37.976562	-75.984375	-9.992188	256.000000	
135528	Perception	-37.719008	-81.776860	-9.842975	242.000000	
135932	Perception	-33.190476	-89.190476	2.000000	210.000000	
136227	Perception	-36.718232	-86.762431	1.988950	181.000000	
136833	Perception	-43.711864	-78.423729	-6.644068	118.000000	
137027	Perception	-41.474138	-75.784483	-7.715517	232.000000	
137128	Perception	-42.590164	-78.994536	-0.054645	183.000000	
137633	Perception	-34.000000	-76.000000	-10.000000	257.000000	
137936	Perception	-42.104575	-82.627451	-1.516340	153.000000	
138231	Perception	-47.080569	-73.412322	-1.781991	211.000000	
138534	Perception	-38.000000	-74.000000	-6.000000	257.000000	
139233	Perception	-41.157895	-81.196172	4.019139	209.000000	
139637	Perception	-40.215190	-82.696203	-7.468354	158.000000	
140117	Perception	-42.392857	-77.035714	-7.130952	168.000000	
994273	Perception	-41.582979	-79.617021	2.000000	235.000000	
140824	Perception	-36.716763	-88.554913	-5.722543	173.000000	
140925	Perception	-30.071713	-87.912351	0.103586	251.000000	
141422	Perception	-34.811429	-88.662857	-9.360000	175.000000	
141826	Perception	-43.929134	-73.960630	-3.976378	254.000000	
142424	Perception	-37.795918	-79.975510	-7.926531	245.000000	
142828	Perception	-47.533898	-69.737288	-3.949153	236.000000	
143325	Perception	-42.738462	-79.333333	-5.671795	195.000000	
144226	Perception	-40.648045	-84.782123	3.899441	179.000000	
144832	Perception	-40.695652	-82.978261	1.978261	184.000000	
145531	Perception	-45.834483	-78.620690	2.124138	145.000000	
145834	Perception	-42.886700	-73.487685	-9.586207	203.000000	
146331	Perception	-44.837696	-73.015707	-3.675393	191.000000	
146432	Perception	-38.000000	-72.000000	-6.000000	257.000000	
147030	Perception	-41.659751	-79.775934	-7.900415	241.000000	
147737	Perception	-36.000000	-80.000000	-8.000000	257.000000	
148032	Perception	-41.719008	-81.933884	2.462810	121.000000	
148335	Perception	-43.354260	-77.497758	-1.802691	223.000000	
148840	Perception	-41.177033	-75.406699	-11.435407	209.000000	
148941	Perception	-33.879310	-83.991379	-4.155172	232.000000	
149337	Perception	-40.860000	-81.290000	-3.820000	200.000000	
149539	Perception	-43.389381	-77.530973	2.070796	226.000000	
149741	Perception	-43.327434	-73.637168	-0.017699	226.000000	
150423	Perception	-37.454545	-79.757576	-9.722944	231.000000	
150524	Perception	-42.670270	-79.059459	-3.589189	185.000000	
150625	Perception	-44.781250	-75.187500	-7.572917	192.000000	
150726	Perception	-43.661157	-73.818182	-7.917355	242.000000	
151223	Perception	-38.829787	-82.978723	-7.542553	188.000000	
151526	Perception	-33.696203	-87.586498	3.957806	237.000000	
151627	Perception	-39.863454	-73.927711	-9.847390	249.000000	
151728	Perception	-39.880478	-81.880478	0.000000	251.000000	
152831	Perception	-44.964103	-73.384615	-9.169231	195.000000	
153025	Perception	-42.637838	-79.145946	-5.524324	185.000000	
153429	Perception	-35.450450	-85.351351	-5.855856	222.000000	
153833	Perception	-41.473684	-81.508772	-5.885965	228.000000	
154431	Perception	-45.651515	-76.409091	-3.621212	132.000000	
154734	Perception	-37.317757	-83.205607	-4.018692	214.000000	
154835	Perception	-36.000000	-76.000000	-12.000000	257.000000	
154936	Perception	-45.676349	-67.784232	-7.842324	241.000000	
155231	Perception	-37.952941	-81.968627	-1.992157	255.000000	
155635	Perception	-41.897233	-75.952569	0.000000	253.000000	
156233	Perception	-43.636364	-74.712121	-9.075758	132.000000	
156637	Perception	-41.880478	-79.880478	2.000000	251.000000	
157336	Perception	-37.551724	-79.663793	-9.698276	232.000000	
157437	Perception	-30.935484	-81.290323	2.516129	124.000000	
158035	Perception	-37.937008	-81.944882	9.984252	254.000000	
158136	Perception	-36.256000	-85.760000	-7.056000	125.000000	
158540	Perception	-34.000000	-84.000000	-2.000000	257.000000	
159138	Perception	-36.845361	-85.072165	0.051546	194.000000	
159239	Perception	-42.940000	-81.210000	-3.690000	200.000000	
159340	Perception	-42.748718	-81.251282	-3.856410	195.000000	
159441	Perception	-36.471429	-86.214286	-5.071429	140.000000	
160123	Perception	-38.015152	-76.984848	-14.242424	132.000000	
160830	Perception	-38.585366	-84.658537	-11.146341	164.000000	
161327	Perception	-42.026490	-76.807947	-9.192053	151.000000	
161630	Perception	-39.715481	-73.841004	-11.665272	239.000000	
161731	Perception	-47.124424	-71.566820	2.027650	217.000000	
162026	Perception	-42.203822	-76.802548	-9.197452	157.000000	
162228	Perception	-41.360000	-75.688889	-7.635556	225.000000	
162329	Perception	-40.878788	-83.161616	-1.888889	198.000000	
162733	Perception	-35.722689	-81.722689	-11.714286	238.000000	
163129	Perception	-41.540426	-79.685106	2.076596	235.000000	
163331	Perception	-43.791045	-80.268657	0.238806	134.000000	
163432	Perception	-43.492308	-76.753846	-5.200000	130.000000	
163836	Perception	-44.000000	-74.000000	4.000000	257.000000	
164030	Perception	-28.000000	-82.000000	-8.000000	257.000000	
164131	Perception	-48.000000	-74.757576	4.348485	132.000000	
164939	Perception	-45.348018	-77.682819	-3.806167	227.000000	
165032	Perception	-45.658915	-78.713178	4.186047	129.000000	
165234	Perception	-39.213270	-85.203791	2.000000	211.000000	
165840	Perception	-39.937008	-79.944882	4.015748	254.000000	
166438	Perception	-37.581197	-85.581197	0.000000	234.000000	
167036	Perception	-38.579545	-82.818182	-3.636364	176.000000	
167743	Perception	-35.929134	-81.960630	-3.976378	254.000000	
168139	Perception	-36.000000	-76.000000	-2.000000	257.000000	
