Subject	VOI	x	y	z	Size	
100307	Action	-43.923077	-18.430769	55.984615	130.000000	
100408	Action	-42.659091	-20.102273	56.670455	176.000000	
101006	Action	-40.000000	-22.000000	52.000000	257.000000	
101107	Action	-35.991968	-26.024096	48.104418	249.000000	
101309	Action	-30.000000	-30.000000	56.000000	257.000000	
101410	Action	-38.000000	-26.000000	48.000000	257.000000	
101915	Action	-23.431818	-23.977273	46.522727	176.000000	
102008	Action	-40.394366	-20.507042	59.957746	142.000000	
102311	Action	-40.000000	-18.000000	52.000000	257.000000	
102816	Action	-41.561404	-22.026316	57.421053	228.000000	
103111	Action	-42.000000	-22.000000	54.000000	257.000000	
103414	Action	-41.928854	-22.007905	53.913043	253.000000	
103515	Action	-43.046154	-18.225641	54.902564	195.000000	
103818	Action	-50.028777	-24.043165	50.143885	139.000000	
104820	Action	-34.273504	-22.145299	47.666667	234.000000	
105014	Action	-41.936759	-20.031621	53.913043	253.000000	
105115	Action	-37.968627	-26.007843	55.952941	255.000000	
105216	Action	-40.048000	-16.576000	59.760000	125.000000	
106016	Action	-38.000000	-26.000000	58.000000	257.000000	
106319	Action	-38.103586	-18.095618	38.039841	251.000000	
106521	Action	-41.082474	-18.164948	54.845361	194.000000	
107321	Action	-48.000000	-28.000000	46.000000	257.000000	
107422	Action	-36.887574	-26.213018	62.295858	169.000000	
108121	Action	-49.134328	-27.830846	49.004975	201.000000	
108323	Action	-39.769547	-24.074074	57.720165	243.000000	
108525	Action	-34.000000	-26.000000	52.000000	257.000000	
108828	Action	-28.063927	-28.365297	50.557078	219.000000	
109123	Action	-42.464516	-22.270968	58.270968	155.000000	
109325	Action	-41.855422	-22.032129	53.839357	249.000000	
110411	Action	-40.923077	-16.505495	54.714286	182.000000	
111312	Action	-48.703911	-24.000000	52.703911	179.000000	
111413	Action	-41.735537	-24.074380	55.719008	242.000000	
111716	Action	-44.262295	-18.172131	40.073770	244.000000	
113215	Action	-38.893617	-31.797872	58.829787	188.000000	
113619	Action	-42.000000	-20.000000	42.000000	257.000000	
113922	Action	-36.000000	-28.000000	48.000000	257.000000	
114419	Action	-41.622807	-20.175439	53.403509	228.000000	
114924	Action	-43.679325	-18.160338	53.628692	237.000000	
115320	Action	-32.200000	-19.886957	48.565217	230.000000	
116524	Action	-48.397516	-22.372671	52.509317	161.000000	
117122	Action	-38.000000	-36.000000	42.000000	257.000000	
117324	Action	-38.000000	-26.000000	58.000000	257.000000	
118528	Action	-36.000000	-26.000000	52.000000	257.000000	
118730	Action	-28.447368	-27.640351	44.210526	228.000000	
118932	Action	-50.121622	-27.945946	50.337838	148.000000	
119833	Action	-32.000000	-28.000000	54.000000	257.000000	
120111	Action	-41.333333	-14.268519	53.296296	216.000000	
120212	Action	-40.000000	-32.000000	44.000000	257.000000	
120515	Action	-41.010417	-22.333333	56.875000	192.000000	
121618	Action	-38.000000	-28.000000	56.000000	257.000000	
122620	Action	-36.000000	-26.000000	52.000000	257.000000	
123117	Action	-33.142857	-27.912088	62.461538	182.000000	
123420	Action	-40.000000	-22.000000	50.000000	257.000000	
123925	Action	-41.755102	-23.934694	51.804082	245.000000	
124220	Action	-40.000000	-22.000000	52.000000	257.000000	
124422	Action	-41.752066	-16.074380	55.702479	242.000000	
124826	Action	-46.152778	-26.055556	56.152778	144.000000	
125525	Action	-40.000000	-24.000000	54.000000	257.000000	
126325	Action	-42.678571	-20.285714	58.440476	168.000000	
126628	Action	-39.796748	-25.951220	57.796748	246.000000	
127630	Action	-40.000000	-26.000000	50.000000	257.000000	
127933	Action	-26.000000	-34.000000	52.000000	257.000000	
128127	Action	-40.000000	-22.000000	50.000000	257.000000	
128632	Action	-43.186603	-24.028708	55.167464	209.000000	
129028	Action	-41.673640	-18.100418	55.682008	239.000000	
130013	Action	-43.450450	-18.297297	55.396396	222.000000	
130316	Action	-46.903226	-22.021505	50.752688	186.000000	
130922	Action	-43.173077	-21.942308	55.153846	208.000000	
131217	Action	-27.975709	-25.765182	46.121457	247.000000	
131722	Action	-40.674699	-20.301205	58.385542	166.000000	
131924	Action	-36.000000	-30.000000	56.000000	257.000000	
133019	Action	-39.960784	-20.015686	53.960784	255.000000	
133625	Action	-38.000000	-22.000000	48.000000	257.000000	
133827	Action	-38.015625	-20.023438	47.992188	256.000000	
133928	Action	-44.000000	-32.000000	42.000000	257.000000	
134324	Action	-32.000000	-34.000000	44.000000	257.000000	
135225	Action	-40.000000	-26.000000	56.000000	257.000000	
135528	Action	-38.000000	-22.000000	50.000000	257.000000	
135932	Action	-43.549784	-24.069264	55.523810	231.000000	
136227	Action	-41.628692	-20.075949	55.654008	237.000000	
136833	Action	-40.000000	-24.000000	50.000000	257.000000	
137027	Action	-41.880478	-18.000000	53.880478	251.000000	
137128	Action	-47.286385	-26.028169	51.201878	213.000000	
137633	Action	-41.960784	-20.015686	53.960784	255.000000	
137936	Action	-40.000000	-30.000000	46.000000	257.000000	
138231	Action	-42.031008	-20.465116	59.860465	129.000000	
138534	Action	-39.698745	-20.050209	57.648536	239.000000	
139233	Action	-40.000000	-22.000000	52.000000	257.000000	
139637	Action	-38.000000	-24.000000	54.000000	257.000000	
140117	Action	-44.348387	-18.283871	56.348387	155.000000	
140420	Action	-38.838323	-19.976048	60.263473	167.000000	
140824	Action	-37.819672	-24.016393	59.704918	244.000000	
140925	Action	-40.000000	-22.000000	48.000000	257.000000	
141422	Action	-42.000000	-22.000000	52.000000	257.000000	
141826	Action	-40.000000	-24.000000	54.000000	257.000000	
142828	Action	-42.064000	-33.536000	59.712000	125.000000	
143325	Action	-47.984375	-36.007812	47.976562	256.000000	
144226	Action	-38.000000	-20.000000	46.000000	257.000000	
144832	Action	-40.000000	-22.000000	50.000000	257.000000	
145834	Action	-40.000000	-22.000000	56.000000	257.000000	
146331	Action	-41.976562	-20.007812	51.984375	256.000000	
146432	Action	-41.355450	-22.265403	57.127962	211.000000	
147030	Action	-35.871486	-26.016064	59.823293	249.000000	
147737	Action	-40.585987	-18.382166	58.216561	157.000000	
148032	Action	-48.028369	-24.212766	52.212766	141.000000	
148335	Action	-45.220183	-27.816514	55.477064	218.000000	
148840	Action	-36.055118	-21.992126	46.000000	254.000000	
148941	Action	-42.000000	-24.000000	52.000000	257.000000	
149337	Action	-40.000000	-20.000000	50.000000	257.000000	
149539	Action	-41.638655	-18.100840	53.689076	238.000000	
149741	Action	-43.570815	-22.094421	55.579399	233.000000	
150423	Action	-36.000000	-28.000000	54.000000	257.000000	
150524	Action	-40.816568	-22.378698	60.378698	169.000000	
150625	Action	-41.198068	-24.057971	59.101449	207.000000	
150726	Action	-44.314286	-28.014286	57.928571	140.000000	
151223	Action	-41.504425	-20.159292	55.424779	226.000000	
151526	Action	-39.846154	-24.040486	57.781377	247.000000	
151627	Action	-38.000000	-20.000000	40.000000	257.000000	
151728	Action	-40.000000	-36.000000	50.000000	257.000000	
152831	Action	-45.613445	-31.974790	51.697479	238.000000	
153025	Action	-47.848485	-24.272727	52.121212	132.000000	
153429	Action	-43.848000	-26.000000	55.880000	250.000000	
153833	Action	-48.329268	-22.182927	52.658537	164.000000	
154431	Action	-41.479821	-18.188341	57.363229	223.000000	
154734	Action	-46.194805	-27.896104	54.467532	154.000000	
154835	Action	-40.988636	-24.250000	60.420455	176.000000	
154936	Action	-36.000000	-18.000000	44.000000	257.000000	
155231	Action	-47.469565	-14.113043	45.591304	230.000000	
155635	Action	-43.000000	-20.315789	54.821053	190.000000	
156233	Action	-40.000000	-26.000000	52.000000	257.000000	
156637	Action	-40.000000	-20.000000	52.000000	257.000000	
157336	Action	-36.000000	-22.000000	54.000000	257.000000	
