Subject	story-to-Action	story-to-LTM	story-to-Perception	story-to-Procedural	story-to-WM	story_qr-to-Action	story_qr-to-LTM	story_qr-to-Perception	story_qr-to-Procedural	story_qr-to-WM	math-to-Action	math-to-LTM	math-to-Perception	math-to-Procedural	math-to-WM	math_qr-to-Action	math_qr-to-LTM	math_qr-to-Perception	math_qr-to-Procedural	math_qr-to-WM	
100307	0.000000	0.000000	0.038287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056910	0.000000	0.000000	-0.151870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195995	
100408	0.000000	0.000000	0.237574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107316	0.000000	0.000000	-0.075363	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.166622	
101006	0.000000	0.000000	0.071805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023049	0.000000	0.000000	-0.024755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060478	
101107	0.000000	0.000000	-0.001976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027312	0.000000	0.000000	0.001546	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016614	
101309	0.000000	0.000000	0.028549	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022017	0.000000	0.000000	0.022898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.105176	
101410	0.000000	0.000000	0.037910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094915	0.000000	0.000000	-0.052263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.096456	
101915	0.000000	0.000000	0.056607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.179193	0.000000	0.000000	-0.164509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.350818	
102008	0.000000	0.000000	-0.002184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009217	0.000000	0.000000	0.010285	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009100	
102311	0.000000	0.000000	-0.026857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.154927	0.000000	0.000000	-0.293093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.156240	
102816	0.000000	0.000000	-0.009001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.073874	0.000000	0.000000	0.002059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.103112	
103111	0.000000	0.000000	0.208957	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043418	0.000000	0.000000	0.071168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.197176	
103414	0.000000	0.000000	0.019090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082364	0.000000	0.000000	-0.011601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.038805	
103515	0.000000	0.000000	0.142442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.116173	0.000000	0.000000	0.066469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.120820	
