Subject	VOI	x	y	z	Size	
100307	Perception	-63.304348	-25.884058	3.507246	138.000000	
100408	Perception	-61.787500	-26.012500	-1.650000	160.000000	
101006	Perception	-56.000000	-14.000000	6.000000	257.000000	
101107	Perception	-54.000000	-18.000000	0.000000	257.000000	
101309	Perception	-48.000000	-24.000000	6.000000	257.000000	
101410	Perception	-52.000000	-30.000000	-4.000000	257.000000	
101915	Perception	-54.000000	-18.000000	4.000000	257.000000	
102008	Perception	-44.000000	-28.000000	8.031250	256.000000	
102311	Perception	-61.140271	-18.126697	7.809955	221.000000	
102816	Perception	-59.968750	-30.000000	-2.000000	256.000000	
103111	Perception	-52.000000	-18.000000	5.968750	256.000000	
103414	Perception	-59.429787	-28.000000	10.000000	235.000000	
103515	Perception	-54.000000	-18.000000	4.000000	257.000000	
103818	Perception	-46.000000	-28.000000	12.000000	257.000000	
104820	Perception	-59.180180	-16.171171	7.837838	222.000000	
105014	Perception	-60.538860	-14.248705	5.730570	193.000000	
105115	Perception	-52.000000	-18.000000	-6.000000	257.000000	
105216	Perception	-57.968750	-18.000000	6.000000	256.000000	
106016	Perception	-56.000000	-14.000000	6.000000	257.000000	
106319	Perception	-54.000000	-36.000000	4.000000	257.000000	
106521	Perception	-59.968750	-24.000000	8.000000	256.000000	
107321	Perception	-52.000000	-12.000000	4.000000	257.000000	
107422	Perception	-61.486486	-18.202703	-0.081081	148.000000	
108121	Perception	-54.000000	-26.000000	8.000000	257.000000	
108323	Perception	-56.000000	-25.968627	11.968627	255.000000	
108525	Perception	-57.921260	-10.031496	8.007874	254.000000	
108828	Perception	-56.000000	-20.000000	8.000000	257.000000	
109123	Perception	-59.247788	-20.061947	7.831858	226.000000	
109325	Perception	-42.000000	-20.000000	2.000000	257.000000	
110411	Perception	-60.212291	-12.324022	3.810056	179.000000	
111312	Perception	-56.000000	-16.000000	4.000000	257.000000	
111413	Perception	-56.000000	-22.000000	10.000000	257.000000	
111716	Perception	-50.000000	-24.000000	-6.000000	257.000000	
113215	Perception	-59.370690	-24.025862	5.931034	232.000000	
113619	Perception	-52.000000	-22.000000	8.000000	257.000000	
113922	Perception	-48.015625	-24.007812	8.023438	256.000000	
114419	Perception	-52.000000	-24.000000	8.000000	257.000000	
114924	Perception	-49.941423	-22.033473	15.564854	239.000000	
115320	Perception	-54.000000	-20.000000	6.000000	257.000000	
116524	Perception	-61.429787	-22.000000	-4.000000	235.000000	
117122	Perception	-57.824000	-20.000000	8.072000	250.000000	
117324	Perception	-50.000000	-22.000000	-8.000000	257.000000	
118528	Perception	-42.000000	-20.000000	0.000000	257.000000	
118730	Perception	-48.000000	-22.000000	6.000000	257.000000	
118932	Perception	-54.000000	-18.000000	4.000000	257.000000	
119833	Perception	-59.118182	-16.136364	5.809091	220.000000	
120111	Perception	-52.000000	-20.000000	4.000000	257.000000	
120212	Perception	-60.354839	-20.053763	7.720430	186.000000	
120515	Perception	-57.968750	-18.000000	-4.000000	256.000000	
121618	Perception	-50.015625	-32.023438	0.000000	256.000000	
122620	Perception	-54.000000	-16.000000	4.000000	257.000000	
123117	Perception	-61.510204	-24.068027	5.551020	147.000000	
123420	Perception	-50.000000	-28.000000	10.000000	257.000000	
123925	Perception	-52.000000	-32.000000	0.000000	257.000000	
124220	Perception	-54.000000	-20.000000	6.000000	257.000000	
124422	Perception	-59.226667	-21.955556	7.822222	225.000000	
124826	Perception	-59.268722	-22.044053	7.841410	227.000000	
125525	Perception	-59.619835	-18.016529	9.917355	242.000000	
126325	Perception	-57.945098	-12.015686	3.992157	255.000000	
126628	Perception	-55.968750	-20.000000	8.000000	256.000000	
127630	Perception	-50.000000	-24.000000	8.000000	257.000000	
127933	Perception	-56.000000	-16.000000	4.000000	257.000000	
128127	Perception	-52.000000	-20.000000	8.000000	257.000000	
128632	Perception	-60.683168	-18.108911	4.000000	202.000000	
129028	Perception	-55.968750	-16.000000	-6.000000	256.000000	
130013	Perception	-50.000000	-22.000000	8.000000	257.000000	
130316	Perception	-44.000000	-18.000000	0.000000	257.000000	
130922	Perception	-54.000000	-16.000000	-6.000000	257.000000	
131217	Perception	-52.000000	-10.000000	6.000000	257.000000	
131722	Perception	-56.000000	-22.000000	16.000000	257.000000	
131924	Perception	-50.000000	-30.000000	-4.000000	257.000000	
133019	Perception	-48.000000	-26.000000	6.000000	257.000000	
133625	Perception	-56.000000	-18.000000	6.000000	257.000000	
133827	Perception	-54.000000	-22.000000	10.000000	257.000000	
133928	Perception	-63.568627	-28.000000	6.000000	153.000000	
134324	Perception	-57.873016	-14.055556	6.015873	252.000000	
135225	Perception	-58.885714	-22.171429	9.857143	210.000000	
135528	Perception	-48.000000	-22.000000	8.000000	257.000000	
135932	Perception	-48.000000	-22.000000	10.000000	257.000000	
136227	Perception	-54.000000	-22.000000	6.000000	257.000000	
136833	Perception	-59.457627	-20.016949	8.008475	236.000000	
137027	Perception	-59.162162	-14.207207	3.981982	222.000000	
137128	Perception	-60.335135	-20.140541	9.718919	185.000000	
137633	Perception	-56.000000	-18.000000	6.000000	257.000000	
137936	Perception	-50.000000	-24.000000	10.000000	257.000000	
138231	Perception	-47.968379	-25.976285	6.102767	253.000000	
138534	Perception	-54.000000	-16.000000	4.000000	257.000000	
139233	Perception	-52.000000	-28.000000	-2.000000	257.000000	
139637	Perception	-57.968750	-16.000000	4.000000	256.000000	
140117	Perception	-50.000000	-20.000000	8.000000	257.000000	
140420	Perception	-60.523077	-20.092308	-2.030769	195.000000	
140824	Perception	-52.000000	-22.000000	-6.000000	257.000000	
140925	Perception	-50.000000	-22.000000	6.000000	257.000000	
141422	Perception	-50.031496	-21.968504	4.070866	254.000000	
141826	Perception	-54.000000	-18.000000	8.000000	257.000000	
142828	Perception	-54.024000	-11.944000	14.104000	250.000000	
143325	Perception	-60.552083	-10.520833	3.989583	192.000000	
144226	Perception	-50.000000	-26.000000	16.000000	257.000000	
144832	Perception	-57.968750	-18.000000	8.000000	256.000000	
145834	Perception	-61.223881	-18.477612	7.701493	134.000000	
146331	Perception	-59.424893	-19.991416	8.077253	233.000000	
146432	Perception	-57.968750	-14.000000	6.000000	256.000000	
147030	Perception	-52.000000	-32.000000	-2.000000	257.000000	
147737	Perception	-54.000000	-24.000000	8.000000	257.000000	
148032	Perception	-59.310044	-18.131004	5.973799	229.000000	
148335	Perception	-54.000000	-24.000000	-4.000000	257.000000	
148840	Perception	-50.000000	-16.000000	4.000000	257.000000	
