Subject	VOI	x	y	z	Size	
100307	Procedural	-16.000000	10.000000	0.000000	123.000000	
100408	Procedural	-24.000000	8.000000	-2.000000	123.000000	
101006	Procedural	-22.000000	10.000000	2.000000	123.000000	
101107	Procedural	-21.260000	10.080000	-0.080000	100.000000	
101309	Procedural	-22.000000	10.000000	2.000000	123.000000	
101410	Procedural	-18.000000	8.000000	0.000000	123.000000	
101915	Procedural	-20.000000	4.000000	4.000000	123.000000	
102008	Procedural	-20.000000	14.000000	-2.000000	123.000000	
102311	Procedural	-22.000000	6.000000	2.000000	123.000000	
102816	Procedural	-22.000000	8.000000	6.000000	123.000000	
103111	Procedural	-22.000000	12.000000	2.000000	123.000000	
103414	Procedural	-14.000000	20.000000	12.000000	123.000000	
103515	Procedural	-22.000000	4.000000	2.000000	123.000000	
103818	Procedural	-18.000000	18.000000	6.000000	123.000000	
104820	Procedural	-20.000000	10.000000	2.000000	123.000000	
105014	Procedural	-20.000000	10.000000	6.000000	123.000000	
105115	Procedural	-22.000000	10.000000	0.000000	123.000000	
105216	Procedural	-24.000000	8.000000	-6.000000	123.000000	
106016	Procedural	-22.000000	12.000000	-4.000000	123.000000	
106319	Procedural	-22.000000	8.000000	2.000000	123.000000	
106521	Procedural	-16.000000	12.000000	0.000000	123.000000	
107321	Procedural	-16.000000	16.000000	2.000000	123.000000	
107422	Procedural	-14.000000	10.000000	4.000000	123.000000	
108121	Procedural	-22.000000	6.000000	4.000000	123.000000	
108323	Procedural	-22.000000	4.000000	2.000000	123.000000	
108525	Procedural	-30.000000	14.000000	4.000000	123.000000	
108828	Procedural	-24.000000	10.000000	2.000000	123.000000	
109123	Procedural	-18.000000	10.000000	-2.000000	123.000000	
109325	Procedural	-20.000000	10.000000	4.000000	123.000000	
110411	Procedural	-18.000000	10.000000	-4.000000	123.000000	
111312	Procedural	-16.000000	14.000000	-4.000000	123.000000	
111413	Procedural	-20.000000	10.000000	2.000000	123.000000	
111716	Procedural	-18.000000	12.000000	2.000000	123.000000	
113215	Procedural	-18.000000	18.000000	0.000000	123.000000	
113619	Procedural	-18.000000	14.000000	-4.000000	123.000000	
113922	Procedural	-22.000000	4.000000	6.000000	123.000000	
114419	Procedural	-18.000000	14.000000	-4.000000	123.000000	
114924	Procedural	-23.765766	3.567568	-5.909910	111.000000	
115320	Procedural	-20.000000	14.000000	-2.000000	123.000000	
116524	Procedural	-22.000000	10.000000	2.000000	123.000000	
117122	Procedural	-22.000000	8.000000	-6.000000	123.000000	
117324	Procedural	-12.000000	22.000000	0.000000	123.000000	
118528	Procedural	-20.000000	10.000000	4.000000	123.000000	
118730	Procedural	-24.000000	12.000000	0.000000	123.000000	
118932	Procedural	-16.000000	16.000000	-6.000000	123.000000	
119833	Procedural	-22.000000	4.000000	6.000000	123.000000	
120111	Procedural	-22.000000	12.000000	4.000000	123.000000	
120212	Procedural	-22.000000	6.000000	0.000000	123.000000	
120515	Procedural	-20.000000	12.000000	-2.000000	123.000000	
121618	Procedural	-24.000000	6.000000	4.000000	123.000000	
