Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
100307	-0.772112	0.000000	0.464973	0.000000	0.000000	0.000000	-0.959750	0.000000	0.000000	1.062230	-0.094783	0.000000	0.973314	0.000000	-0.704375	0.000000	0.000000	0.000000	-0.101099	0.045403	-1.202078	-1.115565	-0.264167	-0.353752	-0.238498	
100408	-0.563480	0.000000	0.303264	0.000000	0.000000	0.000000	-0.132841	0.000000	0.000000	0.280040	0.289176	0.000000	0.001742	0.000000	0.271156	0.000000	0.000000	0.000000	0.009997	0.019041	-0.328444	0.269522	-1.046695	0.027112	0.074454	
101006	-0.000231	0.000000	0.007678	0.000000	0.000000	0.000000	-0.000043	0.000000	0.000000	0.007824	0.040555	0.000000	0.000994	0.000000	0.002875	0.000000	0.000000	0.000000	-0.000017	0.007824	0.015465	0.013527	0.005089	0.010099	-0.000194	
101107	-0.441224	0.000000	-0.933609	0.000000	0.000000	0.000000	-0.292377	0.000000	0.000000	0.149007	0.407642	0.000000	-0.222032	0.000000	0.289767	0.000000	0.000000	0.000000	0.034299	-0.064112	-0.280797	0.631109	0.386447	0.240010	0.160227	
101309	-0.037872	0.000000	-0.105182	0.000000	0.000000	0.000000	-0.043552	0.000000	0.000000	0.060948	0.308891	0.000000	0.062062	0.000000	0.164817	0.000000	0.000000	0.000000	-0.217810	0.097822	-0.305116	0.659424	-0.552890	0.384163	0.024713	
101410	-0.302258	0.000000	0.375168	0.000000	0.000000	0.000000	0.006104	0.000000	0.000000	-0.143760	0.111181	0.000000	-0.265449	0.000000	0.024707	0.000000	0.000000	0.000000	-0.015665	0.415988	-0.549650	-0.092074	0.131272	0.256448	-0.284466	
101915	-0.113888	0.000000	-0.205312	0.000000	0.000000	0.000000	-0.728417	0.000000	0.000000	-0.579702	-0.002075	0.000000	0.659628	0.000000	0.292110	0.000000	0.000000	0.000000	-0.163358	-0.017623	0.596057	0.871937	0.062598	0.433225	-0.140655	
102008	-0.067561	0.000000	-0.165969	0.000000	0.000000	0.000000	-0.249523	0.000000	0.000000	-0.438392	-0.097842	0.000000	0.172451	0.000000	0.573779	0.000000	0.000000	0.000000	-0.061373	-0.035021	0.296215	0.672641	-0.217057	0.116515	-0.181498	
102311	-0.124796	0.000000	-0.180423	0.000000	0.000000	0.000000	-0.100962	0.000000	0.000000	-0.199924	0.271389	0.000000	0.217410	0.000000	0.654212	0.000000	0.000000	0.000000	0.086911	-0.039855	-0.170157	0.468182	-0.377136	0.163172	-0.119595	
102816	-0.138667	0.000000	-0.251675	0.000000	0.000000	0.000000	-0.133715	0.000000	0.000000	0.124879	0.344083	0.000000	0.048818	0.000000	0.384297	0.000000	0.000000	0.000000	-0.250151	0.122122	0.219532	0.481779	-0.145684	0.686072	-0.074425	
103111	-0.006599	0.000000	-0.164906	0.000000	0.000000	0.000000	-0.551027	0.000000	0.000000	0.389715	0.016503	0.000000	0.653734	0.000000	-0.584025	0.000000	0.000000	0.000000	-0.169200	-0.070473	-0.117860	-1.026311	0.065067	0.338556	-0.148555	
103414	0.127225	0.000000	-0.348858	0.000000	0.000000	0.000000	-0.024276	0.000000	0.000000	0.009532	0.121433	0.000000	0.335314	0.000000	-0.212971	0.000000	0.000000	0.000000	-0.012088	0.011790	-0.025695	0.074061	0.429424	0.146015	-0.051770	
103515	-0.188303	0.000000	0.773077	0.000000	0.000000	0.000000	-0.017856	0.000000	0.000000	-0.026800	0.410662	0.000000	-0.183584	0.000000	0.481235	0.000000	0.000000	0.000000	-0.017468	0.235760	-0.318262	-0.018112	-0.508512	0.113917	-0.115388	
103818	0.027193	0.000000	-0.081828	0.000000	0.000000	0.000000	-0.112414	0.000000	0.000000	0.114079	0.154667	0.000000	0.175543	0.000000	0.093281	0.000000	0.000000	0.000000	-0.072282	0.047153	-0.097207	0.640059	-0.066811	0.290187	-0.010020	
104820	0.029406	0.000000	0.029916	0.000000	0.000000	0.000000	-0.407430	0.000000	0.000000	-0.166246	-0.011086	0.000000	0.189193	0.000000	0.261315	0.000000	0.000000	0.000000	-0.124788	-0.049254	-0.100478	0.738646	-0.111208	0.370884	0.053252	
105014	0.029630	0.000000	-0.179051	0.000000	0.000000	0.000000	-0.692893	0.000000	0.000000	0.479577	0.054511	0.000000	0.422827	0.000000	-0.213941	0.000000	0.000000	0.000000	-0.228379	0.055274	-0.402792	-0.893558	-0.075972	-0.453021	-0.124145	
105115	-0.116014	0.000000	0.169903	0.000000	0.000000	0.000000	-0.280489	0.000000	0.000000	-0.219561	-0.026717	0.000000	0.274976	0.000000	0.333265	0.000000	0.000000	0.000000	-0.044098	-0.082626	0.384782	0.969041	0.194660	0.213205	0.103938	
105216	-0.288868	0.000000	0.583051	0.000000	0.000000	0.000000	-0.350051	0.000000	0.000000	-1.229316	-0.153855	0.000000	0.976509	0.000000	0.647834	0.000000	0.000000	0.000000	-0.007501	0.025197	0.603417	0.625739	0.500156	-0.012915	-0.406895	
106016	-0.165866	0.000000	0.319791	0.000000	0.000000	0.000000	-0.637807	0.000000	0.000000	-0.643178	-0.052925	0.000000	0.319359	0.000000	0.202132	0.000000	0.000000	0.000000	-0.086628	-0.036289	0.537265	0.592057	0.382317	0.360391	-0.175817	
106319	0.080466	0.000000	-0.395853	0.000000	0.000000	0.000000	0.239051	0.000000	0.000000	-0.227813	0.130978	0.000000	0.344856	0.000000	0.586602	0.000000	0.000000	0.000000	0.030153	-0.127270	-0.015459	0.261552	-0.368966	0.111158	0.048259	
106521	-0.158799	0.000000	0.194005	0.000000	0.000000	0.000000	-0.483867	0.000000	0.000000	0.305720	0.450926	0.000000	-0.122781	0.000000	-0.243947	0.000000	0.000000	0.000000	-0.018186	0.228552	0.131491	0.426700	0.188782	0.336786	-0.180632	
107321	-0.410093	0.000000	0.522136	0.000000	0.000000	0.000000	-0.586668	0.000000	0.000000	-1.082935	-0.162956	0.000000	0.676763	0.000000	0.557752	0.000000	0.000000	0.000000	-0.001128	-0.047803	0.738150	0.517781	0.467722	0.259450	-0.442852	
107422	-0.106437	0.000000	0.262897	0.000000	0.000000	0.000000	-0.876385	0.000000	0.000000	-0.489045	-0.082745	0.000000	0.372878	0.000000	0.495151	0.000000	0.000000	0.000000	0.024890	0.036289	0.219503	0.987462	-0.020087	0.160673	-0.145349	
