Subject	VOI	x	y	z	Size	
100307	WM	-40.591716	13.384615	48.662722	169.000000	
100408	WM	-44.000000	4.000000	36.000000	257.000000	
101006	WM	-38.355140	20.411215	46.280374	107.000000	
101107	WM	-39.779592	23.853061	39.820408	245.000000	
101309	WM	-43.843750	13.093750	46.187500	128.000000	
101410	WM	-41.675214	12.957265	50.068376	117.000000	
101915	WM	-39.968254	16.984127	50.063492	126.000000	
102008	WM	-44.000000	4.000000	36.000000	257.000000	
102311	WM	-46.000000	6.000000	38.000000	257.000000	
102816	WM	-45.743119	21.027523	41.467890	109.000000	
103111	WM	-34.598726	21.082803	50.445860	157.000000	
103414	WM	-35.666667	25.675214	43.649573	234.000000	
103515	WM	-43.652893	7.925620	41.834711	242.000000	
103818	WM	-43.547826	18.886957	42.504348	115.000000	
104820	WM	-42.133333	13.373333	46.520000	150.000000	
105014	WM	-43.850000	10.750000	48.400000	80.000000	
105115	WM	-37.872000	9.936000	47.872000	250.000000	
105216	WM	-47.976562	3.992188	35.984375	256.000000	
106016	WM	-42.000000	12.000000	42.000000	257.000000	
106319	WM	-40.000000	6.000000	38.000000	257.000000	
106521	WM	-38.279720	19.006993	48.307692	143.000000	
107321	WM	-39.846774	15.887097	45.846774	248.000000	
107422	WM	-43.125000	9.550000	48.600000	80.000000	
108121	WM	-48.129412	19.658824	33.329412	170.000000	
108323	WM	-49.786667	19.266667	33.200000	150.000000	
108525	WM	-45.563910	11.383459	40.676692	133.000000	
108828	WM	-40.786885	11.562842	47.704918	183.000000	
109123	WM	-48.569892	17.612903	35.236559	186.000000	
109325	WM	-49.175926	9.574074	33.629630	216.000000	
110411	WM	-45.633333	22.866667	36.550000	120.000000	
111312	WM	-47.524752	15.188119	41.207921	101.000000	
111413	WM	-40.849057	22.566038	43.584906	106.000000	
111716	WM	-45.891156	19.224490	38.829932	147.000000	
113215	WM	-36.000000	10.000000	42.000000	257.000000	
113619	WM	-40.058824	12.245098	43.950980	204.000000	
113922	WM	-35.894737	18.024291	50.218623	247.000000	
114419	WM	-48.655738	5.398907	39.092896	183.000000	
114924	WM	-40.075188	14.947368	46.195489	133.000000	
115320	WM	-49.730612	1.910204	37.853061	245.000000	
116524	WM	-40.248062	16.620155	46.387597	129.000000	
117122	WM	-49.650350	19.244755	33.118881	143.000000	
117324	WM	-46.000000	8.000000	36.000000	257.000000	
118528	WM	-44.000000	4.000000	40.000000	257.000000	
118730	WM	-50.064103	5.371795	42.858974	156.000000	
118932	WM	-37.041667	21.364583	44.979167	192.000000	
119833	WM	-38.129032	24.741935	47.983871	124.000000	
120111	WM	-35.382488	23.548387	43.382488	217.000000	
120212	WM	-45.945098	11.992157	31.984314	255.000000	
120515	WM	-41.850467	13.495327	45.775701	107.000000	
121618	WM	-40.811111	19.233333	46.888889	180.000000	
122317	WM	-42.911917	13.440415	47.108808	193.000000	
122620	WM	-46.460674	15.685393	37.033708	178.000000	
123117	WM	-48.097561	19.365854	33.219512	164.000000	
123420	WM	-44.000000	8.000000	36.000000	257.000000	
123925	WM	-44.139535	22.372093	34.604651	129.000000	
124220	WM	-41.805907	7.940928	45.839662	237.000000	
124422	WM	-43.893939	16.954545	46.378788	132.000000	
124826	WM	-43.906250	20.921875	42.296875	128.000000	
125525	WM	-41.244019	17.559809	47.234450	209.000000	
126325	WM	-45.692308	20.903846	42.384615	104.000000	
126628	WM	-47.618321	9.267176	42.534351	131.000000	
127630	WM	-48.758974	5.538462	41.364103	195.000000	
127933	WM	-45.488000	22.960000	38.672000	125.000000	
128127	WM	-47.596774	18.903226	39.048387	124.000000	
128632	WM	-42.748387	14.567742	45.212903	155.000000	
129028	WM	-36.544000	17.184000	54.144000	125.000000	
130013	WM	-42.000000	4.000000	40.000000	257.000000	
130316	WM	-38.651163	11.337209	50.720930	172.000000	
130922	WM	-42.150000	12.866667	50.000000	120.000000	
131217	WM	-35.937008	15.968504	45.952756	254.000000	
131722	WM	-39.488987	23.674009	43.550661	227.000000	
131924	WM	-46.234375	20.937500	38.968750	128.000000	
133019	WM	-36.000000	14.000000	30.000000	257.000000	
133625	WM	-42.084746	19.169492	46.254237	118.000000	
133827	WM	-36.378788	20.636364	50.090909	132.000000	
133928	WM	-39.849246	17.869347	35.356784	199.000000	
134324	WM	-45.945098	17.992157	31.984314	255.000000	
135225	WM	-46.000000	6.000000	38.000000	257.000000	
135528	WM	-45.596774	11.467742	44.483871	124.000000	
135932	WM	-48.937198	13.719807	35.516908	207.000000	
136227	WM	-42.505882	21.164706	42.929412	170.000000	
136833	WM	-42.872340	9.319149	45.042553	188.000000	
137027	WM	-46.000000	12.000000	34.000000	257.000000	
137128	WM	-46.000000	10.000000	34.000000	257.000000	
137633	WM	-36.476821	18.940397	50.423841	151.000000	
137936	WM	-35.139535	20.953488	48.709302	172.000000	
138231	WM	-46.000000	2.000000	38.000000	257.000000	
138534	WM	-47.351111	5.733333	41.617778	225.000000	
139233	WM	-46.330435	13.513043	44.678261	115.000000	
140117	WM	-45.811594	23.043478	36.710145	138.000000	
140420	WM	-46.000000	10.000000	34.000000	257.000000	
994273	WM	-50.695187	1.561497	39.101604	187.000000	
140824	WM	-42.126126	19.405405	44.108108	111.000000	
