Subject	VOI	x	y	z	Size	
100307	Action	-34.728571	-24.200000	63.642857	140.000000	
100408	Action	-42.703911	-24.000000	56.703911	179.000000	
101006	Action	-36.535354	-18.000000	49.787879	198.000000	
101107	Action	-42.391608	-18.419580	57.972028	143.000000	
101309	Action	-43.983333	-20.583333	55.766667	120.000000	
101410	Action	-36.063492	-25.976190	46.119048	252.000000	
101915	Action	-42.123894	-17.769912	41.646018	226.000000	
102008	Action	-40.095238	-26.103175	52.007937	252.000000	
102311	Action	-42.000000	-16.000000	36.000000	257.000000	
102816	Action	-38.065574	-20.311475	39.950820	244.000000	
103111	Action	-40.502618	-16.408377	45.926702	191.000000	
103414	Action	-35.500000	-19.464286	45.839286	112.000000	
103515	Action	-42.076923	-20.384615	57.830769	130.000000	
103818	Action	-42.007968	-21.976096	52.071713	251.000000	
104820	Action	-39.539130	-16.156522	55.521739	230.000000	
105014	Action	-39.752066	-18.049587	55.768595	242.000000	
105115	Action	-40.297872	-12.439716	56.000000	141.000000	
105216	Action	-36.396135	-15.545894	46.154589	207.000000	
106016	Action	-44.061135	-16.000000	48.131004	229.000000	
106319	Action	-36.062992	-16.015748	43.960630	254.000000	
106521	Action	-42.484076	-16.254777	54.292994	157.000000	
107321	Action	-41.610169	-24.025424	55.627119	236.000000	
107422	Action	-42.283333	-16.175000	46.241667	240.000000	
108121	Action	-42.397351	-8.317881	54.185430	151.000000	
108323	Action	-33.837398	-26.040650	61.756098	246.000000	
108525	Action	-43.545064	-25.957082	53.596567	233.000000	
108828	Action	-38.000000	-18.000000	50.000000	257.000000	
109123	Action	-37.661538	-18.410256	48.205128	195.000000	
109325	Action	-37.914439	-14.919786	43.989305	187.000000	
110411	Action	-36.000000	-28.000000	56.000000	257.000000	
111312	Action	-36.091954	-16.816092	47.425287	174.000000	
111413	Action	-37.992157	-19.945098	46.015686	255.000000	
111716	Action	-37.894273	-15.964758	45.770925	227.000000	
113215	Action	-35.976378	-19.952756	45.992126	254.000000	
113619	Action	-36.000000	-8.000000	56.000000	257.000000	
113922	Action	-42.201835	-20.192661	50.018349	218.000000	
114419	Action	-28.000000	-8.000000	56.000000	257.000000	
114924	Action	-38.087302	-22.023810	48.103175	252.000000	
115320	Action	-39.735537	-24.074380	57.727273	242.000000	
116524	Action	-40.000000	-16.000000	46.000000	257.000000	
117122	Action	-35.650943	-18.320755	40.000000	212.000000	
117324	Action	-43.876543	-13.679012	45.917695	243.000000	
118528	Action	-38.000000	-20.000000	52.000000	257.000000	
118730	Action	-47.919355	-18.032258	47.951613	248.000000	
118932	Action	-39.237113	-18.010309	53.649485	194.000000	
119833	Action	-39.896000	-16.016000	51.856000	250.000000	
120111	Action	-42.255144	-19.827160	39.843621	243.000000	
120212	Action	-39.880478	-18.000000	53.880478	251.000000	
120515	Action	-44.625954	-13.618321	42.305344	131.000000	
121618	Action	-41.829960	-8.048583	53.797571	247.000000	
122317	Action	-49.571429	-14.247619	45.295238	210.000000	
122620	Action	-38.015810	-22.094862	47.984190	253.000000	
123117	Action	-34.822086	-22.049080	62.171779	163.000000	
123420	Action	-43.415929	-23.876106	55.504425	226.000000	
123925	Action	-38.272727	-6.333333	55.727273	132.000000	
124220	Action	-41.777778	-16.636364	55.333333	198.000000	
124422	Action	-40.000000	-22.000000	56.000000	257.000000	
124826	Action	-40.081301	-16.235772	44.146341	246.000000	
125525	Action	-46.431373	-16.418301	54.235294	153.000000	
126325	Action	-38.000000	-24.000000	54.000000	257.000000	
126628	Action	-49.720930	-8.511628	48.217054	129.000000	
127630	Action	-42.000000	-16.000000	44.000000	257.000000	
127933	Action	-34.606061	-22.400000	46.569697	165.000000	
128127	Action	-36.000000	-22.000000	52.000000	257.000000	
128632	Action	-37.880000	-24.000000	57.848000	250.000000	
129028	Action	-36.156522	-20.443478	52.008696	230.000000	
130013	Action	-40.530612	-12.680272	58.095238	147.000000	
130316	Action	-42.140625	-18.375000	55.734375	128.000000	
130922	Action	-38.000000	-16.000000	56.000000	257.000000	
131217	Action	-44.610000	-9.990000	40.110000	200.000000	
131722	Action	-34.172840	-21.983539	48.131687	243.000000	
131924	Action	-38.066116	-14.115702	46.280992	242.000000	
133019	Action	-36.184100	-20.242678	49.907950	239.000000	
133625	Action	-34.000000	-24.000000	56.000000	257.000000	
133827	Action	-40.000000	-22.000000	50.000000	257.000000	
133928	Action	-39.644970	-24.153846	57.337278	169.000000	
134324	Action	-45.916667	-22.450000	54.000000	120.000000	
135225	Action	-47.100000	-14.450000	51.130000	200.000000	
135528	Action	-32.000000	-26.000000	58.000000	257.000000	
135932	Action	-34.171429	-18.220408	43.877551	245.000000	
136227	Action	-47.691057	-14.455285	52.016260	123.000000	
136833	Action	-52.000000	-28.000000	42.000000	257.000000	
137027	Action	-39.652542	-23.822034	56.118644	236.000000	
137128	Action	-42.408451	-18.591549	55.971831	142.000000	
137633	Action	-44.007812	-16.015625	50.023438	256.000000	
137936	Action	-40.625000	-18.760417	50.406250	192.000000	
138231	Action	-35.769547	-19.769547	42.065844	243.000000	
138534	Action	-32.039216	-21.984314	48.039216	255.000000	
139233	Action	-45.878049	-11.707317	54.682927	82.000000	
139637	Action	-47.320755	-14.830189	52.396226	106.000000	
140117	Action	-42.000000	-18.000000	44.000000	257.000000	
140420	Action	-40.255639	-24.000000	59.744361	133.000000	
140824	Action	-40.063348	-14.135747	52.253394	221.000000	
140925	Action	-38.000000	-19.880478	46.119522	251.000000	
141422	Action	-43.944444	-4.071429	48.023810	252.000000	
141826	Action	-42.096000	-14.040000	50.072000	250.000000	
142828	Action	-45.037037	-24.024691	58.049383	81.000000	
