Subject	VOI	x	y	z	Size	
100307	LTM	-51.703057	3.764192	-20.235808	229.000000	
100408	LTM	-43.856209	-1.830065	-12.588235	153.000000	
101006	LTM	-49.926829	-7.991870	-17.756098	246.000000	
101107	LTM	-51.795082	-0.114754	-21.918033	244.000000	
101309	LTM	-56.036145	-2.204819	-11.590361	166.000000	
101410	LTM	-57.736842	-2.842105	-19.947368	152.000000	
101915	LTM	-52.023438	-0.015625	-22.007812	256.000000	
102008	LTM	-55.984127	4.730159	-13.761905	126.000000	
102311	LTM	-54.111554	-2.079681	-12.047809	251.000000	
102816	LTM	-54.491803	3.147541	-15.836066	183.000000	
103111	LTM	-56.084507	3.436620	-13.323944	71.000000	
103414	LTM	-57.648148	0.629630	-18.611111	108.000000	
103515	LTM	-51.200000	-1.579487	-20.348718	195.000000	
103818	LTM	-54.157205	-2.235808	-14.061135	229.000000	
104820	LTM	-56.502732	-0.710383	-11.508197	183.000000	
105014	LTM	-45.777778	-0.195556	-11.395556	225.000000	
105115	LTM	-55.523077	2.492308	-19.815385	130.000000	
105216	LTM	-52.102564	1.702564	-20.276923	195.000000	
106016	LTM	-58.602941	-5.529412	-14.235294	136.000000	
106319	LTM	-52.008811	3.867841	-16.229075	227.000000	
106521	LTM	-56.000000	-10.000000	-14.000000	257.000000	
107321	LTM	-55.702128	2.695035	-15.744681	141.000000	
107422	LTM	-58.152941	-4.800000	-17.847059	170.000000	
108121	LTM	-48.136546	-7.903614	-18.120482	249.000000	
108323	LTM	-56.259887	1.322034	-13.943503	177.000000	
108525	LTM	-51.359649	3.684211	-13.912281	228.000000	
108828	LTM	-45.617778	-6.088889	-21.866667	225.000000	
109123	LTM	-49.845455	-3.600000	-17.554545	220.000000	
109325	LTM	-58.795031	-6.658385	-16.322981	161.000000	
110411	LTM	-57.439252	0.785047	-16.317757	107.000000	
111312	LTM	-57.767857	2.535714	-12.553571	112.000000	
111413	LTM	-52.000000	-4.000000	-16.000000	257.000000	
111716	LTM	-52.230769	7.076923	-15.730769	156.000000	
113215	LTM	-59.193548	-8.177419	-15.145161	124.000000	
113619	LTM	-55.105263	-0.452632	-13.705263	190.000000	
113922	LTM	-57.183857	-6.179372	-12.008969	223.000000	
114419	LTM	-57.365639	-2.290749	-12.114537	227.000000	
114924	LTM	-54.505376	3.344086	-9.645161	186.000000	
115320	LTM	-58.162791	-2.732558	-10.104651	172.000000	
116524	LTM	-49.975610	-7.829268	-12.081301	246.000000	
117122	LTM	-54.251429	5.222857	-15.954286	175.000000	
117324	LTM	-57.158879	-2.364486	-10.028037	214.000000	
118528	LTM	-52.168776	-4.092827	-16.227848	237.000000	
118730	LTM	-57.671642	-1.328358	-17.910448	134.000000	
118932	LTM	-54.228571	3.497143	-11.760000	175.000000	
119833	LTM	-57.242424	3.242424	-5.696970	132.000000	
120111	LTM	-52.000000	-6.000000	-14.000000	257.000000	
120212	LTM	-55.100000	-0.266667	-8.200000	60.000000	
120515	LTM	-55.747967	-6.056911	-9.869919	246.000000	
121618	LTM	-56.095238	1.714286	-20.222222	63.000000	
122317	LTM	-54.000000	-8.000000	-12.000000	257.000000	
122620	LTM	-56.365591	-2.333333	-11.903226	186.000000	
123117	LTM	-59.633803	-6.915493	-11.338028	142.000000	
123420	LTM	-53.976562	-2.015625	-17.992188	256.000000	
123925	LTM	-50.000000	-3.968750	-16.000000	256.000000	
124220	LTM	-53.969925	6.556391	-16.180451	133.000000	
124422	LTM	-49.991071	-3.955357	-13.875000	224.000000	
124826	LTM	-55.445887	-0.259740	-12.017316	231.000000	
125525	LTM	-54.582011	-4.349206	-13.608466	189.000000	
126325	LTM	-52.956098	1.892683	-18.097561	205.000000	
126628	LTM	-58.467290	-0.766355	-8.616822	107.000000	
127630	LTM	-50.000000	-2.000000	-18.000000	257.000000	
127933	LTM	-55.568627	7.058824	-9.117647	102.000000	
128127	LTM	-55.318584	1.725664	-15.955752	226.000000	
128632	LTM	-50.000000	-6.000000	-18.000000	257.000000	
129028	LTM	-53.576642	4.788321	-11.576642	137.000000	
130013	LTM	-49.794643	7.678571	-15.946429	224.000000	
130316	LTM	-53.705882	-0.226891	-19.991597	238.000000	
130922	LTM	-55.473684	2.872180	-13.804511	133.000000	
131217	LTM	-48.791667	11.093750	-23.729167	192.000000	
131722	LTM	-57.328467	1.313869	-14.000000	137.000000	
131924	LTM	-55.908497	2.849673	-16.065359	153.000000	
133019	LTM	-54.696133	3.182320	-16.099448	181.000000	
133625	LTM	-53.442060	3.759657	-18.025751	233.000000	
133827	LTM	-55.446154	5.092308	-11.738462	130.000000	
133928	LTM	-56.497297	-0.745946	-10.032432	185.000000	
134324	LTM	-57.407407	0.907407	-13.888889	108.000000	
135225	LTM	-54.426829	2.865854	-17.756098	164.000000	
135528	LTM	-55.661157	-0.198347	-18.041322	242.000000	
135932	LTM	-52.710660	5.390863	-17.969543	197.000000	
136227	LTM	-56.762431	-2.419890	-18.353591	181.000000	
136833	LTM	-58.545455	-4.609626	-9.978610	187.000000	
137027	LTM	-55.406114	-6.253275	-15.895197	229.000000	
137128	LTM	-56.673575	-2.373057	-14.093264	193.000000	
137633	LTM	-52.040816	-6.040816	-12.236735	245.000000	
137936	LTM	-53.848606	-6.063745	-12.007968	251.000000	
138231	LTM	-57.163636	-4.318182	-9.863636	220.000000	
138534	LTM	-53.953846	-2.292308	-22.276923	130.000000	
139233	LTM	-55.607143	-1.607143	-7.523810	168.000000	
139637	LTM	-53.614350	-13.677130	-13.327354	223.000000	
140117	LTM	-51.402597	3.740260	-23.930736	231.000000	
140420	LTM	-56.419890	-4.541436	-7.690608	181.000000	
140824	LTM	-50.238095	-6.079365	-16.285714	126.000000	
140925	LTM	-51.765182	3.878543	-11.951417	247.000000	
141422	LTM	-56.091503	-0.535948	-14.183007	153.000000	
141826	LTM	-54.192513	1.882353	-14.224599	187.000000	
142828	LTM	-54.863309	4.661871	-24.719424	139.000000	
143325	LTM	-58.831461	0.943820	-15.842697	89.000000	
144226	LTM	-44.028986	0.260870	-11.840580	138.000000	
144832	LTM	-54.000000	-6.000000	-10.000000	257.000000	
145834	LTM	-55.547009	-0.367521	-18.025641	234.000000	
146331	LTM	-54.131148	6.131148	-15.704918	61.000000	
146432	LTM	-55.268293	3.008130	-11.707317	123.000000	
147030	LTM	-54.225000	-2.000000	-22.150000	240.000000	
147737	LTM	-56.985782	-6.350711	-5.895735	211.000000	
148032	LTM	-55.826667	2.880000	-13.960000	150.000000	
148335	LTM	-60.148148	-6.933333	-10.503704	135.000000	
148840	LTM	-57.315789	-6.228070	-10.035088	228.000000	
148941	LTM	-53.216216	5.675676	-13.882883	222.000000	
149337	LTM	-53.488584	1.753425	-11.936073	219.000000	
149539	LTM	-56.673077	2.903846	-9.365385	104.000000	
149741	LTM	-55.976562	-6.015625	-10.007812	256.000000	
150423	LTM	-54.000000	-6.000000	-14.000000	257.000000	
150524	LTM	-51.953704	-5.453704	-12.268519	216.000000	
150625	LTM	-55.720280	2.727273	-10.167832	143.000000	
150726	LTM	-53.814815	6.851852	-11.314815	108.000000	
151223	LTM	-53.431193	1.422018	-11.642202	218.000000	
151526	LTM	-55.671233	1.041096	-12.301370	146.000000	
151627	LTM	-53.769547	1.843621	-14.057613	243.000000	
151728	LTM	-54.233333	5.666667	-10.733333	60.000000	
152831	LTM	-52.454936	-4.240343	-12.309013	233.000000	
153025	LTM	-53.688525	-0.073770	-13.918033	244.000000	
153429	LTM	-54.857143	5.517241	-5.911330	203.000000	
153833	LTM	-51.968379	-8.047431	-16.094862	253.000000	
154431	LTM	-56.386740	-0.718232	-14.154696	181.000000	
154734	LTM	-58.552083	-2.520833	-14.020833	192.000000	
154835	LTM	-59.530303	-5.242424	-13.757576	132.000000	
154936	LTM	-55.720280	-1.132867	-17.706294	143.000000	
155231	LTM	-50.000000	-4.000000	-20.000000	257.000000	
155635	LTM	-53.518717	1.336898	-18.000000	187.000000	
156233	LTM	-55.045872	0.477064	-5.357798	109.000000	
156637	LTM	-54.773196	3.154639	-22.092784	194.000000	
157336	LTM	-47.957082	0.163090	-17.896996	233.000000	
