Subject	VOI	x	y	z	Size	
100307	Procedural	-16.000000	10.000000	8.000000	123.000000	
100408	Procedural	-10.208696	12.069565	5.982609	115.000000	
101006	Procedural	-12.000000	10.000000	8.000000	123.000000	
101107	Procedural	-20.000000	12.000000	0.000000	123.000000	
101309	Procedural	-18.000000	12.000000	6.000000	123.000000	
101410	Procedural	-12.117647	5.915966	13.882353	119.000000	
101915	Procedural	-10.000000	4.000000	8.000000	123.000000	
102008	Procedural	-10.753247	10.311688	2.051948	77.000000	
102311	Procedural	-22.000000	8.000000	-2.000000	123.000000	
102816	Procedural	-18.000000	12.000000	10.000000	123.000000	
103111	Procedural	-7.714286	9.914286	8.114286	70.000000	
103414	Procedural	-14.000000	10.000000	12.000000	123.000000	
103515	Procedural	-12.753247	11.142857	-1.766234	77.000000	
103818	Procedural	-14.000000	12.000000	4.000000	123.000000	
104820	Procedural	-12.304762	15.523810	1.942857	105.000000	
105014	Procedural	-19.847458	9.932203	5.847458	118.000000	
105115	Procedural	-6.000000	10.000000	2.000000	123.000000	
105216	Procedural	-12.000000	10.000000	14.000000	123.000000	
106016	Procedural	-20.000000	16.000000	12.000000	123.000000	
106319	Procedural	-16.000000	14.000000	4.000000	123.000000	
106521	Procedural	-14.571429	5.428571	10.342857	35.000000	
107321	Procedural	-19.515152	13.121212	6.151515	66.000000	
107422	Procedural	-20.000000	13.848739	10.100840	119.000000	
108121	Procedural	-5.756522	22.226087	3.930435	115.000000	
108323	Procedural	-18.000000	18.000000	6.000000	123.000000	
108525	Procedural	-12.000000	6.000000	14.000000	123.000000	
108828	Procedural	-8.000000	14.000000	4.000000	123.000000	
109123	Procedural	-8.000000	10.000000	6.000000	123.000000	
109325	Procedural	-10.000000	12.000000	4.049180	122.000000	
110411	Procedural	-10.000000	14.000000	10.000000	123.000000	
111312	Procedural	-6.037037	16.629630	-2.814815	54.000000	
111413	Procedural	-20.000000	8.000000	12.000000	123.000000	
111716	Procedural	-13.111111	19.259259	2.222222	27.000000	
113215	Procedural	-18.000000	12.000000	10.000000	123.000000	
113619	Procedural	-12.102564	13.846154	9.914530	117.000000	
113922	Procedural	-14.018349	13.834862	12.220183	109.000000	
114419	Procedural	-14.000000	8.000000	8.000000	123.000000	
114924	Procedural	-9.794872	14.136752	1.914530	117.000000	
115320	Procedural	-14.000000	8.000000	10.000000	123.000000	
116524	Procedural	-7.967213	5.983607	9.967213	122.000000	
117122	Procedural	-12.032787	6.032787	11.983607	122.000000	
117324	Procedural	-10.032787	1.983607	6.032787	122.000000	
