Subject	VOI	x	y	z	Size	
100307	Perception	-36.000000	-44.000000	-24.000000	257.000000	
100408	Perception	-38.282158	-50.215768	-14.182573	241.000000	
101006	Perception	-22.672811	-45.953917	-12.230415	217.000000	
101107	Perception	-36.179487	-36.230769	-19.641026	78.000000	
101309	Perception	-34.162602	-52.024390	-8.243902	246.000000	
101410	Perception	-46.000000	-34.705882	-13.882353	17.000000	
101915	Perception	-38.000000	-52.000000	-22.000000	257.000000	
102008	Perception	-41.968750	-50.000000	-16.000000	256.000000	
102311	Perception	-37.715481	-40.225941	-23.707113	239.000000	
102816	Perception	-36.000000	-50.000000	-22.000000	257.000000	
103111	Perception	-34.048193	-52.088353	-18.192771	249.000000	
103414	Perception	-32.016194	-50.032389	-19.975709	247.000000	
103818	Perception	-32.120482	-46.168675	-21.983936	249.000000	
104820	Perception	-34.083682	-54.150628	-16.426778	239.000000	
105014	Perception	-35.410714	-40.455357	-25.660714	224.000000	
105115	Perception	-42.000000	-50.000000	-10.000000	257.000000	
105216	Perception	-31.516949	-41.872881	-20.000000	236.000000	
106016	Perception	-34.000000	-56.000000	-18.000000	257.000000	
106319	Perception	-34.000000	-54.000000	-18.000000	257.000000	
106521	Perception	-32.032000	-49.968000	-15.880000	250.000000	
107321	Perception	-33.984314	-50.039216	-16.039216	255.000000	
107422	Perception	-34.000000	-44.000000	-20.000000	257.000000	
108121	Perception	-33.928287	-40.103586	-23.904382	251.000000	
108323	Perception	-36.000000	-50.000000	-22.000000	257.000000	
108525	Perception	-31.855932	-56.177966	-18.194915	236.000000	
108828	Perception	-41.879032	-48.201613	-29.943548	248.000000	
109123	Perception	-37.937008	-48.031496	-21.952756	254.000000	
109325	Perception	-38.000000	-46.000000	-20.000000	257.000000	
110411	Perception	-43.124424	-50.368664	-21.797235	217.000000	
111312	Perception	-42.000000	-50.000000	-22.000000	257.000000	
111413	Perception	-32.000000	-56.000000	-18.000000	257.000000	
111716	Perception	-34.000000	-50.000000	-20.000000	257.000000	
112819	Perception	-36.000000	-54.000000	-30.000000	257.000000	
113215	Perception	-35.429864	-38.461538	-25.520362	221.000000	
113619	Perception	-34.238683	-45.967078	-19.794239	243.000000	
113821	Perception	-32.007937	-48.063492	-19.960317	252.000000	
113922	Perception	-35.944882	-50.039370	-21.952756	254.000000	
114419	Perception	-25.857143	-50.602041	-8.510204	196.000000	
114924	Perception	-36.519481	-50.363636	-7.298701	154.000000	
115320	Perception	-38.000000	-52.000000	-24.000000	257.000000	
116524	Perception	-43.562232	-57.630901	-19.836910	233.000000	
117122	Perception	-30.000000	-54.000000	-16.000000	257.000000	
117324	Perception	-32.000000	-60.000000	-18.000000	257.000000	
118528	Perception	-30.000000	-52.000000	-20.000000	257.000000	
118730	Perception	-24.000000	-49.968750	-12.000000	256.000000	
118932	Perception	-36.000000	-56.000000	-20.000000	257.000000	
119833	Perception	-34.000000	-46.000000	-20.000000	257.000000	
120111	Perception	-36.543860	-33.561404	-14.175439	114.000000	
120212	Perception	-37.622318	-40.257511	-23.596567	233.000000	
120515	Perception	-36.000000	-56.000000	-16.000000	257.000000	
121315	Perception	-34.196429	-43.901786	-21.464286	224.000000	
122317	Perception	-40.000000	-52.000000	-22.000000	257.000000	
122620	Perception	-30.000000	-48.000000	-20.000000	257.000000	
123117	Perception	-31.627660	-50.819149	-9.957447	188.000000	
123420	Perception	-40.000000	-56.000000	-22.000000	257.000000	
123925	Perception	-36.000000	-52.000000	-20.000000	257.000000	
124220	Perception	-35.259669	-42.375691	-22.817680	181.000000	
124422	Perception	-30.000000	-50.000000	-18.000000	257.000000	
124826	Perception	-35.768595	-44.148760	-23.719008	242.000000	
125525	Perception	-31.952191	-47.920319	-8.135458	251.000000	
