Subject	VOI	x	y	z	Size	
100307	WM	-48.025641	17.384615	34.923077	156.000000	
100408	WM	-46.000000	14.000000	32.000000	257.000000	
101006	WM	-48.534759	17.636364	29.336898	187.000000	
101107	WM	-46.000000	12.000000	34.000000	257.000000	
101309	WM	-48.463768	13.710145	41.275362	69.000000	
101410	WM	-46.413793	27.195402	29.241379	174.000000	
101915	WM	-49.753425	25.095890	29.205479	146.000000	
102008	WM	-49.355932	17.203390	36.677966	118.000000	
102311	WM	-48.720812	17.644670	33.482234	197.000000	
102816	WM	-42.000000	28.000000	28.000000	257.000000	
103111	WM	-41.952756	27.976378	32.007874	254.000000	
103414	WM	-50.736000	18.976000	21.488000	125.000000	
103818	WM	-42.580645	18.774194	40.612903	62.000000	
104820	WM	-40.123077	26.615385	40.276923	130.000000	
105014	WM	-38.000000	24.000000	32.000000	257.000000	
105115	WM	-35.476440	28.324607	38.439791	191.000000	
105216	WM	-46.742268	23.443299	33.422680	194.000000	
106016	WM	-51.414141	17.979798	29.818182	99.000000	
106319	WM	-42.119403	26.746269	40.417910	134.000000	
106521	WM	-46.642857	20.642857	37.642857	28.000000	
107321	WM	-38.016393	19.877049	44.180328	244.000000	
107422	WM	-40.210526	24.315789	44.661654	133.000000	
108121	WM	-45.897233	16.000000	33.952569	253.000000	
108323	WM	-48.204819	23.168675	33.277108	166.000000	
108525	WM	-43.082927	25.414634	33.395122	205.000000	
108828	WM	-45.883212	28.759124	32.875912	137.000000	
109123	WM	-51.380952	13.111111	34.936508	126.000000	
109325	WM	-46.077419	25.148387	34.941935	155.000000	
110411	WM	-47.456000	13.440000	40.448000	125.000000	
111312	WM	-42.047431	19.920949	27.936759	253.000000	
111413	WM	-41.744076	23.383886	39.374408	211.000000	
111716	WM	-41.956204	17.094891	46.452555	137.000000	
112819	WM	-45.759398	13.263158	46.406015	133.000000	
113215	WM	-50.253165	13.240506	36.936709	158.000000	
113619	WM	-43.927007	22.802920	42.656934	137.000000	
113821	WM	-49.278689	23.245902	33.098361	122.000000	
113922	WM	-45.750000	23.156250	38.765625	128.000000	
114419	WM	-44.383234	29.137725	31.005988	167.000000	
114924	WM	-46.990476	17.704762	31.571429	210.000000	
115320	WM	-45.552000	19.216000	38.416000	125.000000	
116524	WM	-47.798387	21.903226	23.903226	248.000000	
117122	WM	-44.434783	24.894410	36.894410	161.000000	
117324	WM	-45.643411	24.852713	36.713178	129.000000	
118528	WM	-45.798450	30.666667	32.604651	129.000000	
118730	WM	-41.666667	34.589744	34.871795	78.000000	
118932	WM	-52.303030	11.030303	31.151515	165.000000	
119833	WM	-49.392000	19.312000	34.960000	125.000000	
120111	WM	-50.129870	21.896104	29.142857	77.000000	
120212	WM	-38.000000	14.000000	30.000000	257.000000	
120515	WM	-40.524823	26.539007	38.553191	141.000000	
121315	WM	-47.484979	23.742489	27.793991	233.000000	
122317	WM	-50.025478	21.222930	31.095541	157.000000	
122620	WM	-43.298246	24.561404	38.035088	57.000000	
123117	WM	-47.503759	23.067669	30.977444	133.000000	
123420	WM	-44.705882	25.283422	35.283422	187.000000	
123925	WM	-44.527778	18.500000	43.166667	72.000000	
124220	WM	-46.471264	23.183908	33.195402	174.000000	
124422	WM	-46.549451	27.230769	31.373626	182.000000	
