Subject	VOI	x	y	z	Size	
100307	Perception	-22.000000	-76.000000	-8.000000	257.000000	
100408	Perception	-34.735632	-78.988506	-17.034483	174.000000	
101006	Perception	-40.578313	-74.771084	-11.084337	166.000000	
101107	Perception	-24.000000	-82.000000	-14.000000	257.000000	
101309	Perception	-29.984314	-81.960784	-15.960784	255.000000	
101410	Perception	-29.267327	-91.099010	-9.386139	202.000000	
101915	Perception	-40.000000	-80.000000	-2.000000	257.000000	
102008	Perception	-33.129032	-86.903226	-13.107527	186.000000	
102311	Perception	-39.903614	-77.951807	-7.935743	249.000000	
102816	Perception	-32.283019	-82.792453	-23.264151	106.000000	
103111	Perception	-40.000000	-76.000000	-6.000000	257.000000	
103414	Perception	-32.463576	-78.556291	-17.019868	151.000000	
103515	Perception	-39.160976	-77.346341	-15.356098	205.000000	
103818	Perception	-34.936842	-79.063158	-19.484211	190.000000	
104820	Perception	-30.000000	-72.000000	-16.000000	257.000000	
105014	Perception	-33.301887	-89.169811	-3.933962	212.000000	
105115	Perception	-35.842520	-84.645669	-14.503937	127.000000	
105216	Perception	-35.400922	-81.437788	-15.456221	217.000000	
106016	Perception	-32.720497	-86.559006	-12.931677	161.000000	
106319	Perception	-25.681416	-81.548673	-17.522124	226.000000	
106521	Perception	-37.133333	-77.419048	-19.685714	210.000000	
107321	Perception	-31.827160	-75.909465	-17.868313	243.000000	
107422	Perception	-35.656652	-83.656652	-11.648069	233.000000	
108121	Perception	-36.393443	-80.672131	-13.721311	122.000000	
108323	Perception	-40.390977	-76.902256	-13.954887	133.000000	
108525	Perception	-35.763265	-79.877551	-11.828571	245.000000	
108828	Perception	-37.952941	-73.976471	-9.976471	255.000000	
109123	Perception	-29.813765	-79.894737	-17.846154	247.000000	
109325	Perception	-37.905138	-79.952569	-9.968379	253.000000	
110411	Perception	-30.767123	-86.383562	-16.547945	146.000000	
111312	Perception	-41.519651	-75.746725	-7.554585	229.000000	
111413	Perception	-30.000000	-74.000000	-6.000000	257.000000	
111716	Perception	-24.000000	-76.000000	-10.000000	257.000000	
113215	Perception	-39.176471	-75.578431	-11.127451	204.000000	
113619	Perception	-39.495575	-79.681416	-11.504425	226.000000	
113922	Perception	-31.423077	-83.307692	-15.230769	208.000000	
114419	Perception	-39.245455	-77.718182	-9.572727	220.000000	
114924	Perception	-32.964539	-84.737589	-11.914894	141.000000	
115320	Perception	-38.251748	-82.209790	-7.244755	143.000000	
116524	Perception	-33.967742	-84.040323	-7.919355	248.000000	
117122	Perception	-29.279188	-85.238579	-13.035533	197.000000	
117324	Perception	-29.815900	-79.665272	-15.790795	239.000000	
118528	Perception	-39.547511	-81.357466	-2.171946	221.000000	
118730	Perception	-36.833333	-77.055556	-17.044444	180.000000	
118932	Perception	-35.245098	-85.156863	-11.421569	204.000000	
119833	Perception	-38.632911	-80.696203	-14.746835	158.000000	
120111	Perception	-35.412935	-79.402985	-12.975124	201.000000	
120212	Perception	-27.867257	-79.592920	-19.451327	226.000000	
120515	Perception	-35.363636	-81.736364	-13.409091	220.000000	
121618	Perception	-26.241860	-80.055814	-7.767442	215.000000	
122317	Perception	-32.496000	-88.064000	-12.272000	125.000000	
122620	Perception	-37.676349	-77.867220	-13.767635	241.000000	
123117	Perception	-32.671533	-88.116788	-12.525547	137.000000	
123420	Perception	-26.841270	-92.000000	-12.142857	126.000000	
123925	Perception	-31.862903	-79.862903	-15.854839	248.000000	
124220	Perception	-39.768595	-73.834711	-11.727273	242.000000	
124422	Perception	-37.483333	-82.600000	-8.816667	120.000000	
124826	Perception	-39.035533	-79.258883	-13.269036	197.000000	
125525	Perception	-27.398058	-83.291262	-15.233010	206.000000	
126325	Perception	-39.873016	-80.873016	-12.238095	126.000000	
126628	Perception	-41.600000	-71.744681	-11.702128	235.000000	
127630	Perception	-38.000000	-74.000000	-10.000000	257.000000	
127933	Perception	-37.951613	-81.943548	-1.983871	248.000000	
128127	Perception	-35.484163	-81.429864	-13.547511	221.000000	
128632	Perception	-39.818182	-82.484848	-11.030303	132.000000	
129028	Perception	-35.141361	-81.643979	-12.774869	191.000000	
130013	Perception	-39.438914	-75.846154	-7.330317	221.000000	
130316	Perception	-41.367442	-75.562791	-11.348837	215.000000	
130922	Perception	-38.897297	-77.297297	-12.929730	185.000000	
131217	Perception	-30.000000	-78.000000	-20.000000	257.000000	
131722	Perception	-36.219178	-82.876712	-10.602740	146.000000	
131924	Perception	-35.573913	-73.747826	-15.556522	230.000000	
133019	Perception	-39.383178	-77.616822	-13.252336	214.000000	
133625	Perception	-39.290323	-77.658986	-11.419355	217.000000	
133827	Perception	-22.000000	-76.000000	-16.000000	257.000000	
133928	Perception	-38.157480	-84.692913	-7.196850	127.000000	
134324	Perception	-31.984375	-71.984375	-17.984375	256.000000	
135225	Perception	-38.994872	-84.974359	-3.743590	195.000000	
135528	Perception	-38.000000	-78.000000	-10.000000	257.000000	
135932	Perception	-42.326241	-75.078014	-12.198582	141.000000	
136227	Perception	-42.202532	-80.632911	-5.645570	158.000000	
136833	Perception	-41.493562	-71.768240	-11.879828	233.000000	
137027	Perception	-30.718954	-90.300654	-10.928105	153.000000	
137128	Perception	-33.355769	-85.326923	-11.432692	208.000000	
137633	Perception	-42.150685	-82.438356	-7.260274	146.000000	
137936	Perception	-30.000000	-76.000000	-14.000000	257.000000	
138231	Perception	-39.960784	-71.984314	-11.960784	255.000000	
138534	Perception	-39.440000	-75.742222	-11.493333	225.000000	
139233	Perception	-39.952941	-77.968627	-3.992157	255.000000	
139637	Perception	-33.871486	-81.887550	-11.863454	249.000000	
140117	Perception	-44.103226	-76.812903	-5.277419	155.000000	
140420	Perception	-40.174497	-80.872483	-10.778523	149.000000	
140824	Perception	-41.815261	-75.927711	-9.911647	249.000000	
140925	Perception	-34.673913	-85.978261	-12.282609	92.000000	
141422	Perception	-40.000000	-74.000000	-10.000000	257.000000	
141826	Perception	-34.540541	-84.864865	-12.567568	148.000000	
142828	Perception	-39.042105	-79.178947	-13.063158	190.000000	
143325	Perception	-42.355030	-79.147929	-9.171598	169.000000	
144832	Perception	-40.960784	-75.490196	-15.490196	204.000000	
145834	Perception	-31.287958	-85.026178	-15.005236	191.000000	
146331	Perception	-31.912000	-70.088000	-14.120000	250.000000	
146432	Perception	-40.561404	-77.309942	-14.807018	171.000000	
147030	Perception	-32.000000	-80.000000	-16.000000	257.000000	
147737	Perception	-31.463636	-79.554545	-17.463636	220.000000	
148032	Perception	-22.000000	-84.000000	-12.000000	257.000000	
148335	Perception	-31.786325	-79.572650	-17.743590	234.000000	
148840	Perception	-34.617284	-86.555556	-9.123457	162.000000	
148941	Perception	-35.312500	-80.927083	-17.177083	192.000000	
149337	Perception	-31.149701	-88.455090	-7.401198	167.000000	
149539	Perception	-36.916667	-81.343750	-15.135417	192.000000	
149741	Perception	-36.000000	-78.000000	-10.000000	257.000000	
150423	Perception	-36.855556	-77.322222	-12.844444	180.000000	
150524	Perception	-31.983471	-73.909091	-17.735537	242.000000	
150625	Perception	-40.031496	-77.086614	-13.984252	127.000000	
150726	Perception	-37.830645	-81.830645	-7.951613	248.000000	
151223	Perception	-31.775000	-79.700000	-17.766667	240.000000	
151526	Perception	-37.976562	-73.992188	-11.984375	256.000000	
151627	Perception	-39.711790	-77.711790	-7.781659	229.000000	
151728	Perception	-37.837398	-74.016260	-13.926829	246.000000	
152831	Perception	-32.000000	-68.000000	-16.000000	257.000000	
153025	Perception	-36.330935	-86.316547	-9.151079	139.000000	
153429	Perception	-37.759259	-84.277778	-10.814815	108.000000	
153833	Perception	-33.625000	-83.580357	-15.401786	224.000000	
154431	Perception	-36.671053	-78.684211	-18.986842	152.000000	
154734	Perception	-38.007843	-76.047059	-8.031373	255.000000	
154835	Perception	-35.361111	-77.277778	-19.851852	216.000000	
154936	Perception	-38.000000	-76.000000	-12.000000	257.000000	
155231	Perception	-39.478261	-77.869565	-9.582609	230.000000	
155635	Perception	-38.902174	-75.347826	-12.869565	184.000000	
156233	Perception	-36.180451	-82.105263	-10.962406	133.000000	
156637	Perception	-37.644068	-73.813559	-15.652542	236.000000	
157336	Perception	-33.271845	-85.300971	-11.300971	206.000000	
157437	Perception	-34.000000	-78.000000	-8.000000	257.000000	
158035	Perception	-24.000000	-72.000000	-14.000000	257.000000	
158136	Perception	-36.258621	-81.810345	-10.431034	116.000000	
158540	Perception	-30.960452	-90.632768	-9.310734	177.000000	
159138	Perception	-34.843931	-84.855491	-10.947977	173.000000	
159239	Perception	-30.055118	-76.047244	-16.039370	254.000000	
159340	Perception	-38.000000	-74.000000	-12.000000	257.000000	
159441	Perception	-34.581560	-86.028369	-6.950355	141.000000	
160123	Perception	-33.383886	-81.658768	-13.194313	211.000000	
160830	Perception	-38.151899	-79.189873	-17.101266	158.000000	
161327	Perception	-27.895582	-79.847390	-17.887550	249.000000	
161630	Perception	-39.005076	-79.340102	-11.340102	197.000000	
161731	Perception	-36.144928	-81.086957	-16.275362	138.000000	
162026	Perception	-26.023529	-74.023529	-14.047059	255.000000	
162228	Perception	-35.874016	-80.976378	-14.267717	127.000000	
162329	Perception	-40.256198	-74.132231	-9.826446	242.000000	
162733	Perception	-42.317881	-77.390728	-9.218543	151.000000	
163129	Perception	-29.601990	-87.074627	-13.134328	201.000000	
163331	Perception	-37.276995	-79.680751	-11.286385	213.000000	
163432	Perception	-40.524590	-79.355191	-9.355191	183.000000	
163836	Perception	-36.301370	-82.671233	-14.684932	146.000000	
164030	Perception	-36.937500	-77.135417	-17.343750	192.000000	
164131	Perception	-38.193103	-82.565517	-10.937931	145.000000	
164939	Perception	-40.000000	-70.000000	-8.000000	257.000000	
165032	Perception	-36.000000	-78.000000	-8.000000	257.000000	
165840	Perception	-33.465438	-85.447005	-13.391705	217.000000	
166438	Perception	-38.000000	-70.000000	-13.968750	256.000000	
167036	Perception	-33.098266	-79.190751	-15.329480	173.000000	
167743	Perception	-32.711656	-86.773006	-12.773006	163.000000	
168341	Perception	-29.552381	-85.133333	-17.428571	210.000000	
169343	Perception	-40.181818	-72.623377	-19.467532	154.000000	
169444	Perception	-31.861224	-77.787755	-17.812245	245.000000	
170934	Perception	-35.959677	-79.975806	-15.911290	248.000000	
171633	Perception	-31.132530	-84.590361	-16.734940	166.000000	
172029	Perception	-33.222798	-86.994819	-11.212435	193.000000	
172130	Perception	-34.000000	-76.000000	-18.000000	257.000000	
172332	Perception	-20.000000	-80.000000	-16.000000	257.000000	
172534	Perception	-37.854839	-68.072581	-14.040323	248.000000	
172938	Perception	-30.039526	-75.960474	-17.928854	253.000000	
173334	Perception	-36.555556	-84.728395	-7.604938	162.000000	
173435	Perception	-35.669565	-73.843478	-17.695652	230.000000	
173536	Perception	-37.390909	-77.781818	-11.363636	220.000000	
173940	Perception	-42.864322	-79.236181	-3.879397	199.000000	
