Subject	VOI	x	y	z	Size	
100307	Procedural	-27.674419	-6.093023	5.209302	43.000000	
100408	Procedural	-25.950413	-0.049587	-3.933884	121.000000	
101006	Procedural	-21.584906	6.490566	8.245283	106.000000	
101107	Procedural	-28.000000	-8.000000	12.000000	123.000000	
101309	Procedural	-18.000000	-10.000000	4.000000	123.000000	
101410	Procedural	-23.933884	3.983471	9.933884	121.000000	
101915	Procedural	-26.000000	-2.000000	10.000000	123.000000	
102008	Procedural	-26.000000	-4.000000	0.000000	123.000000	
102311	Procedural	-24.000000	-12.000000	12.000000	123.000000	
102816	Procedural	-31.416667	-6.291667	6.750000	48.000000	
103111	Procedural	-24.000000	-12.000000	10.000000	123.000000	
103414	Procedural	-21.814815	-8.629630	6.037037	54.000000	
103515	Procedural	-26.100840	2.000000	9.848739	119.000000	
103818	Procedural	-30.000000	-10.000000	4.000000	123.000000	
104820	Procedural	-23.934783	2.456522	7.869565	92.000000	
105014	Procedural	-24.051724	-7.741379	3.965517	116.000000	
105115	Procedural	-22.000000	-10.000000	12.000000	123.000000	
105216	Procedural	-24.666667	-12.666667	5.000000	18.000000	
106016	Procedural	-28.000000	2.100840	15.848739	119.000000	
106319	Procedural	-20.000000	-4.000000	12.000000	123.000000	
106521	Procedural	-27.983471	-7.966942	4.016529	121.000000	
107321	Procedural	-24.077922	-5.402597	15.688312	77.000000	
107422	Procedural	-28.000000	-2.000000	6.000000	123.000000	
108121	Procedural	-26.142857	-3.732143	2.089286	112.000000	
108323	Procedural	-31.948718	-4.153846	1.948718	117.000000	
108525	Procedural	-32.246914	-10.716049	17.901235	81.000000	
108828	Procedural	-21.721739	-4.191304	11.947826	115.000000	
109123	Procedural	-26.049587	-1.933884	11.950413	121.000000	
109325	Procedural	-32.000000	-6.000000	10.000000	123.000000	
110411	Procedural	-20.000000	4.000000	8.000000	123.000000	
111312	Procedural	-26.032787	2.016393	7.967213	122.000000	
111413	Procedural	-23.142857	-2.142857	14.607143	56.000000	
111716	Procedural	-29.846154	-7.931624	2.085470	117.000000	
113215	Procedural	-30.188034	-4.051282	2.000000	117.000000	
113619	Procedural	-22.337349	-1.421687	-0.337349	83.000000	
113922	Procedural	-24.117647	-0.033613	6.067227	119.000000	
114419	Procedural	-22.153846	-4.307692	2.461538	13.000000	
114924	Procedural	-23.900000	-3.500000	18.700000	20.000000	
115320	Procedural	-31.948276	-1.982759	11.913793	116.000000	
116524	Procedural	-18.019048	-4.019048	10.114286	105.000000	
117122	Procedural	-23.893617	6.021277	5.914894	94.000000	
117324	Procedural	-25.238095	-5.928571	18.380952	84.000000	
118528	Procedural	-18.083333	-2.083333	2.083333	120.000000	
118730	Procedural	-18.385542	-10.530120	4.048193	83.000000	
118932	Procedural	-28.000000	0.000000	2.000000	123.000000	
119833	Procedural	-20.000000	0.000000	2.000000	123.000000	
120111	Procedural	-22.000000	-4.000000	12.000000	123.000000	
120212	Procedural	-23.090909	-0.060606	9.575758	33.000000	
120515	Procedural	-21.863248	-3.914530	5.794872	117.000000	
121618	Procedural	-32.390244	-2.536585	11.853659	41.000000	
122317	Procedural	-36.777778	-3.055556	11.444444	36.000000	
122620	Procedural	-26.134454	0.117647	6.033613	119.000000	
123117	Procedural	-32.000000	-4.000000	14.000000	123.000000	
123420	Procedural	-16.000000	-2.000000	18.000000	123.000000	
123925	Procedural	-26.000000	-10.000000	2.000000	123.000000	
124220	Procedural	-31.843478	-3.982609	15.913043	115.000000	
124422	Procedural	-24.446809	1.914894	13.829787	94.000000	
124826	Procedural	-22.000000	-10.000000	12.000000	123.000000	
125525	Procedural	-17.864407	-1.966102	1.830508	118.000000	
126325	Procedural	-29.929825	-0.263158	2.000000	114.000000	
126628	Procedural	-20.000000	-7.881356	10.084746	118.000000	
127630	Procedural	-18.426667	-3.520000	10.746667	75.000000	
127933	Procedural	-32.000000	-12.000000	4.000000	123.000000	
128127	Procedural	-28.113208	-1.754717	9.754717	106.000000	
128632	Procedural	-26.000000	2.000000	0.000000	123.000000	
129028	Procedural	-28.272727	-2.018182	12.054545	110.000000	
130013	Procedural	-22.000000	4.000000	10.000000	123.000000	
130316	Procedural	-26.166667	0.250000	14.312500	96.000000	
130922	Procedural	-17.967213	2.032787	1.983607	122.000000	
131217	Procedural	-20.000000	0.000000	2.000000	123.000000	
131722	Procedural	-28.117647	-3.932773	1.882353	119.000000	
131924	Procedural	-23.727273	-4.327273	10.309091	110.000000	
133019	Procedural	-30.000000	-4.000000	2.000000	123.000000	
133625	Procedural	-26.514851	-7.801980	1.960396	101.000000	
133827	Procedural	-26.000000	-6.000000	2.000000	123.000000	
133928	Procedural	-25.684211	6.736842	3.947368	38.000000	
134324	Procedural	-28.000000	-10.000000	12.000000	123.000000	
135225	Procedural	-16.101695	-6.000000	8.169492	118.000000	
135528	Procedural	-17.940299	1.582090	12.805970	67.000000	
135932	Procedural	-30.400000	6.266667	16.133333	15.000000	
136227	Procedural	-17.972973	-12.189189	3.675676	74.000000	
136833	Procedural	-27.964912	-2.017544	5.807018	114.000000	
137027	Procedural	-26.339623	0.075472	0.264151	106.000000	
137128	Procedural	-20.081633	-10.632653	8.551020	98.000000	
137633	Procedural	-29.942308	-7.519231	10.019231	104.000000	
137936	Procedural	-22.000000	-5.981818	15.527273	110.000000	
138231	Procedural	-20.100000	-7.900000	0.000000	120.000000	
138534	Procedural	-18.050000	-12.083333	4.100000	120.000000	
139233	Procedural	-25.802198	-7.538462	11.362637	91.000000	
139637	Procedural	-26.863636	-7.772727	15.000000	44.000000	
140117	Procedural	-30.355556	-1.866667	11.577778	90.000000	
140420	Procedural	-16.000000	-2.000000	14.000000	123.000000	
140824	Procedural	-22.040816	2.693878	7.836735	49.000000	
140925	Procedural	-22.000000	-3.917355	5.966942	121.000000	
141422	Procedural	-25.783784	-11.729730	7.702703	74.000000	
141826	Procedural	-23.671233	-6.958904	9.726027	73.000000	
142828	Procedural	-24.050847	-8.135593	-1.830508	118.000000	
143325	Procedural	-19.544554	-5.960396	13.782178	101.000000	
144832	Procedural	-28.177778	-5.977778	13.888889	90.000000	
145834	Procedural	-29.826087	-2.208696	4.173913	115.000000	
146331	Procedural	-20.117647	1.915966	4.117647	119.000000	
146432	Procedural	-28.412698	-7.650794	16.158730	63.000000	
147030	Procedural	-18.099010	1.782178	3.584158	101.000000	
147737	Procedural	-30.000000	2.000000	10.000000	123.000000	
148032	Procedural	-22.250000	-3.909091	4.704545	88.000000	
148335	Procedural	-26.000000	2.000000	10.000000	123.000000	
148840	Procedural	-26.000000	-3.965812	4.188034	117.000000	
148941	Procedural	-24.019231	-7.942308	15.634615	104.000000	
149337	Procedural	-16.000000	0.252252	5.783784	111.000000	
149539	Procedural	-16.536082	-8.577320	4.144330	97.000000	
149741	Procedural	-21.963636	-6.018182	9.818182	110.000000	
150423	Procedural	-18.032787	-0.016393	7.967213	122.000000	
150524	Procedural	-16.091954	-3.149425	10.022989	87.000000	
150625	Procedural	-28.000000	-1.950000	4.066667	120.000000	
150726	Procedural	-23.500000	0.281250	8.562500	64.000000	
151223	Procedural	-18.101010	-4.161616	4.484848	99.000000	
151526	Procedural	-22.532110	-7.871560	2.128440	109.000000	
151627	Procedural	-24.050000	-4.050000	14.016667	120.000000	
151728	Procedural	-30.000000	0.000000	8.000000	123.000000	
152831	Procedural	-20.000000	4.000000	14.000000	123.000000	
153025	Procedural	-23.882353	-4.033613	3.865546	119.000000	
153429	Procedural	-27.090909	-9.454545	1.545455	44.000000	
153833	Procedural	-16.500000	-8.958333	11.708333	48.000000	
154431	Procedural	-27.813084	-4.112150	-0.448598	107.000000	
154734	Procedural	-18.000000	0.035714	17.803571	112.000000	
154835	Procedural	-24.453333	-6.266667	11.706667	75.000000	
154936	Procedural	-14.000000	-12.000000	4.000000	123.000000	
155231	Procedural	-24.117647	-2.117647	0.084034	119.000000	
155635	Procedural	-27.882353	-2.117647	0.084034	119.000000	
156233	Procedural	-22.000000	-6.000000	14.000000	123.000000	
156637	Procedural	-28.419048	-4.114286	9.942857	105.000000	
157336	Procedural	-19.723077	0.738462	6.430769	65.000000	
157437	Procedural	-32.000000	0.000000	2.000000	123.000000	
158035	Procedural	-28.000000	-8.000000	6.000000	123.000000	
158136	Procedural	-26.000000	-2.000000	8.000000	123.000000	
158540	Procedural	-18.000000	-5.889908	-0.146789	109.000000	
159138	Procedural	-26.000000	-6.000000	-2.000000	123.000000	
159239	Procedural	-32.974359	-5.333333	3.487179	39.000000	
159340	Procedural	-28.000000	-4.000000	3.950820	122.000000	
159441	Procedural	-30.000000	0.000000	4.000000	123.000000	
160123	Procedural	-24.049587	-6.066116	8.049587	121.000000	
160830	Procedural	-21.857143	-5.642857	15.714286	56.000000	
161327	Procedural	-19.983333	-6.116667	4.066667	120.000000	
161630	Procedural	-26.000000	0.000000	6.000000	123.000000	
161731	Procedural	-22.139130	1.791304	7.756522	115.000000	
162026	Procedural	-29.811966	-2.068376	1.897436	117.000000	
162228	Procedural	-20.118644	-0.135593	18.084746	118.000000	
162329	Procedural	-22.134454	-5.915966	6.084034	119.000000	
162733	Procedural	-19.982301	-3.646018	9.893805	113.000000	
163129	Procedural	-21.962617	-8.523364	-0.280374	107.000000	
163331	Procedural	-27.000000	-3.750000	14.750000	8.000000	
163432	Procedural	-28.000000	-8.844444	1.777778	45.000000	
163836	Procedural	-18.017391	-1.965217	6.191304	115.000000	
164030	Procedural	-21.733333	-0.977778	14.000000	45.000000	
164131	Procedural	-28.280702	-9.807018	13.824561	114.000000	
164939	Procedural	-12.897959	-5.877551	2.857143	49.000000	
165032	Procedural	-24.000000	0.000000	10.000000	123.000000	
165840	Procedural	-34.622222	-8.844444	6.000000	45.000000	
166438	Procedural	-32.000000	-12.000000	2.000000	123.000000	
167036	Procedural	-22.185567	-7.525773	14.659794	97.000000	
167743	Procedural	-16.525000	-11.175000	13.300000	80.000000	
168341	Procedural	-25.666667	-6.000000	13.666667	6.000000	
169343	Procedural	-22.066116	3.983471	0.066116	121.000000	
169444	Procedural	-27.660377	2.188679	-2.132075	106.000000	
170934	Procedural	-18.765957	0.042553	6.851064	47.000000	
171633	Procedural	-22.490566	-4.264151	9.905660	106.000000	
172029	Procedural	-26.000000	-4.050420	7.966387	119.000000	
172130	Procedural	-20.000000	-18.000000	12.000000	123.000000	
172332	Procedural	-21.897436	2.119658	5.948718	117.000000	
172534	Procedural	-24.000000	8.000000	2.000000	123.000000	
172938	Procedural	-22.444444	4.285714	14.031746	63.000000	
173334	Procedural	-22.000000	2.049180	6.000000	122.000000	
173435	Procedural	-21.666667	-8.333333	14.592593	54.000000	
173536	Procedural	-19.750000	-2.000000	7.607143	56.000000	
173940	Procedural	-24.129032	-11.838710	6.612903	62.000000	
175035	Procedural	-17.200000	-4.200000	8.000000	10.000000	
175439	Procedural	-18.016393	5.967213	8.032787	122.000000	
176542	Procedural	-21.949580	-10.084034	14.050420	119.000000	
177645	Procedural	-26.082645	2.016529	6.033058	121.000000	
177746	Procedural	-25.864407	-10.169492	-2.033898	118.000000	
178142	Procedural	-19.722222	-0.444444	10.777778	36.000000	
178748	Procedural	-22.067797	-6.101695	12.186441	118.000000	
178849	Procedural	-17.983607	-6.032787	3.967213	122.000000	
178950	Procedural	-23.398058	2.097087	7.883495	103.000000	
992774	Procedural	-28.000000	6.000000	2.000000	123.000000	
994273	Procedural	-24.260870	-1.895652	5.878261	115.000000	
