Subject	VOI	x	y	z	Size	
100307	Action	-40.625000	-14.425000	56.337500	160.000000	
100408	Action	-38.579310	-20.358621	61.875862	145.000000	
101006	Action	-41.581197	-24.000000	55.581197	234.000000	
101107	Action	-43.488987	-22.132159	55.462555	227.000000	
101309	Action	-40.266667	-22.311111	59.822222	135.000000	
101410	Action	-40.000000	-24.000000	50.000000	257.000000	
101915	Action	-38.049383	-20.205761	58.205761	243.000000	
102008	Action	-38.775862	-18.034483	61.258621	116.000000	
102311	Action	-44.655556	-20.222222	54.844444	180.000000	
102816	Action	-44.283688	-10.482270	56.014184	141.000000	
103111	Action	-43.551724	-29.948276	55.551724	232.000000	
103414	Action	-42.000000	-22.000000	52.000000	257.000000	
103515	Action	-39.930348	-20.139303	54.318408	201.000000	
103818	Action	-42.091603	-10.610687	55.908397	131.000000	
104820	Action	-42.000000	-18.444444	57.793651	126.000000	
105014	Action	-38.290076	-16.381679	59.709924	131.000000	
105115	Action	-40.601399	-22.461538	57.832168	143.000000	
105216	Action	-40.189781	-23.985401	60.014599	137.000000	
106016	Action	-38.000000	-14.000000	54.000000	257.000000	
106319	Action	-40.031250	-20.000000	54.000000	256.000000	
106521	Action	-41.608511	-12.017021	51.591489	235.000000	
107321	Action	-34.635897	-25.856410	47.846154	195.000000	
107422	Action	-35.623762	-15.128713	63.881188	101.000000	
108121	Action	-33.960159	-28.039841	48.079681	251.000000	
108323	Action	-39.944882	-22.015748	55.937008	254.000000	
108525	Action	-41.830645	-16.048387	51.830645	248.000000	
108828	Action	-39.108911	-25.950495	59.049505	202.000000	
109123	Action	-29.477477	-17.981982	52.225225	222.000000	
109325	Action	-26.491228	-17.552632	61.850877	228.000000	
110411	Action	-41.057592	-18.502618	56.869110	191.000000	
111312	Action	-36.507614	-20.243655	48.253807	197.000000	
111413	Action	-36.000000	-16.000000	58.000000	257.000000	
111716	Action	-36.676692	-28.270677	63.488722	133.000000	
112819	Action	-40.023622	-26.031496	54.070866	254.000000	
113215	Action	-36.023438	-20.015625	45.992188	256.000000	
113619	Action	-34.000000	-28.000000	54.000000	257.000000	
113821	Action	-43.134615	-24.048077	57.192308	208.000000	
113922	Action	-39.913043	-16.007905	50.071146	253.000000	
114419	Action	-39.786008	-18.057613	53.703704	243.000000	
114924	Action	-42.392157	-16.483660	56.287582	153.000000	
115320	Action	-35.894737	-25.781377	56.089069	247.000000	
116524	Action	-44.253521	-26.338028	58.042254	142.000000	
117122	Action	-35.944444	-27.944444	54.071429	252.000000	
117324	Action	-41.771429	-18.089796	57.795918	245.000000	
118528	Action	-34.358974	-27.692308	55.982906	234.000000	
118730	Action	-44.016393	-20.688525	57.721311	122.000000	
118932	Action	-42.646707	-24.251497	58.431138	167.000000	
119833	Action	-35.739496	-20.058824	59.638655	238.000000	
120111	Action	-31.492683	-24.458537	55.648780	205.000000	
120212	Action	-41.477876	-16.141593	53.442478	226.000000	
120515	Action	-33.944223	-23.968127	59.848606	251.000000	
121315	Action	-40.771242	-20.235294	57.960784	153.000000	
121618	Action	-40.000000	-26.000000	54.000000	257.000000	
122317	Action	-41.581197	-22.000000	55.581197	234.000000	
122620	Action	-40.039526	-24.071146	53.992095	253.000000	
123117	Action	-39.182266	-26.098522	57.162562	203.000000	
123420	Action	-46.447059	-23.858824	54.717647	170.000000	
123925	Action	-40.206349	-20.412698	57.619048	126.000000	
124220	Action	-42.000000	-24.000000	50.000000	257.000000	
124422	Action	-36.000000	-26.000000	58.000000	257.000000	
124826	Action	-42.600000	-18.426667	58.013333	150.000000	
125525	Action	-39.991597	-21.924370	53.579832	238.000000	
126325	Action	-39.723849	-20.108787	57.640167	239.000000	
126628	Action	-28.000000	-14.000000	60.000000	257.000000	
127630	Action	-39.811518	-24.219895	59.151832	191.000000	
127933	Action	-41.880478	-24.000000	55.880478	251.000000	
128127	Action	-49.048193	-24.289157	52.771084	166.000000	
128329	Action	-45.866667	-25.407407	50.296296	135.000000	
128632	Action	-40.739394	-18.484848	58.351515	165.000000	
129028	Action	-41.608511	-16.153191	55.625532	235.000000	
130013	Action	-39.920635	-16.047619	55.896825	252.000000	
130316	Action	-40.278689	-24.327869	59.442623	122.000000	
130922	Action	-38.046154	-25.723077	61.861538	130.000000	
131217	Action	-37.914634	-24.646341	49.841463	164.000000	
131722	Action	-38.000000	-26.000000	56.000000	257.000000	
131924	Action	-39.983806	-13.919028	45.821862	247.000000	
132118	Action	-43.770992	-22.274809	58.183206	131.000000	
133019	Action	-40.000000	-20.000000	54.000000	257.000000	
133625	Action	-45.886525	-18.354610	54.723404	141.000000	
133827	Action	-38.000000	-18.000000	48.000000	257.000000	
133928	Action	-36.000000	-18.000000	44.000000	257.000000	
134324	Action	-39.026549	-24.778761	61.539823	113.000000	
135225	Action	-37.982979	-25.923404	57.744681	235.000000	
135528	Action	-38.031250	-24.000000	50.000000	256.000000	
