Subject	VOI	x	y	z	Size	
100307	LTM	-32.159204	-7.701493	-7.850746	201.000000	
100408	LTM	-44.389140	-7.954751	-3.592760	221.000000	
101006	LTM	-42.031250	-4.000000	-12.000000	256.000000	
101107	LTM	-40.145749	0.024291	-11.846154	247.000000	
101309	LTM	-32.000000	0.000000	0.000000	257.000000	
101410	LTM	-44.011173	-10.960894	-6.044693	179.000000	
101915	LTM	-44.514019	-11.710280	-3.738318	214.000000	
102008	LTM	-42.062992	-2.015748	-12.055118	254.000000	
102311	LTM	-41.856574	-6.055777	-10.047809	251.000000	
102816	LTM	-33.976471	-7.952941	-13.976471	255.000000	
103111	LTM	-29.862069	-10.068966	-3.956897	232.000000	
103414	LTM	-29.983871	-6.000000	-4.177419	248.000000	
103515	LTM	-27.301075	-16.086022	-5.215054	186.000000	
103818	LTM	-37.130435	-0.135266	-1.623188	207.000000	
104820	LTM	-26.000000	-2.000000	-10.000000	257.000000	
105014	LTM	-29.976471	-3.976471	-5.984314	255.000000	
105115	LTM	-34.114286	-7.457143	-8.114286	140.000000	
105216	LTM	-38.000000	-8.000000	-6.000000	257.000000	
106016	LTM	-42.000000	-3.968750	-16.000000	256.000000	
106319	LTM	-42.058824	-9.756303	-5.638655	238.000000	
106521	LTM	-37.968627	1.960784	-5.976471	255.000000	
107321	LTM	-44.352000	-3.520000	-8.624000	125.000000	
107422	LTM	-40.000000	0.000000	-16.000000	257.000000	
108121	LTM	-40.316667	-10.000000	-7.825000	240.000000	
108323	LTM	-44.137652	-2.064777	-10.218623	247.000000	
108525	LTM	-42.000000	-14.000000	-2.000000	257.000000	
108828	LTM	-40.000000	0.000000	-14.000000	257.000000	
109123	LTM	-40.663265	-11.714286	-4.102041	196.000000	
109325	LTM	-33.746939	-5.975510	-3.820408	245.000000	
110411	LTM	-42.000000	-10.000000	-8.000000	257.000000	
111312	LTM	-31.901235	3.720165	-11.983539	243.000000	
111413	LTM	-38.077419	0.787097	-2.645161	155.000000	
111716	LTM	-36.298755	2.099585	-5.817427	241.000000	
112819	LTM	-41.951220	5.170732	-10.009756	205.000000	
113215	LTM	-44.376682	-3.820628	-1.614350	223.000000	
113619	LTM	-40.215768	-7.784232	-12.024896	241.000000	
113821	LTM	-31.732218	-7.748954	-1.832636	239.000000	
113922	LTM	-36.845714	0.628571	-2.171429	175.000000	
114419	LTM	-35.928287	-7.904382	-2.039841	251.000000	
114924	LTM	-30.633803	-5.436620	-5.056338	142.000000	
115320	LTM	-32.000000	-2.000000	-18.000000	257.000000	
116524	LTM	-40.951872	-11.475936	-3.828877	187.000000	
