Subject	VOI	x	y	z	Size	
100307	Procedural	-14.275229	7.834862	11.596330	109.000000	
100408	Procedural	-18.000000	12.000000	18.000000	123.000000	
101006	Procedural	-12.000000	0.000000	8.000000	123.000000	
101107	Procedural	-10.032787	2.016393	13.967213	122.000000	
101309	Procedural	-18.000000	-2.000000	20.000000	123.000000	
101410	Procedural	-14.068376	-4.068376	14.153846	117.000000	
101915	Procedural	-23.967213	-4.016393	10.032787	122.000000	
102008	Procedural	-22.053571	7.857143	18.035714	112.000000	
102311	Procedural	-16.000000	0.000000	14.000000	123.000000	
102816	Procedural	-16.000000	0.000000	16.000000	123.000000	
103111	Procedural	-18.000000	-2.000000	20.000000	123.000000	
103414	Procedural	-8.100000	6.000000	11.900000	120.000000	
103515	Procedural	-8.000000	4.000000	12.000000	123.000000	
103818	Procedural	-22.000000	2.000000	16.000000	123.000000	
104820	Procedural	-12.000000	10.000000	8.000000	123.000000	
105014	Procedural	-24.000000	2.000000	8.000000	123.000000	
105115	Procedural	-24.000000	-2.000000	8.000000	123.000000	
105216	Procedural	-22.106195	4.247788	9.734513	113.000000	
106016	Procedural	-23.279070	7.953488	12.116279	86.000000	
106319	Procedural	-17.732143	1.910714	13.964286	112.000000	
106521	Procedural	-20.000000	8.000000	16.000000	123.000000	
107321	Procedural	-14.000000	6.000000	6.000000	123.000000	
107422	Procedural	-21.395833	11.979167	18.270833	96.000000	
108121	Procedural	-16.000000	6.000000	12.000000	123.000000	
108323	Procedural	-18.000000	12.000000	14.000000	123.000000	
108525	Procedural	-20.000000	8.000000	8.000000	123.000000	
108828	Procedural	-12.000000	2.000000	10.000000	123.000000	
109123	Procedural	-14.016529	5.966942	16.082645	121.000000	
109325	Procedural	-24.000000	4.000000	14.000000	123.000000	
110411	Procedural	-16.000000	10.000000	6.000000	123.000000	
111312	Procedural	-20.000000	10.000000	20.000000	123.000000	
111413	Procedural	-15.734513	-2.230088	13.982301	113.000000	
111716	Procedural	-16.000000	-2.000000	20.000000	123.000000	
112819	Procedural	-20.000000	8.000000	10.000000	123.000000	
113215	Procedural	-18.000000	12.000000	18.000000	123.000000	
113619	Procedural	-18.033333	6.083333	11.900000	120.000000	
113821	Procedural	-17.982143	15.910714	14.089286	112.000000	
113922	Procedural	-17.675676	16.567568	15.891892	74.000000	
114419	Procedural	-24.000000	0.000000	8.000000	123.000000	
114924	Procedural	-14.000000	8.000000	14.000000	123.000000	
115320	Procedural	-17.917355	13.983471	15.966942	121.000000	
116524	Procedural	-17.855422	10.168675	15.253012	83.000000	
117122	Procedural	-20.100000	2.083333	7.950000	120.000000	
117324	Procedural	-14.116667	6.016667	11.933333	120.000000	
118528	Procedural	-16.066116	0.016529	17.933884	121.000000	
118730	Procedural	-20.100000	6.000000	16.100000	120.000000	
118932	Procedural	-20.000000	-4.000000	20.000000	123.000000	
119833	Procedural	-8.000000	2.000000	2.049180	122.000000	
120111	Procedural	-13.553398	2.135922	13.980583	103.000000	
120212	Procedural	-16.134454	9.949580	15.915966	119.000000	
120515	Procedural	-14.000000	12.000000	14.000000	123.000000	
121315	Procedural	-18.000000	0.000000	10.000000	123.000000	
121618	Procedural	-24.000000	0.000000	6.000000	123.000000	
122317	Procedural	-16.000000	12.000000	14.000000	123.000000	
122620	Procedural	-16.000000	6.000000	12.000000	123.000000	
123117	Procedural	-13.788462	7.961538	11.903846	104.000000	
123420	Procedural	-18.000000	4.000000	18.000000	123.000000	
123925	Procedural	-22.000000	6.000000	6.000000	123.000000	
124220	Procedural	-18.000000	6.000000	16.000000	123.000000	
124422	Procedural	-26.050000	7.950000	18.116667	120.000000	
124826	Procedural	-14.068376	9.897436	21.846154	117.000000	
125525	Procedural	-19.913793	2.103448	17.827586	116.000000	
126325	Procedural	-17.950000	6.050000	13.883333	120.000000	
126628	Procedural	-24.000000	0.000000	10.000000	123.000000	
127630	Procedural	-18.205128	10.034188	14.034188	117.000000	
127933	Procedural	-20.000000	12.000000	16.000000	123.000000	
128127	Procedural	-16.000000	6.000000	4.000000	123.000000	
128329	Procedural	-22.101695	5.898305	17.830508	118.000000	
128632	Procedural	-20.000000	2.000000	14.000000	123.000000	
129028	Procedural	-12.000000	4.000000	14.000000	123.000000	
130013	Procedural	-22.000000	8.000000	8.000000	123.000000	
130316	Procedural	-14.000000	10.000000	14.000000	123.000000	
130922	Procedural	-14.049587	9.950413	7.933884	121.000000	
131217	Procedural	-20.000000	2.000000	12.000000	123.000000	
131722	Procedural	-22.000000	4.000000	11.791304	115.000000	
131924	Procedural	-9.808696	8.000000	16.278261	115.000000	
132118	Procedural	-14.000000	2.034188	10.017094	117.000000	
133019	Procedural	-12.000000	4.000000	6.000000	123.000000	
133625	Procedural	-24.034188	13.982906	8.051282	117.000000	
133827	Procedural	-24.000000	10.000000	18.000000	123.000000	
133928	Procedural	-22.000000	10.000000	24.000000	123.000000	
134324	Procedural	-22.000000	8.000000	20.000000	123.000000	
135225	Procedural	-14.000000	6.000000	16.000000	123.000000	
135528	Procedural	-16.000000	6.000000	22.000000	123.000000	
135932	Procedural	-18.317757	12.037383	17.457944	107.000000	
136227	Procedural	-22.000000	4.000000	10.000000	123.000000	
136833	Procedural	-24.000000	4.000000	20.000000	123.000000	
137027	Procedural	-22.000000	6.000000	14.000000	123.000000	
137128	Procedural	-22.000000	4.000000	10.000000	123.000000	
137633	Procedural	-12.000000	4.000000	6.000000	123.000000	
137936	Procedural	-11.983193	8.033613	14.151261	119.000000	
138231	Procedural	-22.429907	12.186916	16.130841	107.000000	
138534	Procedural	-18.116667	8.066667	14.016667	120.000000	
139233	Procedural	-20.000000	6.000000	10.000000	123.000000	
139637	Procedural	-18.000000	2.000000	24.000000	123.000000	
140117	Procedural	-14.000000	16.000000	14.000000	123.000000	
994273	Procedural	-16.000000	12.000000	10.000000	123.000000	
140824	Procedural	-19.983607	-0.032787	11.967213	122.000000	
140925	Procedural	-18.000000	12.000000	18.000000	123.000000	
141422	Procedural	-22.084034	8.016807	10.050420	119.000000	
141826	Procedural	-11.967213	9.983607	19.967213	122.000000	
142424	Procedural	-22.000000	6.169811	18.283019	106.000000	
142828	Procedural	-19.965517	5.913793	17.862069	116.000000	
143325	Procedural	-14.000000	10.000000	16.000000	123.000000	
144226	Procedural	-20.000000	0.000000	6.000000	123.000000	
144832	Procedural	-24.000000	2.000000	10.000000	123.000000	
145531	Procedural	-14.016529	2.033058	13.917355	121.000000	
145834	Procedural	-12.000000	2.000000	14.000000	123.000000	
146331	Procedural	-10.000000	12.000000	12.000000	123.000000	
146432	Procedural	-22.000000	0.000000	10.000000	123.000000	
147030	Procedural	-16.000000	4.000000	8.000000	123.000000	
147737	Procedural	-22.252632	5.957895	16.021053	95.000000	
148032	Procedural	-21.948276	6.103448	15.827586	116.000000	
148335	Procedural	-12.000000	8.000000	10.000000	123.000000	
148840	Procedural	-10.103448	3.982759	20.000000	116.000000	
148941	Procedural	-18.000000	6.000000	6.000000	123.000000	
149337	Procedural	-18.000000	4.000000	24.000000	123.000000	
149539	Procedural	-22.000000	2.000000	5.950820	122.000000	
149741	Procedural	-16.000000	10.000000	20.000000	123.000000	
150423	Procedural	-18.049180	6.000000	24.000000	122.000000	
150524	Procedural	-10.000000	2.000000	8.000000	123.000000	
150625	Procedural	-15.877551	7.755102	15.755102	49.000000	
150726	Procedural	-17.982609	9.826087	18.243478	115.000000	
151223	Procedural	-12.000000	0.000000	4.000000	123.000000	
151526	Procedural	-19.967213	10.016393	8.032787	122.000000	
151627	Procedural	-17.967213	0.016393	9.967213	122.000000	
151728	Procedural	-16.000000	8.000000	14.000000	123.000000	
152831	Procedural	-22.040404	5.777778	5.919192	99.000000	
153025	Procedural	-16.170940	10.119658	7.829060	117.000000	
153429	Procedural	-14.000000	8.000000	14.000000	123.000000	
153833	Procedural	-8.000000	10.000000	16.000000	123.000000	
154431	Procedural	-25.386139	8.198020	14.297030	101.000000	
154734	Procedural	-12.000000	10.000000	12.000000	123.000000	
154835	Procedural	-20.000000	12.000000	10.000000	123.000000	
154936	Procedural	-23.669903	17.689320	21.689320	103.000000	
155231	Procedural	-21.950820	4.000000	8.000000	122.000000	
155635	Procedural	-22.000000	4.000000	8.000000	123.000000	
156233	Procedural	-24.000000	2.000000	20.000000	123.000000	
156637	Procedural	-14.000000	2.000000	12.000000	123.000000	
157336	Procedural	-22.016393	13.967213	13.967213	122.000000	
157437	Procedural	-14.000000	4.000000	16.000000	123.000000	
158035	Procedural	-11.777778	5.948718	15.863248	117.000000	
158136	Procedural	-14.000000	6.000000	14.000000	123.000000	
158540	Procedural	-16.228070	-0.017544	15.807018	114.000000	
159138	Procedural	-22.000000	2.000000	6.000000	123.000000	
159239	Procedural	-12.000000	6.000000	8.000000	123.000000	
159340	Procedural	-11.983607	-0.032787	19.967213	122.000000	
159441	Procedural	-14.032787	2.032787	1.983607	122.000000	
160123	Procedural	-20.000000	2.000000	6.000000	123.000000	
160830	Procedural	-22.000000	2.000000	12.000000	123.000000	
161327	Procedural	-18.000000	6.000000	18.000000	123.000000	
161630	Procedural	-14.170213	3.957447	23.638298	94.000000	
161731	Procedural	-18.192982	9.789474	14.263158	114.000000	
162026	Procedural	-24.000000	16.000000	18.000000	123.000000	
162228	Procedural	-12.032787	4.016393	9.967213	122.000000	
162329	Procedural	-14.000000	6.000000	10.000000	123.000000	
162733	Procedural	-14.175439	4.175439	9.807018	114.000000	
163129	Procedural	-26.000000	6.000000	16.000000	123.000000	
163331	Procedural	-16.571429	9.551020	7.816327	98.000000	
163432	Procedural	-16.000000	16.000000	16.000000	123.000000	
163836	Procedural	-10.000000	6.444444	11.422222	45.000000	
164030	Procedural	-12.000000	8.000000	4.000000	123.000000	
164131	Procedural	-20.000000	14.000000	24.000000	123.000000	
164939	Procedural	-22.000000	2.000000	12.000000	123.000000	
165032	Procedural	-23.720000	10.500000	7.920000	100.000000	
165234	Procedural	-9.796296	14.148148	14.388889	108.000000	
165840	Procedural	-18.000000	12.000000	18.000000	123.000000	
166438	Procedural	-17.964602	9.964602	13.646018	113.000000	
167036	Procedural	-14.000000	-2.000000	16.000000	123.000000	
167743	Procedural	-7.600000	7.580952	14.038095	105.000000	
168139	Procedural	-30.000000	2.000000	16.000000	123.000000	
168341	Procedural	-10.000000	-2.000000	12.000000	123.000000	
169141	Procedural	-20.306306	-0.018018	14.324324	111.000000	
169343	Procedural	-28.036697	1.981651	19.981651	109.000000	
169444	Procedural	-25.865546	-2.016807	7.966387	119.000000	
170934	Procedural	-22.000000	6.000000	10.000000	123.000000	
171431	Procedural	-14.000000	-4.000000	8.000000	123.000000	
171633	Procedural	-18.574713	3.862069	10.597701	87.000000	
172029	Procedural	-20.000000	10.000000	6.000000	123.000000	
172130	Procedural	-19.061224	6.734694	17.061224	49.000000	
172332	Procedural	-12.000000	8.000000	16.000000	123.000000	
172534	Procedural	-12.000000	10.000000	12.000000	123.000000	
172938	Procedural	-22.000000	0.000000	18.000000	123.000000	
173132	Procedural	-12.088496	-0.035398	7.840708	113.000000	
173334	Procedural	-14.000000	4.000000	20.000000	123.000000	
173435	Procedural	-22.000000	8.000000	4.000000	123.000000	
173536	Procedural	-18.000000	4.000000	10.000000	123.000000	
173940	Procedural	-24.000000	0.000000	12.000000	123.000000	
175035	Procedural	-18.000000	-2.000000	16.000000	123.000000	
175439	Procedural	-16.000000	6.000000	10.000000	123.000000	
176542	Procedural	-22.000000	4.000000	6.000000	123.000000	
177645	Procedural	-12.000000	6.000000	14.000000	123.000000	
177746	Procedural	-16.000000	10.000000	12.000000	123.000000	
178142	Procedural	-13.888889	8.577778	17.555556	90.000000	
178748	Procedural	-20.150943	7.584906	15.622642	106.000000	
178849	Procedural	-20.000000	8.000000	8.000000	123.000000	
178950	Procedural	-15.735849	5.320755	18.792453	53.000000	
992774	Procedural	-18.000000	8.000000	14.000000	123.000000	
