Subject	VOI	x	y	z	Size	
100307	WM	-42.000000	2.000000	36.000000	257.000000	
100408	WM	-47.790323	1.951613	39.887097	248.000000	
101006	WM	-39.786008	-0.090535	49.711934	243.000000	
101107	WM	-52.168831	7.142857	36.753247	154.000000	
101309	WM	-42.000000	0.000000	34.000000	257.000000	
101410	WM	-53.960784	7.176471	31.045752	153.000000	
101915	WM	-46.000000	2.000000	38.000000	257.000000	
102008	WM	-44.000000	2.000000	38.000000	257.000000	
102311	WM	-48.000000	2.000000	36.000000	257.000000	
102816	WM	-54.521739	1.565217	37.250000	184.000000	
103111	WM	-48.268657	12.049751	31.960199	201.000000	
103414	WM	-53.737931	1.393103	37.006897	145.000000	
103515	WM	-42.862944	3.360406	41.421320	197.000000	
103818	WM	-48.848485	7.565657	35.333333	198.000000	
104820	WM	-47.735160	3.789954	37.643836	219.000000	
105014	WM	-44.000000	-1.968750	38.000000	256.000000	
105115	WM	-51.178571	7.303571	37.267857	112.000000	
105216	WM	-49.983871	2.048387	35.927419	248.000000	
106016	WM	-49.390135	7.811659	35.542601	223.000000	
106319	WM	-53.468750	1.328125	40.609375	128.000000	
106521	WM	-49.427313	-2.176211	39.700441	227.000000	
107321	WM	-42.000000	4.000000	32.000000	257.000000	
107422	WM	-42.000000	6.000000	34.000000	257.000000	
108121	WM	-42.000000	2.000000	38.000000	257.000000	
108323	WM	-55.300813	5.105691	34.829268	123.000000	
108525	WM	-45.932773	1.924370	36.176471	238.000000	
108828	WM	-50.915423	1.582090	39.333333	201.000000	
109123	WM	-42.000000	2.000000	40.000000	257.000000	
109325	WM	-44.000000	4.000000	26.000000	257.000000	
110411	WM	-38.000000	4.000000	28.000000	257.000000	
111312	WM	-49.180952	3.657143	41.447619	210.000000	
111413	WM	-42.000000	0.000000	40.000000	257.000000	
111716	WM	-40.279279	0.126126	37.801802	222.000000	
112819	WM	-44.000000	4.000000	36.000000	257.000000	
113215	WM	-42.000000	2.000000	34.000000	257.000000	
113619	WM	-51.834483	1.282759	42.800000	145.000000	
113821	WM	-40.649746	4.071066	38.507614	197.000000	
113922	WM	-53.596330	6.917431	30.990826	109.000000	
114419	WM	-44.000000	0.000000	36.000000	257.000000	
114924	WM	-42.000000	4.000000	38.000000	257.000000	
115320	WM	-40.007843	8.015686	30.054902	255.000000	
116524	WM	-43.952941	9.992157	37.968627	255.000000	
117122	WM	-39.952381	5.904762	29.928571	252.000000	
117324	WM	-48.000000	2.000000	40.000000	257.000000	
118528	WM	-46.000000	2.000000	38.000000	257.000000	
118730	WM	-42.000000	6.000000	26.000000	257.000000	
118932	WM	-44.031621	1.897233	38.007905	253.000000	
