Gambling	Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM
Gambling	100307	0.079472	0.000000	-0.213566	0.000000	0.000000	0.000000	-0.003744	0.000000	0.000000	-0.094369	0.079184	0.000000	0.528488	0.000000	0.260914	0.000000	0.000000	0.000000	-0.017860	-0.102375	-0.035333	0.129545	0.136589	0.137962	0.076590
Gambling	100408	-0.025596	0.000000	0.058488	0.000000	0.000000	0.000000	-0.057745	0.000000	0.000000	-0.008843	0.464015	0.000000	-0.129839	0.000000	0.186029	0.000000	0.000000	0.000000	-0.293328	0.125328	-0.016517	-0.133699	-0.473350	0.581284	-0.041797
Gambling	101006	-0.392664	0.000000	0.451135	0.000000	0.000000	0.000000	-0.086859	0.000000	0.000000	-0.101881	0.436718	0.000000	-0.064840	0.000000	0.228853	0.000000	0.000000	0.000000	-0.175504	-0.146894	-0.505401	-0.272367	0.009425	-0.317828	-0.046247
Gambling	101107	-0.031585	0.000000	-0.284917	0.000000	0.000000	0.000000	-0.016519	0.000000	0.000000	-0.123729	0.159765	0.000000	0.135477	0.000000	0.400252	0.000000	0.000000	0.000000	-0.063370	-0.307602	0.191275	0.161984	0.018010	0.358715	-0.007173
Gambling	101309	-0.094932	0.000000	-0.455687	0.000000	0.000000	0.000000	-0.201820	0.000000	0.000000	0.097110	0.412135	0.000000	0.013409	0.000000	0.520264	0.000000	0.000000	0.000000	-0.147233	0.079135	0.062169	0.476329	-0.177707	0.445289	-0.092929
Gambling	101410	-0.002775	0.000000	-0.063088	0.000000	0.000000	0.000000	-0.001799	0.000000	0.000000	0.000704	0.203316	0.000000	0.025361	0.000000	0.418888	0.000000	0.000000	0.000000	-0.039214	0.020406	0.075644	-0.116423	-0.151687	0.266899	-0.054138
Gambling	101915	-0.139960	0.000000	0.163937	0.000000	0.000000	0.000000	0.068930	0.000000	0.000000	-0.088225	0.422525	0.000000	-0.034949	0.000000	0.380157	0.000000	0.000000	0.000000	0.001008	0.115984	-0.333863	-0.080508	-0.033946	0.083543	-0.244205
Gambling	102008	-0.127271	0.000000	0.025602	0.000000	0.000000	0.000000	0.001589	0.000000	0.000000	-0.021715	0.238967	0.000000	-0.065221	0.000000	0.300816	0.000000	0.000000	0.000000	-0.023744	0.035357	-0.341849	-0.178541	0.137317	0.166748	-0.068586
Gambling	102311	-0.001454	0.000000	-0.109566	0.000000	0.000000	0.000000	-0.005108	0.000000	0.000000	0.019533	0.204490	0.000000	0.089924	0.000000	0.424025	0.000000	0.000000	0.000000	-0.068424	-0.016813	0.085665	-0.172667	0.196485	0.386224	-0.046862
Gambling	102816	-0.017114	0.000000	-0.108649	0.000000	0.000000	0.000000	0.046229	0.000000	0.000000	0.035327	0.265997	0.000000	0.093467	0.000000	0.518926	0.000000	0.000000	0.000000	-0.113814	-0.081018	0.127571	-0.129349	-0.129997	0.298309	-0.074930
