Gambling	Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	losses-to-Action	losses-to-LTM	losses-to-Perception	losses-to-Procedural	losses-to-WM
Gambling	100307	0.000000	0.000000	0.439021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082072
Gambling	100408	0.000000	0.000000	0.216374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026951
Gambling	101006	0.000000	0.000000	0.080892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002059
Gambling	101107	0.000000	0.000000	0.225088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064109
Gambling	101309	0.000000	0.000000	0.184973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.038348
Gambling	101410	0.000000	0.000000	0.206479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008721
Gambling	101915	0.000000	0.000000	0.244405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006833
Gambling	102008	0.000000	0.000000	0.112097	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001347
Gambling	102311	0.000000	0.000000	0.136662	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041269
Gambling	102816	0.000000	0.000000	0.199629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022843
Gambling	103111	0.000000	0.000000	0.177266	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.064679
Gambling	103414	0.000000	0.000000	0.202439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005761
Gambling	103818	0.000000	0.000000	0.351220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007215
Gambling	104820	0.000000	0.000000	0.147728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011226
Gambling	105014	0.000000	0.000000	0.308726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.026360
Gambling	105115	0.000000	0.000000	0.232826	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049802
Gambling	105216	0.000000	0.000000	0.077795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018110
Gambling	106016	0.000000	0.000000	0.153867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.066899
Gambling	106319	0.000000	0.000000	0.115119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002263
Gambling	106521	0.000000	0.000000	0.094502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057066
Gambling	107321	0.000000	0.000000	0.338892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026669
Gambling	107422	0.000000	0.000000	0.074796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025529
Gambling	108121	0.000000	0.000000	0.326348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032237
Gambling	108323	0.000000	0.000000	0.439481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.033419
Gambling	108525	0.000000	0.000000	0.108353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008518
Gambling	108828	0.000000	0.000000	0.026364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022801
Gambling	109123	0.000000	0.000000	0.078021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005752
Gambling	109325	0.000000	0.000000	0.197270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.044107
Gambling	110411	0.000000	0.000000	0.201975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006160
Gambling	111312	0.000000	0.000000	0.401805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000566
Gambling	111413	0.000000	0.000000	0.235522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044456
Gambling	111716	0.000000	0.000000	0.157075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.084419
