Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
100307	-0.503546	0.000000	-0.108983	0.000000	0.000000	0.000000	-0.087853	0.000000	0.000000	-0.459371	0.309449	0.000000	0.104016	0.000000	-0.400030	0.000000	0.000000	0.000000	-0.133185	-0.401322	0.142916	-0.234999	0.219263	-0.197182	-0.413881	
100408	-0.506659	0.000000	-0.128424	0.000000	0.000000	0.000000	-0.240400	0.000000	0.000000	-0.086044	0.164836	0.000000	0.067786	0.000000	-0.312996	0.000000	0.000000	0.000000	0.130149	0.253485	0.232573	-0.271923	0.329750	0.342764	-0.249101	
101006	-0.000088	0.000000	0.007380	0.000000	0.000000	0.000000	0.000058	0.000000	0.000000	0.007602	-0.003500	0.000000	0.001978	0.000000	-0.059499	0.000000	0.000000	0.000000	0.000082	0.007602	0.036357	-0.000912	-0.012468	-0.003385	0.004206	
101107	-0.156335	0.000000	0.232573	0.000000	0.000000	0.000000	-0.126403	0.000000	0.000000	-0.059593	0.337449	0.000000	-0.170512	0.000000	-0.204370	0.000000	0.000000	0.000000	-0.193043	-0.083365	0.044377	-0.340574	-0.360563	-0.435077	-0.035059	
101309	-0.000173	0.000000	0.007095	0.000000	0.000000	0.000000	0.000112	0.000000	0.000000	0.007674	0.001340	0.000000	0.000564	0.000000	-0.005712	0.000000	0.000000	0.000000	0.000156	0.007674	0.033138	-0.005012	-0.038173	-0.014803	0.002885	
101410	-0.215255	0.000000	0.025431	0.000000	0.000000	0.000000	0.007286	0.000000	0.000000	0.090403	0.071056	0.000000	0.142671	0.000000	-0.567668	0.000000	0.000000	0.000000	0.156819	0.563176	0.063214	0.044513	0.171737	0.350852	-0.403545	
101915	-0.588337	0.000000	-0.548733	0.000000	0.000000	0.000000	-0.089658	0.000000	0.000000	0.218578	0.106224	0.000000	-0.222469	0.000000	-0.735290	0.000000	0.000000	0.000000	0.070328	0.539598	0.024110	0.110245	0.232395	0.355419	-0.372238	
102008	0.000038	0.000000	0.007867	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.007832	0.005438	0.000000	-0.000158	0.000000	0.018093	0.000000	0.000000	0.000000	-0.000010	0.007832	0.003444	0.007492	0.010990	0.009603	-0.000523	
102311	-0.269310	0.000000	0.037432	0.000000	0.000000	0.000000	-0.166264	0.000000	0.000000	0.223257	-0.236957	0.000000	-0.439075	0.000000	0.278242	0.000000	0.000000	0.000000	-0.322673	0.247966	0.543447	0.276698	-0.640740	0.211911	-0.071079	
102816	0.000018	0.000000	0.007709	0.000000	0.000000	0.000000	0.000208	0.000000	0.000000	0.007959	0.007427	0.000000	0.000185	0.000000	0.021049	0.000000	0.000000	0.000000	-0.000023	0.007959	0.015515	-0.022707	0.003218	0.009971	-0.002829	
103111	0.049732	0.000000	0.242238	0.000000	0.000000	0.000000	-0.028771	0.000000	0.000000	0.021792	-0.342013	0.000000	0.056237	0.000000	-0.651188	0.000000	0.000000	0.000000	0.140421	-0.000167	-0.076610	-0.066442	0.348521	0.615588	-0.210141	
103414	-0.000053	0.000000	0.007911	0.000000	0.000000	0.000000	-0.000131	0.000000	0.000000	0.007956	0.007436	0.000000	-0.000529	0.000000	-0.015850	0.000000	0.000000	0.000000	-0.000033	0.007956	0.007947	0.027944	0.015760	0.012259	-0.003674	
