Subject	VOI	x	y	z	Size	
100307	Action	-45.875969	-18.418605	54.000000	129.000000	
100408	Action	-38.283465	-20.362205	61.590551	127.000000	
101006	Action	-41.581197	-24.000000	55.581197	234.000000	
101107	Action	-42.237037	-20.266667	57.837037	135.000000	
101309	Action	-42.062992	-22.377953	57.763780	127.000000	
101410	Action	-38.479452	-18.410959	61.986301	146.000000	
101915	Action	-41.201970	-20.216749	59.004926	203.000000	
102008	Action	-36.650000	-22.316667	63.733333	120.000000	
102311	Action	-34.000000	-28.000000	54.000000	257.000000	
102816	Action	-42.040486	-22.056680	53.829960	247.000000	
103111	Action	-38.557143	-20.371429	61.800000	140.000000	
103414	Action	-31.333333	-25.890547	64.915423	201.000000	
103515	Action	-41.821138	-20.056911	53.772358	246.000000	
103818	Action	-33.358491	-22.216981	63.141509	212.000000	
104820	Action	-40.735632	-26.103448	58.540230	174.000000	
105014	Action	-34.341463	-18.048780	63.414634	123.000000	
105115	Action	-32.552239	-22.089552	63.582090	134.000000	
105216	Action	-41.867647	-25.823529	58.220588	136.000000	
106016	Action	-36.039526	-26.071146	56.071146	253.000000	
106319	Action	-39.960784	-16.015686	55.960784	255.000000	
106521	Action	-44.093750	-16.468750	53.781250	128.000000	
107321	Action	-48.350877	-28.342105	45.543860	228.000000	
107422	Action	-29.226994	-20.171779	51.460123	163.000000	
108121	Action	-33.896000	-26.032000	60.152000	250.000000	
108323	Action	-39.920949	-24.015810	55.920949	253.000000	
108525	Action	-38.273585	-30.018868	57.283019	212.000000	
108828	Action	-42.030769	-22.461538	57.892308	130.000000	
109123	Action	-36.610687	-22.442748	63.496183	131.000000	
109325	Action	-40.000000	-26.000000	54.000000	257.000000	
110411	Action	-37.163043	-24.206522	60.521739	184.000000	
111312	Action	-38.797546	-18.073620	60.184049	163.000000	
111413	Action	-39.776860	-26.041322	57.677686	242.000000	
111716	Action	-42.227273	-18.606061	57.833333	132.000000	
113215	Action	-42.165517	-22.000000	58.165517	145.000000	
113619	Action	-40.506494	-22.363636	60.194805	154.000000	
113922	Action	-37.880851	-13.889362	56.263830	235.000000	
114419	Action	-39.238095	-20.306878	56.624339	189.000000	
114924	Action	-43.182266	-16.334975	55.054187	203.000000	
115320	Action	-33.862903	-27.975806	61.798387	248.000000	
116524	Action	-40.231405	-24.363636	61.454545	121.000000	
117122	Action	-34.705036	-20.115108	63.784173	139.000000	
117324	Action	-39.880000	-26.000000	59.848000	250.000000	
118528	Action	-36.000000	-26.000000	54.000000	257.000000	
118730	Action	-31.375000	-28.048077	65.000000	208.000000	
118932	Action	-44.266667	-22.400000	56.306667	150.000000	
119833	Action	-37.058824	-22.171123	60.663102	187.000000	
120111	Action	-32.047059	-29.968627	58.007843	255.000000	
120212	Action	-40.397351	-12.450331	56.211921	151.000000	
120515	Action	-41.401869	-18.280374	53.186916	214.000000	
121618	Action	-41.984375	-18.007812	53.976562	256.000000	
122317	Action	-40.000000	-22.000000	50.000000	257.000000	
122620	Action	-38.000000	-26.000000	54.000000	257.000000	
123117	Action	-38.094488	-16.503937	59.874016	127.000000	
123420	Action	-36.604938	-33.370370	62.444444	162.000000	
123925	Action	-34.546763	-22.345324	59.741007	139.000000	
124220	Action	-40.000000	-24.000000	56.000000	257.000000	
124422	Action	-41.293023	-14.195349	57.283721	215.000000	
124826	Action	-38.431655	-20.431655	61.827338	139.000000	
125525	Action	-34.047059	-27.976471	53.976471	255.000000	
126325	Action	-38.000000	-24.000000	58.000000	257.000000	
126628	Action	-40.000000	-22.000000	54.000000	257.000000	
127630	Action	-41.390244	-23.146341	57.634146	82.000000	
127933	Action	-37.114583	-26.093750	62.750000	192.000000	
128127	Action	-40.000000	-22.000000	50.000000	257.000000	
128632	Action	-40.580247	-18.296296	58.345679	162.000000	
129028	Action	-43.019802	-14.277228	55.168317	202.000000	
130013	Action	-43.470852	-18.269058	55.399103	223.000000	
130316	Action	-36.007843	-17.968627	53.952941	255.000000	
130922	Action	-32.157025	-18.033058	53.966942	242.000000	
131217	Action	-40.156250	-18.437500	59.718750	128.000000	
131722	Action	-38.276423	-22.390244	61.495935	123.000000	
131924	Action	-38.090164	-14.090164	44.196721	244.000000	
133019	Action	-43.253456	-16.211982	51.400922	217.000000	
133625	Action	-40.292683	-21.365854	59.170732	41.000000	
133827	Action	-33.517544	-24.114035	63.464912	228.000000	
133928	Action	-42.752688	-16.150538	54.903226	186.000000	
134324	Action	-38.352941	-22.558824	59.838235	136.000000	
135225	Action	-38.000000	-23.968750	58.000000	256.000000	
135528	Action	-40.354610	-22.411348	59.943262	141.000000	
135932	Action	-35.945946	-19.423423	41.873874	222.000000	
136227	Action	-38.000000	-24.000000	52.000000	257.000000	
136833	Action	-40.684211	-22.368421	58.026316	152.000000	
137027	Action	-40.000000	-22.000000	52.000000	257.000000	
137128	Action	-41.092784	-16.247423	54.845361	194.000000	
137633	Action	-34.036036	-32.072072	60.117117	222.000000	
137936	Action	-44.211268	-24.042254	56.042254	142.000000	
138231	Action	-38.285714	-16.496241	61.789474	133.000000	
138534	Action	-41.378995	-20.136986	57.315068	219.000000	
139233	Action	-40.000000	-22.000000	52.000000	257.000000	
140117	Action	-34.913907	-22.079470	64.066225	151.000000	
140420	Action	-38.683871	-23.716129	60.116129	155.000000	
994273	Action	-41.920635	-14.492063	57.873016	126.000000	
140824	Action	-31.984314	-20.000000	58.054902	255.000000	
140925	Action	-39.952941	-23.992157	51.968627	255.000000	
141422	Action	-38.218391	-17.666667	52.367816	174.000000	
141826	Action	-34.015625	-26.023438	55.992188	256.000000	
142828	Action	-39.136364	-26.397727	60.613636	176.000000	
143325	Action	-40.223881	-18.611940	59.895522	134.000000	
144226	Action	-43.830645	-12.048387	51.830645	248.000000	
144832	Action	-44.509317	-12.335404	52.397516	161.000000	
145834	Action	-40.000000	-24.000000	54.000000	257.000000	
146331	Action	-35.965665	-18.137339	57.493562	233.000000	
146432	Action	-44.595238	-12.369048	52.547619	168.000000	
147030	Action	-35.120419	-24.178010	62.806283	191.000000	
147737	Action	-39.105263	-22.126316	58.705263	190.000000	
148032	Action	-37.992188	-24.015625	50.023438	256.000000	
148335	Action	-41.472222	-26.101852	59.157407	216.000000	
148840	Action	-33.967480	-28.243902	56.146341	246.000000	
148941	Action	-35.095238	-17.460317	44.714286	126.000000	
149337	Action	-42.000000	-20.000000	52.000000	257.000000	
149539	Action	-41.299539	-20.055300	55.327189	217.000000	
149741	Action	-40.023438	-24.015625	49.992188	256.000000	
150524	Action	-38.450331	-20.132450	62.119205	151.000000	
150625	Action	-40.937500	-20.229167	58.916667	192.000000	
150726	Action	-40.500000	-20.515152	59.621212	132.000000	
151223	Action	-34.449275	-22.072464	63.768116	138.000000	
151526	Action	-38.411765	-20.455882	61.764706	136.000000	
151627	Action	-34.859259	-20.548148	63.807407	135.000000	
151728	Action	-39.913514	-25.113514	54.637838	185.000000	
152831	Action	-39.769547	-20.074074	57.720165	243.000000	
153025	Action	-37.600000	-20.500000	61.075000	160.000000	
153429	Action	-42.000000	-24.000000	56.000000	257.000000	
153833	Action	-31.834101	-23.907834	64.211982	217.000000	
154734	Action	-38.609929	-20.581560	59.815603	141.000000	
154835	Action	-39.440367	-22.146789	59.238532	218.000000	
154936	Action	-40.746988	-26.168675	60.313253	166.000000	
155231	Action	-40.246154	-22.923077	60.553846	65.000000	
155635	Action	-38.355556	-18.385185	60.014815	135.000000	
156233	Action	-43.518519	-22.166667	55.277778	216.000000	
156637	Action	-38.000000	-20.000000	54.000000	257.000000	
157336	Action	-38.560606	-30.333333	59.545455	132.000000	
157437	Action	-36.773333	-22.426667	61.906667	150.000000	
158035	Action	-38.126984	-22.047619	49.968254	252.000000	
158136	Action	-40.259740	-10.376623	58.441558	154.000000	
158540	Action	-40.695122	-22.182927	58.292683	164.000000	
159138	Action	-39.642553	-16.153191	55.591489	235.000000	
159239	Action	-36.047619	-18.119048	46.031746	252.000000	
159340	Action	-44.441718	-10.306748	50.515337	163.000000	
159441	Action	-40.583333	-14.819444	58.305556	144.000000	
160123	Action	-38.000000	-26.000000	55.968750	256.000000	
160830	Action	-42.298246	-22.508772	58.736842	114.000000	
161327	Action	-40.600000	-22.346667	62.000000	150.000000	
161630	Action	-41.692946	-24.049793	55.726141	241.000000	
161731	Action	-40.698225	-22.201183	58.437870	169.000000	
162026	Action	-41.960784	-22.015686	53.960784	255.000000	
162228	Action	-36.693333	-22.146667	61.920000	150.000000	
162329	Action	-40.000000	-16.000000	52.000000	257.000000	
162733	Action	-36.965517	-28.045977	62.436782	174.000000	
163129	Action	-36.000000	-28.000000	58.000000	257.000000	
163331	Action	-41.336585	-24.253659	57.034146	205.000000	
163432	Action	-39.563319	-18.174672	57.475983	229.000000	
163836	Action	-39.347368	-22.421053	58.621053	190.000000	
164030	Action	-39.367347	-22.112245	59.010204	196.000000	
164131	Action	-31.346939	-20.214286	64.724490	196.000000	
164939	Action	-41.960784	-22.015686	53.960784	255.000000	
165032	Action	-36.582781	-20.092715	62.013245	151.000000	
165840	Action	-38.679245	-15.710692	46.327044	159.000000	
166438	Action	-42.000000	-22.421875	59.843750	128.000000	
167036	Action	-42.421053	-18.578947	56.263158	152.000000	
167743	Action	-40.000000	-26.000000	54.000000	257.000000	
168139	Action	-41.911647	-16.072289	51.815261	249.000000	
168341	Action	-42.474820	-18.604317	57.841727	139.000000	
169444	Action	-40.321168	-24.335766	57.839416	137.000000	
170934	Action	-39.505155	-19.319588	54.865979	97.000000	
171633	Action	-39.618644	-20.025424	57.618644	236.000000	
172029	Action	-43.968992	-16.480620	57.922481	129.000000	
172130	Action	-38.662252	-27.933775	61.960265	151.000000	
172332	Action	-42.235294	-14.617647	55.941176	136.000000	
172534	Action	-40.614379	-16.313725	60.065359	153.000000	
172938	Action	-32.336634	-24.534653	63.584158	101.000000	
173334	Action	-43.627119	-22.101695	53.627119	236.000000	
173435	Action	-44.596491	-20.233918	54.596491	171.000000	
173536	Action	-41.872510	-22.023904	55.896414	251.000000	
173940	Action	-40.000000	-24.000000	52.000000	257.000000	
175035	Action	-35.952569	-24.000000	59.897233	253.000000	
175439	Action	-34.058091	-26.257261	53.966805	241.000000	
176542	Action	-38.000000	-26.000000	56.000000	257.000000	
177645	Action	-42.913978	-16.354839	56.784946	186.000000	
177746	Action	-40.000000	-18.000000	52.000000	257.000000	
178142	Action	-38.681818	-16.757576	62.393939	132.000000	
178748	Action	-36.248963	-16.149378	45.892116	241.000000	
178849	Action	-40.181818	-20.272727	59.787879	132.000000	
178950	Action	-46.866142	-21.937008	53.653543	127.000000	
992774	Action	-41.804878	-14.065041	53.788618	246.000000	
