Subject	allstim-to-Action	allstim-to-LTM	allstim-to-Perception	allstim-to-Procedural	allstim-to-WM	rel-to-Action	rel-to-LTM	rel-to-Perception	rel-to-Procedural	rel-to-WM	
100307	0.000000	0.000000	1.218316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.085620	
100408	0.000000	0.000000	0.781421	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015104	
101006	0.000000	0.000000	0.061030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016211	
101107	0.000000	0.000000	0.336112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025363	
101309	0.000000	0.000000	0.355168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021062	
101410	0.000000	0.000000	0.283864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009728	
101915	0.000000	0.000000	1.463736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.050000	
102008	0.000000	0.000000	0.814474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.096798	
102311	0.000000	0.000000	0.807607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.088250	
102816	0.000000	0.000000	0.066003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002402	
103111	0.000000	0.000000	0.388880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001274	
103414	0.000000	0.000000	0.666897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.260689	
103515	0.000000	0.000000	0.554590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021319	
103818	0.000000	0.000000	0.410428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011307	
104820	0.000000	0.000000	1.059505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007405	
105014	0.000000	0.000000	1.364959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004300	
105115	0.000000	0.000000	0.622759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.104525	
105216	0.000000	0.000000	0.961360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.101400	
106016	0.000000	0.000000	0.438791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173960	
106319	0.000000	0.000000	1.204944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131366	
106521	0.000000	0.000000	0.032198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008197	
107321	0.000000	0.000000	1.026493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007992	
107422	0.000000	0.000000	0.698565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006901	
108121	0.000000	0.000000	0.646705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027449	
108323	0.000000	0.000000	0.317453	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.088551	
108525	0.000000	0.000000	-0.039416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010146	
108828	0.000000	0.000000	0.400529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002368	
109123	0.000000	0.000000	0.543892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033132	
109325	0.000000	0.000000	0.924307	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011794	
110411	0.000000	0.000000	0.746219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030947	
111312	0.000000	0.000000	1.098263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.079195	
111413	0.000000	0.000000	0.812250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047707	
111716	0.000000	0.000000	1.536672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035472	
113215	0.000000	0.000000	1.393995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063211	
113619	0.000000	0.000000	1.104931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015365	
113922	0.000000	0.000000	0.253693	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007615	
114419	0.000000	0.000000	1.000303	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009886	
114924	0.000000	0.000000	-0.000116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003281	
115320	0.000000	0.000000	1.105517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062855	
