Subject	VOI	x	y	z	Size	
100307	LTM	-47.523810	-65.653680	-9.705628	231.000000	
100408	LTM	-43.911392	-61.443038	-22.113924	158.000000	
101006	LTM	-45.570815	-57.751073	-17.682403	233.000000	
101107	LTM	-46.948454	-61.690722	-10.989691	194.000000	
101309	LTM	-46.000000	-62.000000	-8.000000	257.000000	
101410	LTM	-56.013605	-57.632653	-8.653061	147.000000	
101915	LTM	-47.920949	-61.952569	-9.936759	253.000000	
102008	LTM	-42.296296	-71.098765	-17.123457	162.000000	
102311	LTM	-50.915423	-53.681592	-23.363184	201.000000	
102816	LTM	-44.000000	-50.000000	-10.000000	257.000000	
103111	LTM	-45.855072	-66.898551	-16.782609	138.000000	
103414	LTM	-53.950820	-50.000000	-13.704918	122.000000	
103515	LTM	-46.172131	-50.032787	-17.934426	244.000000	
103818	LTM	-51.180488	-52.019512	-15.102439	205.000000	
104820	LTM	-47.741667	-63.691667	-11.816667	240.000000	
105014	LTM	-47.796748	-59.861789	-13.837398	246.000000	
105115	LTM	-50.752809	-63.078652	-13.000000	178.000000	
105216	LTM	-48.468571	-69.097143	-9.314286	175.000000	
106016	LTM	-43.408072	-63.632287	-15.524664	223.000000	
106319	LTM	-44.000000	-58.000000	-8.000000	257.000000	
106521	LTM	-45.704918	-52.049180	-21.868852	244.000000	
107321	LTM	-47.772358	-63.837398	-7.910569	246.000000	
107422	LTM	-43.564103	-69.675214	-13.777778	234.000000	
108121	LTM	-47.464286	-65.500000	-9.678571	224.000000	
108323	LTM	-53.992157	-46.015686	-11.945098	255.000000	
108525	LTM	-48.952381	-63.238095	-16.682540	126.000000	
108828	LTM	-48.000000	-53.842324	-10.356846	241.000000	
109123	LTM	-50.000000	-58.000000	-14.000000	257.000000	
109325	LTM	-54.777202	-51.782383	-15.150259	193.000000	
110411	LTM	-55.403670	-48.082569	-5.321101	218.000000	
111312	LTM	-57.864542	-49.968127	-7.968127	251.000000	
111413	LTM	-47.286385	-61.446009	-15.436620	213.000000	
111716	LTM	-47.363229	-65.623318	-9.587444	223.000000	
113215	LTM	-44.000000	-58.000000	-10.000000	257.000000	
113619	LTM	-47.929134	-63.960630	-9.976378	254.000000	
113922	LTM	-50.408451	-59.000000	-16.183099	142.000000	
114419	LTM	-50.039216	-52.235294	-25.006536	153.000000	
114924	LTM	-54.000000	-57.925926	-12.185185	108.000000	
115320	LTM	-44.576471	-60.670588	-19.682353	170.000000	
116524	LTM	-47.192308	-57.336538	-21.942308	208.000000	
117122	LTM	-50.000000	-58.000000	-6.000000	257.000000	
117324	LTM	-43.300885	-63.920354	-17.699115	226.000000	
118528	LTM	-43.952941	-67.976471	-9.976471	255.000000	
118730	LTM	-44.000000	-56.000000	-8.000000	257.000000	
118932	LTM	-48.000000	-48.000000	-6.000000	257.000000	
119833	LTM	-51.708333	-59.725000	-9.825000	240.000000	
120111	LTM	-46.026667	-68.986667	-9.026667	150.000000	
120212	LTM	-46.000000	-62.000000	-10.000000	257.000000	
120515	LTM	-47.361111	-63.490741	-11.416667	216.000000	
121618	LTM	-37.976562	-56.007812	-19.984375	256.000000	
122317	LTM	-48.800000	-63.033333	-13.066667	180.000000	
122620	LTM	-48.000000	-46.000000	-14.000000	257.000000	
123117	LTM	-46.000000	-56.000000	-14.000000	257.000000	
123420	LTM	-50.685083	-59.038674	-11.303867	181.000000	
123925	LTM	-50.000000	-58.000000	-8.000000	257.000000	
124220	LTM	-50.671233	-56.575342	-18.438356	146.000000	
124422	LTM	-42.212121	-56.030303	-11.626263	198.000000	
124826	LTM	-47.862903	-57.879032	-13.838710	248.000000	
125525	LTM	-45.888000	-61.888000	-11.888000	250.000000	
126325	LTM	-44.464865	-59.610811	-23.956757	185.000000	
126628	LTM	-44.000000	-50.000000	-20.000000	257.000000	
127630	LTM	-51.081340	-63.464115	-9.540670	209.000000	
127933	LTM	-45.880478	-50.000000	-11.880478	251.000000	
128127	LTM	-47.558824	-59.882353	-18.794118	136.000000	
128632	LTM	-52.000000	-56.000000	-10.000000	257.000000	
129028	LTM	-45.157895	-67.157895	-10.968421	190.000000	
130013	LTM	-43.580786	-59.720524	-15.528384	229.000000	
130316	LTM	-46.000000	-54.000000	-12.000000	257.000000	
130922	LTM	-45.821862	-59.878543	-13.838057	247.000000	
131217	LTM	-44.000000	-64.000000	-16.000000	257.000000	
131722	LTM	-42.000000	-58.000000	-6.000000	257.000000	
131924	LTM	-44.000000	-52.000000	-12.000000	257.000000	
133019	LTM	-44.000000	-54.000000	-10.000000	257.000000	
133625	LTM	-39.504348	-67.591304	-17.826087	230.000000	
133827	LTM	-47.872000	-59.936000	-11.872000	250.000000	
133928	LTM	-45.351598	-61.662100	-11.479452	219.000000	
134324	LTM	-52.294872	-53.525641	-18.487179	156.000000	
135225	LTM	-47.838057	-63.821862	-13.878543	247.000000	
135528	LTM	-46.000000	-48.000000	-18.000000	257.000000	
135932	LTM	-48.000000	-60.085470	-15.623932	117.000000	
136227	LTM	-49.645570	-61.713080	-11.763713	237.000000	
136833	LTM	-54.168224	-54.691589	-17.439252	107.000000	
137027	LTM	-48.736842	-59.239766	-12.666667	171.000000	
137128	LTM	-47.099010	-65.217822	-9.445545	202.000000	
137633	LTM	-44.015686	-46.023529	-12.007843	255.000000	
137936	LTM	-47.327189	-59.391705	-13.622120	217.000000	
138231	LTM	-49.416667	-61.435185	-13.398148	216.000000	
138534	LTM	-44.000000	-52.000000	-10.000000	257.000000	
139233	LTM	-48.720721	-47.369369	-16.108108	111.000000	
140117	LTM	-47.232227	-65.345972	-11.526066	211.000000	
140420	LTM	-49.244240	-63.483871	-9.649770	217.000000	
994273	LTM	-57.851852	-49.407407	-9.981481	108.000000	
140824	LTM	-44.000000	-56.000000	-12.031250	256.000000	
140925	LTM	-44.514563	-51.970874	-15.873786	206.000000	
141422	LTM	-49.146919	-67.440758	-9.554502	211.000000	
141826	LTM	-53.541667	-58.708333	-14.520833	96.000000	
142828	LTM	-55.213592	-51.592233	-15.155340	206.000000	
143325	LTM	-47.952756	-56.000000	-15.929134	254.000000	
144226	LTM	-46.000000	-52.000000	-14.000000	257.000000	
144832	LTM	-47.829960	-52.080972	-17.813765	247.000000	
145834	LTM	-47.762295	-59.778689	-13.885246	244.000000	
146331	LTM	-43.878049	-56.097561	-21.756098	246.000000	
146432	LTM	-53.395556	-59.564444	-9.715556	225.000000	
147030	LTM	-49.714286	-59.714286	-13.714286	238.000000	
147737	LTM	-48.841026	-53.846154	-23.292308	195.000000	
148032	LTM	-45.676471	-68.955882	-10.897059	136.000000	
148335	LTM	-49.802632	-52.368421	-25.368421	152.000000	
148840	LTM	-48.662921	-64.955056	-15.280899	178.000000	
148941	LTM	-42.000000	-62.000000	-22.000000	257.000000	
149337	LTM	-50.000000	-46.000000	-12.000000	257.000000	
149539	LTM	-47.678832	-54.817518	-28.583942	137.000000	
