Subject	VOI	x	y	z	Size	
100307	Perception	-5.503356	-98.107383	-1.422819	149.000000	
100408	Perception	-6.144578	-93.863454	-5.911647	249.000000	
101006	Perception	-22.085470	-90.376068	-2.205128	234.000000	
101107	Perception	-9.034091	-91.056818	-10.761364	176.000000	
101309	Perception	-13.838926	-101.503356	-0.080537	149.000000	
101410	Perception	-12.088496	-99.247788	3.867257	226.000000	
101915	Perception	-4.944162	-94.954315	0.213198	197.000000	
102008	Perception	-10.096916	-99.268722	4.070485	227.000000	
102311	Perception	-8.174274	-97.626556	5.941909	241.000000	
102816	Perception	-12.034483	-93.827586	-7.560345	232.000000	
103111	Perception	-16.000000	-82.000000	-6.000000	257.000000	
103414	Perception	-10.305556	-99.416667	5.861111	144.000000	
103515	Perception	-12.051020	-98.540816	3.948980	196.000000	
103818	Perception	-15.654135	-99.218045	-5.458647	133.000000	
104820	Perception	-8.000000	-84.000000	-10.000000	257.000000	
105014	Perception	-2.055556	-89.888889	0.055556	252.000000	
105115	Perception	-6.204082	-93.771429	-3.910204	245.000000	
105216	Perception	-0.098765	-89.654321	0.041152	243.000000	
106016	Perception	-6.000000	-82.000000	6.000000	257.000000	
106319	Perception	-6.521739	-95.565217	0.052174	230.000000	
106521	Perception	-15.795918	-99.061224	-6.510204	98.000000	
107321	Perception	-8.720000	-98.377143	-3.325714	175.000000	
107422	Perception	-10.095238	-99.350649	1.982684	231.000000	
108121	Perception	-6.566210	-97.278539	2.063927	219.000000	
108323	Perception	-13.768116	-99.304348	-1.695652	138.000000	
108525	Perception	-18.008475	-85.754237	-4.016949	236.000000	
108828	Perception	-6.495413	-97.201835	4.082569	218.000000	
109123	Perception	-4.547170	-95.122642	-3.679245	212.000000	
109325	Perception	-15.721925	-98.427807	7.636364	187.000000	
110411	Perception	-8.354167	-98.531250	0.145833	192.000000	
111312	Perception	-10.309524	-100.011905	5.571429	168.000000	
111413	Perception	-10.615385	-99.622378	-5.188811	143.000000	
111716	Perception	-4.000000	-90.000000	2.000000	257.000000	
113215	Perception	-2.000000	-90.000000	0.000000	257.000000	
113619	Perception	-2.000000	-88.000000	-2.000000	257.000000	
113922	Perception	-10.507463	-99.268657	-1.552239	134.000000	
114419	Perception	-2.031621	-87.897233	-1.968379	253.000000	
114924	Perception	-18.000000	-90.000000	-2.000000	257.000000	
115320	Perception	-8.924528	-97.245283	-4.132075	106.000000	
116524	Perception	-9.530303	-94.151515	-10.484848	132.000000	
117122	Perception	-4.448430	-95.300448	0.125561	223.000000	
117324	Perception	-10.065574	-95.680328	-1.909836	244.000000	
118528	Perception	-6.178862	-95.772358	-1.943089	246.000000	
118730	Perception	-10.024194	-89.798387	-9.862903	248.000000	
118932	Perception	-9.241935	-99.435484	-4.983871	124.000000	
119833	Perception	-13.754545	-99.127273	-0.072727	220.000000	
120111	Perception	-12.000000	-84.000000	4.000000	257.000000	
120212	Perception	-8.136546	-91.871486	-7.887550	249.000000	
120515	Perception	-8.000000	-92.000000	-2.000000	257.000000	
121618	Perception	-8.459330	-98.947368	-1.875598	209.000000	
122317	Perception	-4.170040	-91.797571	9.951417	247.000000	
122620	Perception	-10.276151	-89.648536	0.142259	239.000000	
123117	Perception	-4.000000	-84.000000	0.000000	257.000000	
123420	Perception	-8.206612	-95.710744	-1.842975	242.000000	
123925	Perception	-4.401747	-95.475983	-1.755459	229.000000	
124220	Perception	-12.065728	-98.976526	-1.727700	213.000000	
124422	Perception	-12.536585	-97.479675	-8.422764	123.000000	
124826	Perception	-6.000000	-84.000000	6.000000	257.000000	
125525	Perception	-10.000000	-96.000000	-4.000000	257.000000	
126325	Perception	-6.000000	-94.000000	4.000000	257.000000	
126628	Perception	-2.007812	-87.984375	-3.976562	256.000000	
127630	Perception	-6.127490	-91.896414	0.023904	251.000000	
127933	Perception	-8.528302	-99.886792	7.484277	159.000000	
128127	Perception	-13.754011	-98.374332	3.850267	187.000000	
128632	Perception	-15.967742	-95.774194	7.919355	248.000000	
129028	Perception	-7.152778	-91.486111	-11.750000	144.000000	
130013	Perception	-0.114286	-87.390476	-5.228571	210.000000	
130316	Perception	-10.000000	-88.000000	-2.000000	257.000000	
130922	Perception	-6.000000	-82.000000	0.000000	257.000000	
131217	Perception	-6.330508	-85.796610	-11.627119	236.000000	
131722	Perception	-8.000000	-92.000000	-4.000000	257.000000	
131924	Perception	-12.000000	-90.000000	4.000000	257.000000	
133019	Perception	-8.137931	-97.396552	2.103448	232.000000	
133625	Perception	-15.829060	-97.478632	9.803419	234.000000	
133827	Perception	-6.675676	-93.662162	-3.391892	148.000000	
133928	Perception	-6.422414	-93.689655	-3.663793	232.000000	
134324	Perception	-10.000000	-86.000000	4.000000	257.000000	
135225	Perception	-10.538922	-98.227545	-5.077844	167.000000	
135528	Perception	-12.000000	-99.429787	4.000000	235.000000	
135932	Perception	-10.077586	-99.370690	2.000000	232.000000	
136227	Perception	-0.039841	-87.896414	-3.888446	251.000000	
136833	Perception	-12.089431	-95.756098	-3.861789	246.000000	
137027	Perception	-10.197917	-98.479167	2.000000	192.000000	
137128	Perception	-0.089431	-87.821138	-3.788618	246.000000	
137633	Perception	-10.000000	-94.000000	-8.000000	257.000000	
137936	Perception	-8.023438	-93.984375	-3.992188	256.000000	
138231	Perception	-17.397590	-99.987952	-1.819277	166.000000	
138534	Perception	-10.039216	-93.960784	-3.984314	255.000000	
139233	Perception	1.871245	-89.433476	-3.854077	233.000000	
140117	Perception	-17.445026	-98.544503	3.895288	191.000000	
140420	Perception	-4.097166	-93.765182	-3.919028	247.000000	
994273	Perception	-10.000000	-88.000000	4.000000	257.000000	
140824	Perception	-15.822222	-95.271111	-4.168889	225.000000	
140925	Perception	-20.000000	-94.000000	6.000000	257.000000	
141422	Perception	-10.710383	-91.191257	-14.655738	183.000000	
141826	Perception	-0.007843	-89.945098	2.015686	255.000000	
142828	Perception	-10.385321	-99.146789	2.073394	218.000000	
143325	Perception	-6.247934	-95.719008	0.123967	242.000000	
144226	Perception	-6.205761	-93.720165	0.123457	243.000000	
144832	Perception	-2.173554	-93.677686	2.132231	242.000000	
145834	Perception	-2.000000	-84.000000	2.000000	257.000000	
146331	Perception	-15.959350	-92.113821	-4.089431	246.000000	
146432	Perception	-6.163265	-95.722449	4.000000	245.000000	
147030	Perception	-12.248756	-96.835821	-9.402985	201.000000	
147737	Perception	-12.042781	-98.374332	5.721925	187.000000	
148032	Perception	-6.095238	-91.928571	-5.928571	252.000000	
148335	Perception	-6.039216	-89.960784	-1.984314	255.000000	
148840	Perception	-7.100529	-89.460317	-9.005291	189.000000	
148941	Perception	-12.982456	-95.421053	-10.263158	114.000000	
149337	Perception	-17.204301	-95.354839	-6.989247	93.000000	
149539	Perception	-6.925000	-96.012500	0.337500	160.000000	
149741	Perception	-4.000000	-82.000000	4.000000	257.000000	
150524	Perception	-17.447917	-98.562500	0.031250	192.000000	
150625	Perception	-12.179104	-99.223881	7.567164	134.000000	
150726	Perception	-8.702128	-98.553191	0.127660	188.000000	
151223	Perception	-7.115152	-94.557576	-4.909091	165.000000	
151526	Perception	-6.216216	-93.540541	-1.554054	148.000000	
151627	Perception	-11.979487	-98.523077	1.928205	195.000000	
151728	Perception	-12.180905	-98.673367	-1.738693	199.000000	
152831	Perception	-8.789189	-96.681081	-5.318919	185.000000	
153025	Perception	-15.790850	-99.607843	5.856209	153.000000	
153429	Perception	-6.429907	-97.084112	5.859813	214.000000	
153833	Perception	-21.836066	-95.696721	3.983607	244.000000	
154734	Perception	-6.086957	-93.936759	0.031621	253.000000	
154835	Perception	-4.401709	-95.572650	0.025641	234.000000	
154936	Perception	-8.000000	-86.000000	2.000000	257.000000	
155231	Perception	-10.242105	-100.442105	0.052632	190.000000	
155635	Perception	-13.886792	-97.735849	6.000000	159.000000	
156233	Perception	-14.007843	-93.945098	0.015686	255.000000	
156637	Perception	-0.089069	-89.748988	2.016194	247.000000	
157336	Perception	-16.024000	-89.896000	-11.840000	250.000000	
157437	Perception	-5.272727	-94.363636	-3.539394	165.000000	
158035	Perception	-10.468571	-100.171429	-1.737143	175.000000	
158136	Perception	-4.957447	-94.776596	-3.563830	188.000000	
158540	Perception	-15.913514	-98.432432	-7.383784	185.000000	
159138	Perception	-7.103825	-94.907104	-5.245902	183.000000	
159239	Perception	-12.000000	-95.722449	-9.836735	245.000000	
159340	Perception	-6.000000	-84.000000	4.000000	257.000000	
159441	Perception	-4.358974	-91.555556	-1.888889	234.000000	
160123	Perception	-10.689655	-96.551724	-6.954023	174.000000	
160830	Perception	-6.296610	-95.576271	-3.838983	236.000000	
161327	Perception	-14.040816	-86.032653	-3.877551	245.000000	
161630	Perception	-10.190871	-95.651452	2.124481	241.000000	
161731	Perception	-8.000000	-94.000000	4.000000	257.000000	
162026	Perception	-6.170040	-95.797571	2.048583	247.000000	
162228	Perception	-9.090909	-95.484848	-3.196970	132.000000	
162329	Perception	-12.025641	-97.410256	4.008547	234.000000	
162733	Perception	-6.441315	-95.051643	7.793427	213.000000	
163129	Perception	-8.697674	-98.220930	7.604651	172.000000	
163331	Perception	-8.511416	-95.342466	-3.598174	219.000000	
163432	Perception	-5.251701	-96.176871	-6.816327	147.000000	
163836	Perception	-15.884211	-96.547368	-5.400000	190.000000	
164030	Perception	-2.000000	-88.000000	0.000000	257.000000	
164131	Perception	-19.856287	-92.838323	-12.323353	167.000000	
164939	Perception	-12.207650	-98.404372	-3.387978	183.000000	
165032	Perception	-8.366197	-99.380282	0.183099	142.000000	
165840	Perception	-8.206612	-97.669421	0.049587	242.000000	
166438	Perception	-6.639640	-95.450450	-1.801802	222.000000	
167036	Perception	-6.842105	-94.810526	-1.410526	190.000000	
167743	Perception	-10.695652	-89.429952	-11.207729	207.000000	
168139	Perception	-10.381503	-83.283237	-0.658960	173.000000	
168341	Perception	-12.391061	-96.435754	-7.229050	179.000000	
169444	Perception	-10.242105	-98.442105	2.052632	190.000000	
170934	Perception	-10.000000	-92.000000	-6.000000	257.000000	
171633	Perception	-8.000000	-92.000000	-2.000000	257.000000	
172029	Perception	-4.264463	-89.735537	-3.876033	242.000000	
172130	Perception	-10.202899	-96.908213	-7.545894	207.000000	
172332	Perception	-6.759036	-92.795181	-10.469880	166.000000	
172534	Perception	-10.150376	-99.203008	3.639098	133.000000	
172938	Perception	-11.322034	-97.593220	-8.440678	118.000000	
173334	Perception	-8.373832	-97.074766	-1.728972	214.000000	
173435	Perception	-4.138776	-91.730612	-1.902041	245.000000	
173536	Perception	-10.161017	-97.550847	-3.754237	236.000000	
173940	Perception	-8.000000	-86.000000	6.000000	257.000000	
175035	Perception	-8.511211	-97.345291	2.125561	223.000000	
175439	Perception	-8.120000	-93.848000	-2.000000	250.000000	
176542	Perception	-10.131579	-97.289474	4.070175	228.000000	
177645	Perception	-8.039216	-93.960784	-1.984314	255.000000	
177746	Perception	-6.698565	-97.138756	-3.655502	209.000000	
178142	Perception	-12.000000	-94.000000	0.000000	257.000000	
178748	Perception	-4.629108	-95.145540	-1.934272	213.000000	
178849	Perception	-13.823256	-99.013953	-1.841860	215.000000	
178950	Perception	-23.479592	-94.653061	1.897959	196.000000	
992774	Perception	-5.382857	-94.777143	-5.554286	175.000000	
