Subject	VOI	x	y	z	Size	
100307	Procedural	-16.189655	1.793103	17.965517	116.000000	
100408	Procedural	-15.771930	2.000000	18.105263	114.000000	
101006	Procedural	-16.000000	2.000000	18.000000	123.000000	
101107	Procedural	-16.000000	2.000000	18.000000	123.000000	
101309	Procedural	-16.000000	2.000000	18.000000	123.000000	
101410	Procedural	-16.186667	2.906667	17.520000	75.000000	
101915	Procedural	-16.133333	1.942857	17.371429	105.000000	
102008	Procedural	-16.326531	2.306122	17.612245	98.000000	
102311	Procedural	-16.222222	1.948718	17.863248	117.000000	
102816	Procedural	-16.083333	2.083333	17.916667	120.000000	
103111	Procedural	-16.000000	2.000000	18.000000	123.000000	
103414	Procedural	-16.000000	2.000000	18.000000	123.000000	
103515	Procedural	-17.047619	2.571429	16.190476	21.000000	
103818	Procedural	-16.411215	2.093458	17.663551	107.000000	
104820	Procedural	-16.000000	2.000000	18.000000	123.000000	
105014	Procedural	-16.000000	2.000000	18.000000	123.000000	
105115	Procedural	-16.100840	1.899160	17.899160	119.000000	
105216	Procedural	-15.514563	1.514563	17.902913	103.000000	
106016	Procedural	-16.000000	2.000000	18.000000	123.000000	
106319	Procedural	-16.000000	2.000000	18.000000	123.000000	
106521	Procedural	-16.244444	1.511111	17.022222	90.000000	
107321	Procedural	-17.146067	1.752809	17.573034	89.000000	
107422	Procedural	-16.425532	2.297872	17.872340	47.000000	
108121	Procedural	-16.472727	2.109091	17.781818	110.000000	
108323	Procedural	-16.000000	2.000000	18.000000	123.000000	
108525	Procedural	-14.533333	0.800000	17.866667	45.000000	
108828	Procedural	-15.898305	1.983051	17.983051	118.000000	
109123	Procedural	-16.000000	2.000000	18.000000	123.000000	
109325	Procedural	-16.804348	1.739130	17.173913	92.000000	
110411	Procedural	-16.283019	2.037736	17.584906	106.000000	
111312	Procedural	-16.000000	2.000000	18.000000	123.000000	
111413	Procedural	-16.110092	2.495413	18.055046	109.000000	
111716	Procedural	-16.000000	2.000000	18.000000	123.000000	
113215	Procedural	-15.803922	1.372549	18.392157	102.000000	
113619	Procedural	-15.895652	2.104348	17.739130	115.000000	
113922	Procedural	-16.000000	2.000000	18.000000	123.000000	
114419	Procedural	-16.100840	2.084034	17.882353	119.000000	
114924	Procedural	-16.000000	2.000000	18.000000	123.000000	
115320	Procedural	-16.118644	1.915254	17.864407	118.000000	
116524	Procedural	-13.629630	1.259259	17.851852	27.000000	
117122	Procedural	-16.945055	1.494505	17.450549	91.000000	
117324	Procedural	-16.050420	1.932773	17.865546	119.000000	
118528	Procedural	-16.000000	2.000000	18.000000	123.000000	
118730	Procedural	-16.702703	1.594595	18.486486	74.000000	
118932	Procedural	-16.000000	2.000000	18.000000	123.000000	
119833	Procedural	-18.000000	2.500000	16.166667	36.000000	
120111	Procedural	-16.686869	1.676768	17.515152	99.000000	
120212	Procedural	-15.866667	1.333333	17.000000	90.000000	
120515	Procedural	-16.486486	0.054054	17.675676	37.000000	
121618	Procedural	-16.720000	1.706667	18.320000	75.000000	
122317	Procedural	-16.000000	2.000000	18.049180	122.000000	
122620	Procedural	-15.494949	1.313131	17.696970	99.000000	
123117	Procedural	-15.895652	1.791304	17.739130	115.000000	
123420	Procedural	-16.118644	2.067797	17.966102	118.000000	
123925	Procedural	-15.967213	1.967213	17.983607	122.000000	
124220	Procedural	-15.981481	2.129630	17.425926	108.000000	
124422	Procedural	-16.266667	2.288889	17.977778	90.000000	
124826	Procedural	-16.000000	2.000000	18.000000	123.000000	
125525	Procedural	-15.634615	1.769231	18.365385	104.000000	
126325	Procedural	-15.950820	2.000000	18.000000	122.000000	
126628	Procedural	-15.945455	2.072727	18.200000	110.000000	
127630	Procedural	-16.000000	2.000000	18.000000	123.000000	
127933	Procedural	-16.000000	1.846154	17.794872	117.000000	
128127	Procedural	-16.278261	1.913043	17.808696	115.000000	
128632	Procedural	-16.000000	2.000000	18.000000	123.000000	
129028	Procedural	-16.000000	2.000000	18.049180	122.000000	
130013	Procedural	-16.159292	1.911504	18.176991	113.000000	
130316	Procedural	-16.000000	2.000000	18.000000	123.000000	
130922	Procedural	-16.116505	2.291262	17.805825	103.000000	
131217	Procedural	-15.830508	1.864407	18.016949	118.000000	
131722	Procedural	-16.000000	2.000000	18.000000	123.000000	
131924	Procedural	-15.833333	2.333333	17.574074	108.000000	
133019	Procedural	-16.000000	2.000000	18.000000	123.000000	
133625	Procedural	-16.020000	1.900000	18.900000	100.000000	
133827	Procedural	-16.000000	2.000000	18.000000	123.000000	
133928	Procedural	-16.252874	1.448276	18.045977	87.000000	
