Subject	VOI	x	y	z	Size	
100307	Perception	-35.768595	-85.685950	9.942149	242.000000	
100408	Perception	-44.374269	-76.935673	-3.602339	171.000000	
101006	Perception	-36.000000	-82.000000	2.000000	257.000000	
101107	Perception	-36.188406	-87.956522	5.782609	138.000000	
101309	Perception	-39.244898	-88.000000	0.224490	98.000000	
101410	Perception	-31.880478	-87.880478	2.000000	251.000000	
101915	Perception	-35.742739	-85.676349	7.933610	241.000000	
102008	Perception	-34.000000	-86.000000	0.000000	257.000000	
102311	Perception	-33.502183	-87.510917	-5.895197	229.000000	
102816	Perception	-35.116505	-87.155340	-3.893204	206.000000	
103111	Perception	-37.796748	-79.861789	-9.837398	246.000000	
103414	Perception	-33.960784	-83.960784	-3.984314	255.000000	
103515	Perception	-42.994975	-75.356784	-11.316583	199.000000	
103818	Perception	-40.343558	-80.858896	-9.177914	163.000000	
104820	Perception	-40.181818	-82.636364	-3.363636	154.000000	
105014	Perception	-39.300000	-79.590909	-7.581818	220.000000	
105115	Perception	-38.707865	-86.674157	0.033708	178.000000	
105216	Perception	-35.705882	-85.621849	7.890756	238.000000	
106016	Perception	-35.579399	-85.553648	3.982833	233.000000	
106319	Perception	-43.297297	-77.504505	-1.927928	222.000000	
106521	Perception	-28.407080	-95.115044	-3.840708	113.000000	
107321	Perception	-32.083333	-91.600000	-5.333333	120.000000	
107422	Perception	-42.670213	-81.106383	-3.723404	188.000000	
108121	Perception	-36.266667	-88.253333	5.813333	150.000000	
108323	Perception	-34.220588	-89.867647	3.823529	136.000000	
108525	Perception	-32.837209	-90.523256	-7.406977	172.000000	
108828	Perception	-35.493213	-83.493213	-9.475113	221.000000	
109123	Perception	-37.488584	-79.671233	-13.296804	219.000000	
109325	Perception	-43.511111	-78.770370	-5.585185	135.000000	
110411	Perception	-46.591398	-73.247312	-5.526882	186.000000	
111312	Perception	-44.764398	-77.204188	-3.549738	191.000000	
111413	Perception	-42.435294	-80.729412	0.164706	170.000000	
111716	Perception	-32.000000	-86.000000	-2.000000	257.000000	
113215	Perception	-41.263158	-71.636364	-11.177033	209.000000	
113619	Perception	-35.314554	-89.192488	-3.896714	213.000000	
113922	Perception	-29.928287	-79.904382	-15.888446	251.000000	
114419	Perception	-37.765182	-75.919028	-11.902834	247.000000	
114924	Perception	-34.703911	-88.703911	2.000000	179.000000	
115320	Perception	-35.327189	-83.327189	-5.751152	217.000000	
116524	Perception	-32.953846	-89.035897	-5.692308	195.000000	
117122	Perception	-35.789474	-77.886640	-9.878543	247.000000	
117324	Perception	-35.200000	-87.043902	-0.009756	205.000000	
118528	Perception	-45.873016	-71.944444	2.015873	252.000000	
118730	Perception	-28.492063	-93.666667	-6.888889	126.000000	
118932	Perception	-25.801653	-93.661157	0.041322	242.000000	
119833	Perception	-39.655462	-77.756303	-11.756303	238.000000	
120111	Perception	-34.734940	-88.313253	3.879518	166.000000	
120212	Perception	-43.932432	-76.648649	-1.554054	148.000000	
120515	Perception	-40.579235	-83.147541	-5.540984	183.000000	
121618	Perception	-43.613445	-77.697479	2.000000	238.000000	
122317	Perception	-40.000000	-70.000000	-6.000000	257.000000	
122620	Perception	-30.000000	-84.000000	-12.000000	257.000000	
123117	Perception	-40.930000	-81.170000	2.060000	200.000000	
123420	Perception	-41.171429	-75.676190	-9.304762	210.000000	
123925	Perception	-35.504425	-85.415929	-5.876106	226.000000	
124220	Perception	-43.453744	-77.674009	-7.603524	227.000000	
124422	Perception	-39.113208	-77.547170	-5.547170	212.000000	
124826	Perception	-37.428571	-85.428571	7.839286	224.000000	
125525	Perception	-35.830645	-85.830645	1.951613	248.000000	
126325	Perception	-28.000000	-80.000000	-10.000000	257.000000	
126628	Perception	-45.540426	-71.719149	0.161702	235.000000	
127630	Perception	-44.530387	-77.104972	-3.558011	181.000000	
127933	Perception	-37.525862	-85.577586	2.008621	232.000000	
128127	Perception	-39.909091	-82.272727	-9.075758	132.000000	
128632	Perception	-31.631799	-87.715481	1.958159	239.000000	
129028	Perception	-38.301887	-84.679245	-7.308176	159.000000	
130013	Perception	-30.966292	-90.651685	-9.314607	178.000000	
130316	Perception	-38.772487	-85.026455	-3.703704	189.000000	
130922	Perception	-47.703704	-74.459259	-1.555556	135.000000	
131217	Perception	-47.109005	-75.383886	0.265403	211.000000	
131722	Perception	-40.777202	-81.129534	2.176166	193.000000	
131924	Perception	-36.713450	-86.479532	7.824561	171.000000	
133019	Perception	-31.196172	-91.157895	-1.980861	209.000000	
133625	Perception	-33.854251	-87.773279	1.975709	247.000000	
133827	Perception	-41.676349	-77.767635	-5.867220	241.000000	
133928	Perception	-41.729323	-82.466165	-3.248120	133.000000	
134324	Perception	-34.964467	-87.055838	-5.746193	197.000000	
135225	Perception	-31.960784	-87.960784	0.000000	255.000000	
135528	Perception	-39.601695	-79.745763	-9.745763	236.000000	
135932	Perception	-39.429825	-81.552632	0.043860	228.000000	
136227	Perception	-42.631016	-79.122995	-5.754011	187.000000	
136833	Perception	-33.775934	-87.651452	3.941909	241.000000	
137027	Perception	-38.000000	-76.000000	-8.000000	257.000000	
137128	Perception	-35.190244	-83.365854	-11.287805	205.000000	
137633	Perception	-39.020619	-77.216495	-15.206186	194.000000	
137936	Perception	-32.946237	-87.021505	-9.161290	186.000000	
138231	Perception	-26.000000	-84.000000	-10.000000	257.000000	
138534	Perception	-34.742857	-86.560000	7.931429	175.000000	
139233	Perception	-41.262136	-73.495146	-11.165049	206.000000	
139637	Perception	-33.880478	-87.880478	2.000000	251.000000	
140117	Perception	-44.491620	-77.094972	-3.530726	179.000000	
140420	Perception	-37.506608	-85.444934	-0.079295	227.000000	
140824	Perception	-38.248062	-82.403101	-16.341085	129.000000	
140925	Perception	-43.516949	-75.779661	4.067797	236.000000	
141422	Perception	-34.837989	-88.737430	-9.396648	179.000000	
141826	Perception	-30.000000	-86.000000	2.000000	257.000000	
142828	Perception	-32.000000	-86.000000	2.000000	257.000000	
143325	Perception	-38.117155	-80.209205	-0.267782	239.000000	
144226	Perception	-40.194805	-82.467532	5.792208	154.000000	
144832	Perception	-39.135922	-85.135922	-3.902913	206.000000	
145834	Perception	-37.159420	-85.188406	-5.700483	207.000000	
146331	Perception	-43.656250	-82.187500	3.906250	128.000000	
146432	Perception	-43.129187	-77.435407	-9.492823	209.000000	
147030	Perception	-45.879195	-78.724832	-1.744966	149.000000	
147737	Perception	-36.000000	-80.000000	-10.000000	257.000000	
148032	Perception	-36.342105	-84.684211	-10.868421	152.000000	
148335	Perception	-43.309091	-77.518182	-3.645455	220.000000	
148840	Perception	-36.745562	-86.390533	1.857988	169.000000	
148941	Perception	-43.676349	-77.742739	5.933610	241.000000	
149337	Perception	-31.791667	-77.800000	-13.666667	240.000000	
149539	Perception	-45.116279	-75.488372	2.046512	215.000000	
149741	Perception	-31.984375	-81.992188	-13.976562	256.000000	
150423	Perception	-37.024390	-83.258537	-5.775610	205.000000	
150524	Perception	-45.174312	-75.522936	4.018349	218.000000	
150625	Perception	-43.787879	-80.196970	2.318182	132.000000	
150726	Perception	-34.670732	-90.341463	1.670732	164.000000	
151223	Perception	-46.911765	-73.352941	0.078431	204.000000	
151526	Perception	-34.792453	-88.163522	-7.471698	159.000000	
151627	Perception	-41.790323	-81.935484	3.596774	124.000000	
151728	Perception	-44.673797	-79.219251	-5.422460	187.000000	
152831	Perception	-44.882979	-71.287234	-11.063830	188.000000	
153025	Perception	-34.115044	-80.097345	6.088496	226.000000	
153429	Perception	-36.165517	-88.165517	0.000000	145.000000	
153833	Perception	-42.219355	-82.580645	-5.445161	155.000000	
154431	Perception	-31.795918	-87.779592	-7.893878	245.000000	
154734	Perception	-33.880478	-85.880478	0.000000	251.000000	
154835	Perception	-42.958333	-75.385417	-11.052083	192.000000	
154936	Perception	-26.000000	-80.000000	-10.000000	257.000000	
155231	Perception	-42.141026	-82.666667	-3.576923	156.000000	
155635	Perception	-45.161290	-73.511521	4.073733	217.000000	
156233	Perception	-41.696970	-76.333333	-3.742424	132.000000	
156637	Perception	-44.426036	-80.710059	2.142012	169.000000	
157336	Perception	-35.579399	-85.553648	3.982833	233.000000	
157437	Perception	-35.493333	-85.395556	9.875556	225.000000	
158035	Perception	-34.000000	-74.000000	-12.000000	257.000000	
158136	Perception	-40.677778	-75.088889	-11.177778	180.000000	
158540	Perception	-41.140187	-77.747664	-7.467290	214.000000	
159138	Perception	-38.409639	-84.638554	2.072289	166.000000	
159239	Perception	-35.880000	-85.848000	2.000000	250.000000	
159340	Perception	-45.129630	-77.509259	3.972222	216.000000	
159441	Perception	-35.581197	-85.581197	4.000000	234.000000	
160123	Perception	-32.167939	-91.770992	1.832061	131.000000	
160830	Perception	-31.082873	-92.475138	0.022099	181.000000	
161327	Perception	-42.447059	-76.882353	-9.352941	170.000000	
161630	Perception	-25.927126	-83.821862	-15.813765	247.000000	
161731	Perception	-28.800000	-93.974194	1.922581	155.000000	
162026	Perception	-43.737705	-73.819672	-5.868852	244.000000	
162228	Perception	-42.390533	-73.254438	-9.005917	169.000000	
162329	Perception	-34.000000	-84.000000	2.000000	257.000000	
162733	Perception	-31.968504	-81.952756	-11.937008	254.000000	
163129	Perception	-42.995169	-77.391304	-5.739130	207.000000	
163331	Perception	-38.044118	-86.044118	-3.661765	136.000000	
163432	Perception	-39.548387	-84.241935	-3.532258	124.000000	
163836	Perception	-35.135678	-88.934673	1.939698	199.000000	
164030	Perception	-33.377358	-89.141509	11.735849	212.000000	
164131	Perception	-30.314961	-91.716535	-9.118110	127.000000	
164939	Perception	-33.300493	-88.916256	1.921182	203.000000	
165032	Perception	-33.373272	-89.253456	1.981567	217.000000	
165840	Perception	-28.000000	-84.000000	-10.000000	257.000000	
166438	Perception	-42.337349	-78.879518	-9.349398	166.000000	
167036	Perception	-36.456790	-84.592593	-7.419753	162.000000	
167743	Perception	-41.038835	-75.446602	-7.495146	206.000000	
168341	Perception	-34.000000	-86.000000	-2.000000	257.000000	
169343	Perception	-36.523810	-86.607143	-3.666667	168.000000	
169444	Perception	-40.960396	-83.198020	0.079208	202.000000	
170934	Perception	-41.255814	-83.330233	-5.776744	215.000000	
171633	Perception	-37.608511	-83.608511	7.914894	235.000000	
172029	Perception	-36.000000	-76.000000	-6.000000	257.000000	
172130	Perception	-39.082927	-85.160976	0.117073	205.000000	
172332	Perception	-42.864322	-79.236181	0.120603	199.000000	
172534	Perception	-27.739910	-83.551570	-13.336323	223.000000	
172938	Perception	-38.772487	-84.984127	0.158730	189.000000	
173334	Perception	-34.834225	-86.930481	-5.561497	187.000000	
173435	Perception	-40.797927	-81.160622	-5.647668	193.000000	
173536	Perception	-48.083333	-68.375000	-7.402778	144.000000	
173940	Perception	-39.296296	-77.620370	-11.398148	216.000000	
175035	Perception	-37.360731	-77.579909	-15.488584	219.000000	
175439	Perception	-34.030534	-87.908397	6.152672	131.000000	
176542	Perception	-42.768421	-79.273684	-7.368421	190.000000	
177645	Perception	-43.559055	-78.535433	-7.165354	127.000000	
177746	Perception	-34.000000	-76.000000	-12.000000	257.000000	
178142	Perception	-30.720000	-89.696000	-10.576000	125.000000	
178748	Perception	-39.858156	-80.624113	-1.262411	141.000000	
178849	Perception	-43.377778	-73.600000	-7.706667	225.000000	
178950	Perception	-43.441048	-73.694323	-5.694323	229.000000	
992774	Perception	-31.912698	-83.928571	-9.920635	252.000000	
994273	Perception	-37.848485	-84.560606	-10.878788	132.000000	
