Subject	VOI	x	y	z	Size	
100307	WM	-51.000000	5.568627	35.343137	204.000000	
100408	WM	-53.377193	7.701754	25.780702	228.000000	
101006	WM	-48.635417	13.614583	31.406250	192.000000	
101107	WM	-52.040268	11.154362	34.751678	149.000000	
101309	WM	-52.179641	11.197605	31.377246	167.000000	
101410	WM	-48.000000	8.000000	28.000000	257.000000	
101915	WM	-51.858065	17.445161	29.200000	155.000000	
102008	WM	-48.000000	0.000000	38.000000	257.000000	
102311	WM	-49.976562	1.992188	35.984375	256.000000	
102816	WM	-53.454545	9.688312	29.800866	231.000000	
103111	WM	-40.000000	2.000000	34.000000	257.000000	
103414	WM	-53.515152	5.090909	36.878788	132.000000	
103515	WM	-51.807229	9.911647	23.951807	249.000000	
103818	WM	-53.888889	6.902778	28.972222	144.000000	
104820	WM	-55.507937	3.174603	31.190476	126.000000	
105014	WM	-48.000000	8.000000	24.000000	257.000000	
105115	WM	-52.659686	9.507853	29.371728	191.000000	
105216	WM	-53.918367	7.156463	32.843537	147.000000	
106016	WM	-51.489177	5.766234	35.653680	231.000000	
106319	WM	-50.000000	2.000000	38.000000	257.000000	
106521	WM	-52.283951	7.086420	32.975309	162.000000	
107321	WM	-46.000000	4.000000	36.000000	257.000000	
107422	WM	-53.441176	15.205882	25.250000	136.000000	
108121	WM	-48.000000	10.000000	26.000000	257.000000	
108323	WM	-55.258065	5.225806	34.887097	124.000000	
108525	WM	-52.103226	7.122581	30.916129	155.000000	
108828	WM	-49.215686	13.803922	31.490196	204.000000	
109123	WM	-49.937008	5.968504	33.952756	254.000000	
109325	WM	-51.785714	6.900000	34.957143	140.000000	
110411	WM	-50.102564	3.435897	38.769231	156.000000	
111312	WM	-44.000000	4.000000	34.000000	257.000000	
111413	WM	-45.968627	8.047059	30.007843	255.000000	
111716	WM	-46.000000	6.000000	26.000000	257.000000	
113215	WM	-44.000000	2.000000	38.000000	257.000000	
113619	WM	-52.236686	11.289941	33.254438	169.000000	
113922	WM	-48.000000	6.000000	34.000000	257.000000	
114419	WM	-49.302752	3.688073	37.422018	218.000000	
114924	WM	-55.472000	7.008000	28.976000	125.000000	
115320	WM	-55.316239	4.888889	32.632479	117.000000	
116524	WM	-53.477612	6.910448	29.358209	134.000000	
