Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
100307	-0.428435	0.000000	-5.986154	0.000000	0.000000	0.000000	-0.576219	0.000000	0.000000	0.039368	0.203230	0.000000	-0.222182	0.000000	0.446207	0.000000	0.000000	0.000000	-0.410692	-1.003413	-0.093433	0.078022	-0.810337	0.298819	-0.524088	
100408	-0.570165	0.000000	-4.682644	0.000000	0.000000	0.000000	0.040248	0.000000	0.000000	1.300120	0.954538	0.000000	-0.272540	0.000000	1.275792	0.000000	0.000000	0.000000	-0.634994	-0.141865	-0.079659	-0.013186	2.323828	0.339774	-0.715174	
101006	-0.654652	0.000000	-2.991887	0.000000	0.000000	0.000000	-0.300108	0.000000	0.000000	-2.720464	1.345601	0.000000	-0.438263	0.000000	0.589787	0.000000	0.000000	0.000000	-0.625112	0.231408	-1.250992	0.061381	1.035559	0.378562	-0.449816	
101107	-0.530921	0.000000	-0.571175	0.000000	0.000000	0.000000	0.056707	0.000000	0.000000	0.610557	0.614009	0.000000	-0.342369	0.000000	1.600136	0.000000	0.000000	0.000000	-0.449988	-0.084789	0.185806	-0.021180	0.417832	0.533551	-0.433627	
101309	-0.499349	0.000000	0.022173	0.000000	0.000000	0.000000	-0.499636	0.000000	0.000000	0.016984	0.068991	0.000000	-0.497630	0.000000	0.044337	0.000000	0.000000	0.000000	-0.500000	0.002677	0.118127	0.112965	0.086257	-0.007798	-0.498315	
101410	-0.528852	0.000000	-0.517348	0.000000	0.000000	0.000000	-0.404921	0.000000	0.000000	-0.473770	2.047587	0.000000	-0.484130	0.000000	1.848636	0.000000	0.000000	0.000000	-0.640076	0.007194	-0.464044	0.171016	-0.501040	0.392920	-0.418930	
101915	-0.415412	0.000000	-1.972954	0.000000	0.000000	0.000000	-0.111089	0.000000	0.000000	0.037116	0.833094	0.000000	-0.349174	0.000000	0.630976	0.000000	0.000000	0.000000	-0.589488	0.111817	-0.407950	0.032220	-0.836120	0.123130	-0.499849	
102008	-0.149444	0.000000	2.429369	0.000000	0.000000	0.000000	-0.504460	0.000000	0.000000	-0.467971	-0.032708	0.000000	-0.289950	0.000000	-0.079027	0.000000	0.000000	0.000000	-0.550454	-0.605317	0.092940	-0.007998	-0.984482	-0.283284	-0.339831	
102311	-0.368273	0.000000	-2.734947	0.000000	0.000000	0.000000	0.031380	0.000000	0.000000	-2.312803	0.595571	0.000000	-0.296317	0.000000	0.385972	0.000000	0.000000	0.000000	-0.476842	0.247509	-0.209911	0.003392	2.026157	0.276795	-0.503870	
102816	-0.458046	0.000000	-4.999165	0.000000	0.000000	0.000000	-0.366849	0.000000	0.000000	0.752772	0.438109	0.000000	-0.353149	0.000000	0.665017	0.000000	0.000000	0.000000	-0.832403	-0.157122	-0.181241	0.154466	0.756487	1.262105	-0.697387	
103111	-0.542258	0.000000	-4.684974	0.000000	0.000000	0.000000	-0.490675	0.000000	0.000000	0.355786	0.242116	0.000000	-0.429411	0.000000	0.066321	0.000000	0.000000	0.000000	-0.570863	-2.213911	-0.079869	-0.027179	0.312720	0.191626	-0.581007	
103414	-0.499996	0.000000	0.003282	0.000000	0.000000	0.000000	-0.499999	0.000000	0.000000	0.003197	0.007643	0.000000	-0.499797	0.000000	0.006999	0.000000	0.000000	0.000000	-0.500000	0.003197	0.005330	0.003970	0.008191	0.002894	-0.499829	
103818	-0.253345	0.000000	-0.531603	0.000000	0.000000	0.000000	-0.446211	0.000000	0.000000	-0.130864	0.570793	0.000000	-0.337405	0.000000	0.208866	0.000000	0.000000	0.000000	-0.336943	-0.061690	-1.452759	0.852012	1.990100	2.149685	-0.429913	
104820	-0.324140	0.000000	-3.382139	0.000000	0.000000	0.000000	-0.500357	0.000000	0.000000	-0.452999	0.402874	0.000000	-0.394433	0.000000	0.412060	0.000000	0.000000	0.000000	-0.651410	-0.174171	-0.391470	0.117590	-0.290602	0.853208	-0.499274	
105014	-0.327063	0.000000	-0.691979	0.000000	0.000000	0.000000	-0.479950	0.000000	0.000000	0.152330	0.565905	0.000000	-0.368840	0.000000	0.317947	0.000000	0.000000	0.000000	-0.619577	0.055574	-0.310013	0.333800	-0.212052	0.380862	-0.511628	
105115	-0.450070	0.000000	-2.796144	0.000000	0.000000	0.000000	-0.670155	0.000000	0.000000	1.696778	0.144253	0.000000	-0.111662	0.000000	-1.844602	0.000000	0.000000	0.000000	-0.459570	1.876212	-0.682921	-2.430794	-2.578338	-2.283699	-0.470884	
105216	-0.150174	0.000000	-4.651803	0.000000	0.000000	0.000000	-0.501211	0.000000	0.000000	-0.334767	0.140618	0.000000	-0.449448	0.000000	0.178963	0.000000	0.000000	0.000000	-0.560203	-0.861891	-0.104461	0.114917	-1.053202	0.355769	-0.532153	
106016	-0.548448	0.000000	0.201058	0.000000	0.000000	0.000000	-0.578749	0.000000	0.000000	0.240807	0.782644	0.000000	-0.497937	0.000000	0.164720	0.000000	0.000000	0.000000	-0.535370	0.045587	-1.897449	-0.540039	-3.311366	1.126485	-0.418294	
106319	-0.488714	0.000000	-3.562194	0.000000	0.000000	0.000000	-0.538744	0.000000	0.000000	-0.428325	0.219815	0.000000	-0.494012	0.000000	0.688341	0.000000	0.000000	0.000000	-0.570779	-1.809892	0.076163	0.171927	1.066059	0.821347	-0.535601	
106521	-0.746881	0.000000	-2.705783	0.000000	0.000000	0.000000	-0.335365	0.000000	0.000000	0.042228	0.729997	0.000000	-0.458456	0.000000	-0.060613	0.000000	0.000000	0.000000	-0.459902	0.184519	1.077155	0.465881	2.187471	0.749752	-0.483058	
107321	-0.100221	0.000000	-4.142100	0.000000	0.000000	0.000000	-0.501489	0.000000	0.000000	-1.070280	0.731797	0.000000	-0.288379	0.000000	0.691587	0.000000	0.000000	0.000000	-0.224781	0.159248	-0.579049	0.230483	2.063590	0.506119	-0.507862	
107422	-0.044257	0.000000	3.220542	0.000000	0.000000	0.000000	-0.066295	0.000000	0.000000	0.165304	0.094561	0.000000	-0.510759	0.000000	0.260804	0.000000	0.000000	0.000000	-0.547678	-0.048645	-0.127468	0.062495	-3.553499	0.559969	-0.541280	
108121	-0.172520	0.000000	-1.403399	0.000000	0.000000	0.000000	-0.256247	0.000000	0.000000	2.388806	0.314764	0.000000	-0.446565	0.000000	1.990313	0.000000	0.000000	0.000000	-0.541633	-1.471419	-0.145704	-0.064348	-1.538458	0.177335	-0.366380	
108323	-0.734442	0.000000	0.414677	0.000000	0.000000	0.000000	-0.075602	0.000000	0.000000	-0.522911	1.628234	0.000000	-0.481147	0.000000	0.932991	0.000000	0.000000	0.000000	-0.164444	0.499488	-0.788784	0.054930	-1.960675	0.063015	-0.700533	
108525	-0.038642	0.000000	-4.717190	0.000000	0.000000	0.000000	-0.787625	0.000000	0.000000	-0.263142	0.587284	0.000000	-0.268762	0.000000	1.539212	0.000000	0.000000	0.000000	-0.612260	0.117752	-0.215385	0.332896	0.739778	0.288392	-0.630875	
108828	-0.590781	0.000000	2.869269	0.000000	0.000000	0.000000	-0.518045	0.000000	0.000000	2.576902	1.056654	0.000000	-0.281775	0.000000	0.639695	0.000000	0.000000	0.000000	-0.228724	0.419797	-0.721541	-0.137550	-3.145205	0.240641	-0.447945	
109123	-0.559402	0.000000	-2.360880	0.000000	0.000000	0.000000	-0.328575	0.000000	0.000000	-0.736468	0.525297	0.000000	-0.382892	0.000000	0.204704	0.000000	0.000000	0.000000	-0.040442	-0.014295	-0.614018	0.224267	2.308445	-0.212956	-0.128234	
109325	-0.162162	0.000000	0.208840	0.000000	0.000000	0.000000	-0.552250	0.000000	0.000000	-0.007901	0.995313	0.000000	-0.446362	0.000000	1.075361	0.000000	0.000000	0.000000	-0.593673	-0.222615	-0.577232	0.106292	-2.220032	0.233694	-0.584758	
110411	-0.804991	0.000000	0.192115	0.000000	0.000000	0.000000	0.013423	0.000000	0.000000	0.339930	0.533177	0.000000	-0.433303	0.000000	0.239022	0.000000	0.000000	0.000000	-0.108690	1.421050	-0.040378	-0.017442	0.391917	-0.049310	-0.231281	
111312	-0.559175	0.000000	-2.534357	0.000000	0.000000	0.000000	-0.224519	0.000000	0.000000	0.789952	0.486119	0.000000	-0.430495	0.000000	0.315737	0.000000	0.000000	0.000000	-0.519744	0.002432	-0.143998	0.054147	-0.042725	0.211570	-0.590725	
111413	-0.648279	0.000000	-4.494981	0.000000	0.000000	0.000000	-0.598323	0.000000	0.000000	-1.822357	0.190929	0.000000	-0.318801	0.000000	0.949556	0.000000	0.000000	0.000000	-0.601189	-2.795954	0.137481	0.613487	1.622587	0.952655	-0.503985	
111716	-0.792382	0.000000	-1.836188	0.000000	0.000000	0.000000	-0.306772	0.000000	0.000000	-0.196061	0.727747	0.000000	-0.207014	0.000000	-0.107957	0.000000	0.000000	0.000000	-0.228715	0.188606	0.441851	0.280619	4.361600	0.947025	-0.506092	
112819	-0.128767	0.000000	-2.413639	0.000000	0.000000	0.000000	-0.472983	0.000000	0.000000	-0.279055	0.698826	0.000000	-0.353247	0.000000	0.450668	0.000000	0.000000	0.000000	-0.569027	0.018678	-0.774616	0.142825	-1.553705	0.604793	-0.487252	
113215	-0.197607	0.000000	0.683702	0.000000	0.000000	0.000000	-0.601552	0.000000	0.000000	-0.131665	1.506788	0.000000	-0.311022	0.000000	0.501911	0.000000	0.000000	0.000000	-0.747286	-0.164275	-1.941143	-0.237614	-5.109959	1.497095	-0.436538	
113619	-0.439907	0.000000	-3.255726	0.000000	0.000000	0.000000	-0.541940	0.000000	0.000000	1.372585	1.040901	0.000000	-0.275616	0.000000	0.687910	0.000000	0.000000	0.000000	-0.219191	-2.323893	-0.181712	0.320377	1.191418	0.090056	-0.509007	
113821	-0.701909	0.000000	-0.533556	0.000000	0.000000	0.000000	-0.491705	0.000000	0.000000	-0.384351	1.002609	0.000000	-0.430414	0.000000	-0.139175	0.000000	0.000000	0.000000	-0.591798	-0.819350	0.557336	0.005805	2.710325	-0.241079	-0.444845	
113922	-0.221381	0.000000	-4.101985	0.000000	0.000000	0.000000	0.015334	0.000000	0.000000	0.032952	0.966464	0.000000	-0.188203	0.000000	0.425027	0.000000	0.000000	0.000000	-0.339778	-0.150046	-1.125074	-0.100263	2.663376	0.739638	-0.405263	
114419	-0.499253	0.000000	0.009446	0.000000	0.000000	0.000000	-0.500000	0.000000	0.000000	0.003096	0.105249	0.000000	-0.497637	0.000000	0.078319	0.000000	0.000000	0.000000	-0.499935	0.003925	0.098865	-0.002298	0.040263	-0.067873	-0.499776	
114924	-0.435450	0.000000	-0.643938	0.000000	0.000000	0.000000	-0.515233	0.000000	0.000000	-0.015285	-0.412105	0.000000	-0.589263	0.000000	-2.062632	0.000000	0.000000	0.000000	-0.434663	0.099315	0.200818	-0.033227	0.309563	2.450337	-0.469487	
115320	-0.613617	0.000000	-3.327360	0.000000	0.000000	0.000000	-0.195829	0.000000	0.000000	0.567507	0.635464	0.000000	-0.293654	0.000000	-0.078041	0.000000	0.000000	0.000000	-0.529286	0.390067	-0.318928	0.110597	-0.772694	-0.456810	-0.513804	
116524	-0.632587	0.000000	-2.315460	0.000000	0.000000	0.000000	-0.643843	0.000000	0.000000	-1.071248	0.336482	0.000000	-0.431064	0.000000	1.427516	0.000000	0.000000	0.000000	-0.546816	-1.649855	0.148177	0.287298	0.704321	0.541006	-0.518219	
117122	-0.044647	0.000000	0.469156	0.000000	0.000000	0.000000	-0.529751	0.000000	0.000000	-2.245364	-0.032077	0.000000	-1.049801	0.000000	1.978708	0.000000	0.000000	0.000000	-0.670033	-3.047044	0.000543	0.349382	0.800896	0.496317	-0.443696	
117324	-0.488883	0.000000	-0.842451	0.000000	0.000000	0.000000	-0.375029	0.000000	0.000000	-0.438566	0.734346	0.000000	-0.335096	0.000000	0.240440	0.000000	0.000000	0.000000	-0.181646	0.280312	-0.147073	0.189763	-2.230658	0.613507	-0.506383	
118528	-0.698992	0.000000	-2.963305	0.000000	0.000000	0.000000	0.000651	0.000000	0.000000	-0.409586	0.854388	0.000000	-0.411222	0.000000	0.906829	0.000000	0.000000	0.000000	-0.545443	-0.356741	-0.217591	0.025238	0.834727	0.244234	-0.596980	
118730	-0.499978	0.000000	0.005134	0.000000	0.000000	0.000000	-0.499991	0.000000	0.000000	0.002474	0.026211	0.000000	-0.497800	0.000000	-0.007692	0.000000	0.000000	0.000000	-0.499982	0.004857	-0.014907	-0.024511	-0.043493	0.041229	-0.499108	
118932	-0.166348	0.000000	-4.836505	0.000000	0.000000	0.000000	-0.363500	0.000000	0.000000	-0.073018	0.259549	0.000000	-0.277134	0.000000	0.374018	0.000000	0.000000	0.000000	-0.695015	0.132579	-0.230766	0.131061	0.242777	0.906943	-0.568545	
119833	-0.048013	0.000000	1.554125	0.000000	0.000000	0.000000	-0.054883	0.000000	0.000000	-0.044700	0.402558	0.000000	-0.494080	0.000000	0.361819	0.000000	0.000000	0.000000	-0.566338	0.328904	-0.714435	-0.068680	-2.694543	-0.316267	-0.527817	
120111	-0.499825	0.000000	-0.002974	0.000000	0.000000	0.000000	-0.499997	0.000000	0.000000	-0.001415	0.003298	0.000000	-0.499913	0.000000	-0.011853	0.000000	0.000000	0.000000	-0.499946	0.010881	0.134082	-0.055116	-0.074521	0.081286	-0.498177	
120212	-0.392357	0.000000	-4.195095	0.000000	0.000000	0.000000	-0.470855	0.000000	0.000000	1.212235	1.154769	0.000000	-0.135448	0.000000	1.428270	0.000000	0.000000	0.000000	-0.199014	-1.007528	-0.182571	0.114176	2.414175	0.058846	-0.813657	
120515	-0.716043	0.000000	-3.824726	0.000000	0.000000	0.000000	-0.451929	0.000000	0.000000	1.171796	0.252421	0.000000	-0.458552	0.000000	0.750767	0.000000	0.000000	0.000000	-0.092483	0.258131	0.107554	-0.258259	0.559586	-0.161974	-0.494430	
121315	-0.491743	0.000000	0.770717	0.000000	0.000000	0.000000	-0.205318	0.000000	0.000000	0.427303	2.642660	0.000000	-0.439495	0.000000	1.904902	0.000000	0.000000	0.000000	-0.560130	-0.277472	-0.297954	0.080080	-2.690089	0.341624	-0.444560	
122317	-0.640243	0.000000	-2.153613	0.000000	0.000000	0.000000	-0.586448	0.000000	0.000000	-0.062036	0.630887	0.000000	-0.477652	0.000000	0.667529	0.000000	0.000000	0.000000	-0.324708	-0.802046	-0.198298	0.283512	1.053575	0.174348	-0.211147	
122620	-0.573474	0.000000	-1.489940	0.000000	0.000000	0.000000	-0.611338	0.000000	0.000000	-0.276975	0.630573	0.000000	-0.278844	0.000000	-0.065654	0.000000	0.000000	0.000000	-0.485068	-0.165675	1.622901	-0.263403	4.806732	0.054364	-0.414386	
123117	-0.561005	0.000000	-1.749068	0.000000	0.000000	0.000000	-0.287120	0.000000	0.000000	1.778873	-0.283348	0.000000	-0.570301	0.000000	1.861383	0.000000	0.000000	0.000000	-0.367493	0.973595	0.564785	-0.186271	-0.288610	-0.188733	-0.500199	
123420	-0.692349	0.000000	-2.363752	0.000000	0.000000	0.000000	-0.513669	0.000000	0.000000	-0.117012	0.582941	0.000000	-0.413282	0.000000	0.474822	0.000000	0.000000	0.000000	-0.621396	-0.872132	-0.338986	0.235154	1.726607	0.726093	-0.520074	
123925	-0.500231	0.000000	0.203167	0.000000	0.000000	0.000000	-0.358813	0.000000	0.000000	1.686879	0.390760	0.000000	-0.524439	0.000000	0.962613	0.000000	0.000000	0.000000	0.023342	-1.814091	1.804593	-1.071158	2.386470	0.993285	-0.401320	
124220	-0.553385	0.000000	-3.511857	0.000000	0.000000	0.000000	-0.560392	0.000000	0.000000	-0.548879	0.509319	0.000000	-0.399625	0.000000	1.113063	0.000000	0.000000	0.000000	-0.489539	-0.965142	0.082796	0.172010	0.092196	0.292951	-0.538525	
124422	-0.206675	0.000000	-4.795074	0.000000	0.000000	0.000000	0.020694	0.000000	0.000000	-0.093777	0.846319	0.000000	0.039737	0.000000	0.681077	0.000000	0.000000	0.000000	-0.525425	-0.055065	-0.612329	0.047451	3.374698	0.188957	-0.769045	
124826	-0.039788	0.000000	0.361931	0.000000	0.000000	0.000000	-0.138082	0.000000	0.000000	2.053220	-0.162000	0.000000	-0.892622	0.000000	-2.399483	0.000000	0.000000	0.000000	-0.137758	2.288040	-4.094952	-1.412325	-2.840008	-2.392074	-0.501352	
125525	-0.499824	0.000000	0.012393	0.000000	0.000000	0.000000	-0.500001	0.000000	0.000000	0.002901	0.063415	0.000000	-0.497406	0.000000	0.083177	0.000000	0.000000	0.000000	-0.499994	0.002517	0.064989	-0.009657	0.119831	-0.029770	-0.499008	
126628	-0.174744	0.000000	-1.721137	0.000000	0.000000	0.000000	-0.538570	0.000000	0.000000	-0.372090	0.307506	0.000000	-0.327226	0.000000	0.785881	0.000000	0.000000	0.000000	-0.652881	-0.231776	-0.136167	0.204020	0.706688	0.417815	-0.345754	
127630	-0.831026	0.000000	-3.393624	0.000000	0.000000	0.000000	-0.565768	0.000000	0.000000	0.396373	0.372067	0.000000	-0.433729	0.000000	-0.055937	0.000000	0.000000	0.000000	-0.515659	0.216639	0.272320	0.181643	3.118739	0.390532	-0.424575	
127933	-0.448725	0.000000	2.138868	0.000000	0.000000	0.000000	-0.783091	0.000000	0.000000	-2.317321	0.892333	0.000000	-0.446915	0.000000	0.548372	0.000000	0.000000	0.000000	-0.238372	-0.432365	-2.096327	0.356518	-1.924568	-0.225773	-0.542467	
128127	-0.745230	0.000000	-1.310187	0.000000	0.000000	0.000000	-0.584731	0.000000	0.000000	0.296450	0.404053	0.000000	-0.601118	0.000000	-0.031232	0.000000	0.000000	0.000000	-0.254658	0.080133	1.843429	0.318343	3.821885	0.636119	-0.434201	
128329	-0.299882	0.000000	-3.908302	0.000000	0.000000	0.000000	-0.372103	0.000000	0.000000	0.515925	0.601870	0.000000	-0.042560	0.000000	1.343752	0.000000	0.000000	0.000000	-0.552162	-0.137353	-0.090314	0.068124	0.878451	0.347079	-0.683273	
128632	-0.440998	0.000000	-3.617006	0.000000	0.000000	0.000000	-0.795297	0.000000	0.000000	1.238923	0.203869	0.000000	-0.367219	0.000000	0.047252	0.000000	0.000000	0.000000	-0.448750	-1.958020	0.011277	0.659311	1.701913	0.374122	-0.235961	
129028	-0.281616	0.000000	-3.477383	0.000000	0.000000	0.000000	-0.699554	0.000000	0.000000	0.137463	0.621814	0.000000	-0.198435	0.000000	0.491859	0.000000	0.000000	0.000000	-0.503122	0.096921	-0.314092	-0.274280	-0.888482	0.139057	-0.533021	
130013	-0.583923	0.000000	-2.623643	0.000000	0.000000	0.000000	-0.245997	0.000000	0.000000	-0.372203	0.867658	0.000000	-0.337423	0.000000	0.222559	0.000000	0.000000	0.000000	-0.507289	0.141032	-0.633608	0.114090	-0.426048	0.330727	-0.462816	
130316	-0.317700	0.000000	-2.043810	0.000000	0.000000	0.000000	-0.466970	0.000000	0.000000	-0.538774	1.773160	0.000000	-0.425036	0.000000	0.894052	0.000000	0.000000	0.000000	-0.345551	-0.342338	-0.863703	0.142698	0.443495	0.345376	-0.132251	
130922	-0.559838	0.000000	-0.040829	0.000000	0.000000	0.000000	-0.444657	0.000000	0.000000	0.782028	-0.050003	0.000000	-0.442469	0.000000	-0.765826	0.000000	0.000000	0.000000	-0.489147	-0.099147	0.556270	1.008706	2.359944	2.853501	-0.497702	
131217	-0.438232	0.000000	-3.522713	0.000000	0.000000	0.000000	-0.427856	0.000000	0.000000	0.260804	0.624610	0.000000	-0.251540	0.000000	0.010794	0.000000	0.000000	0.000000	-0.509785	0.263092	-0.530010	0.200349	-0.577115	0.204931	-0.475988	
