Subject	VOI	x	y	z	Size	
100307	LTM	-60.709677	-36.903226	-6.838710	31.000000	
100408	LTM	-62.653846	-38.730769	-2.807692	52.000000	
101006	LTM	-58.936937	-32.522523	-6.648649	111.000000	
101107	LTM	-54.978723	-42.978723	-9.000000	94.000000	
101309	LTM	-59.522727	-36.727273	-11.500000	176.000000	
101410	LTM	-57.709402	-35.888889	-5.632479	234.000000	
101915	LTM	-61.632653	-38.224490	-11.408163	98.000000	
102008	LTM	-54.984127	-42.190476	-11.444444	126.000000	
102311	LTM	-62.966667	-33.900000	-7.733333	60.000000	
102816	LTM	-63.380282	-30.042254	-7.605634	142.000000	
103111	LTM	-61.419355	-43.129032	-7.741935	62.000000	
103414	LTM	-58.091603	-44.152672	-10.793893	131.000000	
103818	LTM	-61.882353	-33.617647	-7.617647	68.000000	
104820	LTM	-63.780220	-35.604396	-4.505495	91.000000	
105014	LTM	-62.354839	-35.924731	-5.720430	186.000000	
105115	LTM	-57.130000	-41.690000	-15.260000	200.000000	
105216	LTM	-61.577982	-34.146789	-5.064220	109.000000	
106016	LTM	-54.156522	-38.226087	0.539130	230.000000	
106319	LTM	-61.583333	-29.916667	-6.916667	24.000000	
106521	LTM	-57.347518	-33.900709	-11.716312	141.000000	
107321	LTM	-59.266667	-41.866667	-10.800000	60.000000	
107422	LTM	-49.835897	-42.276923	-9.815385	195.000000	
108121	LTM	-63.555556	-40.777778	-11.888889	18.000000	
108323	LTM	-57.293413	-34.071856	-12.766467	167.000000	
108525	LTM	-57.941909	-38.248963	-9.717842	241.000000	
108828	LTM	-59.165714	-43.737143	-5.874286	175.000000	
109123	LTM	-61.437500	-28.020833	-7.520833	96.000000	
109325	LTM	-56.666667	-31.170370	-14.814815	135.000000	
110411	LTM	-60.307692	-30.692308	-11.807692	52.000000	
111312	LTM	-61.295775	-34.253521	-0.525822	213.000000	
111413	LTM	-58.707317	-40.597561	-8.987805	164.000000	
111716	LTM	-56.825871	-32.696517	-11.940299	201.000000	
112819	LTM	-55.347826	-38.565217	-3.869565	46.000000	
113215	LTM	-61.741935	-35.709677	-3.258065	124.000000	
113619	LTM	-57.641256	-40.000000	-11.264574	223.000000	
113821	LTM	-62.150943	-32.528302	-7.886792	53.000000	
113922	LTM	-54.541667	-32.395833	-8.833333	96.000000	
114419	LTM	-57.924528	-40.849057	-15.547170	106.000000	
114924	LTM	-60.894118	-27.588235	-7.623529	170.000000	
115320	LTM	-64.034783	-33.182609	-6.382609	115.000000	
116524	LTM	-61.818182	-30.000000	-3.454545	11.000000	
117122	LTM	-60.247788	-31.451327	-13.681416	113.000000	
117324	LTM	-57.000000	-36.933333	-14.800000	30.000000	
